DateTime,AddedIPs,RemovedIPs
1560412581,974,945
1560416423,915,912
1560420509,901,975
1560424828,928,902
1560430582,956,926
1560437076,580,601
1560440412,960,927
1560444506,926,965
1560448098,953,915
1560458658,973,973
1560461770,939,968
1560465618,934,939
1560469218,973,917
1560473550,966,993
1560486495,500,473
1560486732,462,495
1560491300,0,14
1560504500,966,941
1560507859,945,959
1560511228,976,948
1560517453,950,981
1560521061,969,951
1560525140,936,961
1560529465,934,930
1560533787,929,951
1560537387,990,926
1560540977,944,982
1560545311,916,935
1560548669,975,921
1560552288,936,985
1560557784,961,940
1560562587,949,949
1560567370,940,956
1560571224,948,930
1560580096,946,955
1560601219,950,952
1560614448,927,949
1560622581,959,921
1560625952,913,963
1560629554,884,911
1560633378,900,872
1560638656,950,914
1560644175,966,939
1560649476,930,978
1560653058,928,931
1560666740,932,911
1560673241,892,945
1560686440,913,901
1560754567,916,904
1560756256,863,821
1560760115,884,958
1560763687,894,890
1560767565,950,892
1560774045,941,945
1560777402,876,955
1560782898,919,872
1560788658,887,911
1560829704,938,891
1560833357,915,934
1560838121,917,919
1560841962,927,908
1560849869,983,941
1560864737,943,978
1560865702,678,698
1560887790,933,924
1560889470,904,880
1560893078,977,945
1560907240,929,984
1560910830,918,921
1560924747,981,930
1560931250,915,973
1560936027,940,927
1560940380,961,936
1560947560,913,959
1560954761,943,916
1560958820,956,931
1561026977,936,953
1561027934,767,728
1561031068,980,986
1561034915,491,485
1561035153,439,499
1561039463,910,921
1561044034,918,924
1561054591,923,912
1561070906,930,912
1561098262,937,943
1561104033,938,939
1561131378,911,936
1561153693,937,913
1561154937,630,576
1561166195,989,987
1561257376,965,988
1561270114,959,964
1561283550,944,951
1561317394,931,941
1561328438,963,933
1561361769,936,970
1561429943,500,450
1561430441,488,489
1561479654,500,499
1561480115,455,469
1561490426,500,486
1561491158,481,483
1561495472,943,981
1561500527,922,951
1561504336,908,923
1561510352,959,908
1561568894,914,961
1561575390,918,911
1561593139,944,914
1561603711,953,935
1561637807,973,954
1561648345,925,966
1561675708,929,943
1561692982,937,926
1561725403,908,932
1561731904,955,916
1561737391,901,952
1561746034,894,897
