DateTime,AddedIPs,RemovedIPs
1560327160,500,1000
1560340107,500,2000
1560353786,500,2000
1560364360,500,1500
1560371540,500,1000
1560375131,500,500
1560379935,500,0
1560383544,500,500
1560396503,500,1500
1560402260,500,0
1560412579,500,991
1560416422,500,500
1560420508,500,500
1560424826,500,500
1560430580,500,1000
1560437075,204,1000
1560440410,500,0
1560444505,500,1000
1560448097,500,500
1560458657,500,1000
1560461768,500,500
1560465616,500,500
1560469217,500,0
1560473548,500,500
1560486495,500,1500
1560491300,14,0
1560504498,500,0
1560507858,500,0
1560511226,500,0
1560517451,500,0
1560521060,500,0
1560525139,500,0
1560529463,500,0
1560533786,500,0
1560537386,500,0
1560540976,500,0
1560545310,500,0
1560548667,500,0
1560552285,500,0
1560557782,500,0
1560562585,500,0
1560567368,500,0
1560571222,500,0
1560580094,500,0
1560601217,500,1500
1560614447,500,1500
1560622579,500,500
1560625951,500,0
1560629553,500,500
1560633377,500,500
1560638654,500,1000
1560644172,500,500
1560649474,500,500
1560653057,500,0
1560666739,500,2000
1560673239,500,1000
1560686438,500,1000
1560754566,500,6500
1560756252,392,500
1560760113,500,500
1560763685,500,500
1560767564,500,500
1560774044,500,500
1560777401,500,500
1560782897,500,1000
1560788657,500,500
1560829703,500,4000
1560833356,500,500
1560838120,500,500
1560841960,500,500
1560849867,500,1000
1560864736,500,1500
1560865700,279,0
1560887789,500,1500
1560889469,466,0
1560893077,500,0
1560907238,500,500
1560910828,500,500
1560924745,500,1000
1560931248,500,1000
1560936026,500,500
1560940379,500,1000
1560947559,500,500
1560954759,500,0
1560958819,500,0
1561026975,500,6275
1561027933,268,0
1561031067,500,500
1561035153,500,0
1561039462,500,500
1561044033,500,500
1561054589,500,1000
1561070905,500,2000
1561098261,500,3000
1561104032,500,500
1561131377,500,1500
1561153692,500,2000
1561154935,145,500
1561166193,500,1000
1561257375,500,14160
1561270113,500,1500
1561283549,500,1500
1561317393,500,4500
1561328437,500,2000
1561361768,500,3859
1561429943,500,8500
1561479654,500,6500
1561490426,500,1500
1561495471,500,500
1561500526,500,500
1561504335,500,500
1561510351,500,0
1561568892,500,7475
1561575389,500,500
1561593138,500,1000
1561603710,500,1000
1561637806,500,1500
1561648344,500,1000
1561675707,500,4000
1561692981,500,2000
1561725402,500,4000
1561731902,500,1000
1561737389,500,500
1561746033,500,500
1561756598,500,500
1561759984,496,0
1561764998,500,0
1561771960,500,0
1561777962,500,0
1561783214,500,500
1561787768,500,0
1561794271,500,0
1561800039,500,0
1561833378,500,5000
1561836006,418,0
1561839150,500,500
1561842995,491,0
1561845701,199,500
1561849454,400,0
1561853290,422,0
1561857637,468,0
1561860997,356,500
1561866035,410,500
1561876811,500,500
1561879489,346,0
1561883558,414,1000
1561886431,233,0
1561920977,500,2000
1561922201,183,0
1561924350,325,500
1561927476,321,500
1561930354,306,0
1561933448,379,0
1561936335,237,0
1561940419,432,0
1561944268,355,500
1561947402,341,0
1561951230,362,0
1561956758,424,1000
1561970177,500,0
1561974976,500,0
1561978839,437,0
1561983643,461,394
1561986274,472,500
1561989391,217,0
1561992273,475,0
1561995875,500,0
1562023000,500,500
1562023940,65,0
1562029475,500,0
1562032356,329,500
1562036196,409,0
1562039310,315,500
1562042661,360,0
1562046032,383,500
1562050353,485,500
1562053478,300,0
1562056845,344,500
1562059956,418,0
1562062830,498,0
1562065485,300,0
1562068869,500,0
1562072437,500,0
1562073890,174,0
1562075559,416,0
1562077695,375,500
1562079144,414,500
1562082272,500,0
1562085267,402,500
1562088993,500,500
1562115865,500,3000
1562117546,59,0
1562121397,350,0
1562124515,228,500
1562127650,241,500
1562131235,331,0
1562135558,430,500
1562138202,193,500
1562140842,265,0
1562144682,305,1000
1562148249,245,0
1562151871,367,0
1562155721,401,500
1562159064,356,0
1562162441,361,0
1562166284,500,500
1562170594,500,500
1562174439,373,500
1562178497,473,0
1562182832,500,0
1562185960,431,0
1562190510,411,0
1562195306,396,0
1562199625,458,0
1562204669,472,0
1562208994,461,500
1562212117,270,0
1562215718,282,0
1562219785,416,500
1562223386,401,0
1562226782,290,500
1562231315,500,0
1562235647,500,0
1562239474,500,0
1562243536,500,0
1562247132,461,0
1562250514,500,0
1562253401,489,500
1562257705,500,500
1562264435,500,0
1562268035,500,0
1562273793,500,0
1562278128,500,0
1562282443,500,0
1562287481,500,0
1562292520,500,500
1562296832,500,0
1562301874,500,500
1562306182,500,500
1562310525,496,500
1562316281,500,500
1562319885,500,500
1562324193,500,0
1562328525,443,0
1562335487,500,500
1562341472,500,500
1562350118,500,1000
1562356355,500,500
1562361393,500,1000
1562365467,487,0
1562369305,500,500
1562374382,500,500
1562378175,500,0
1562382054,476,0
1562387568,500,500
1562391882,376,0
1562396918,500,500
1562403426,500,0
1562407723,500,0
1562412032,500,500
1562416109,500,0
1562419953,497,500
1562424512,500,0
1562428593,500,500
1562432196,500,0
1562436526,500,0
1562442279,500,500
1562452809,500,0
1562463607,500,500
1562485945,500,500
1562489558,500,0
1562496270,500,0
1562546166,500,4500
1562547143,211,500
1562553871,500,500
1562564433,500,1500
1562568273,500,500
1562617962,500,7000
1562624204,500,500
1562628995,500,910
1562670076,500,3000
1562719209,500,6500
1562728120,500,1000
1562821721,500,4000
1562863225,500,2000
1562873550,500,500
1562886973,500,500
1562889647,455,0
1562894433,500,0
1562902351,500,0
1562906239,500,0
1562911062,500,0
1562915421,500,500
1562919633,500,500
1562925155,500,0
1562929958,500,0
1562934754,500,500
1562940515,500,0
1562946507,500,500
1563026669,500,5704
1563094819,500,5014
1563097217,215,500
1563138743,500,5000
1563143559,500,500
1563150030,500,1000
1563153629,500,0
1563158673,500,500
1563165161,500,1000
1563169472,500,0
1563173072,500,500
1563177389,500,0
1563181952,500,0
1563187717,500,0
1563192045,384,0
1563197802,500,500
1563231637,500,3000
1563259233,500,2000
1563350907,500,1892
1563442816,500,6000
1563534748,500,5245
1563626904,500,2768
1563720491,500,3500
1563811946,500,1645
1563838857,500,0
1563930277,500,2500
1563971768,500,500
1564064891,500,500
1564082709,500,1000
1564092986,500,1000
1564098982,500,500
1564132337,500,500
1564135715,278,0
1564142433,500,0
1564176749,500,1000
1564188993,500,500
1564257371,500,1500
1564349291,500,3496
1564355534,500,500
1564377625,500,2000
1564419646,500,1500
1564511050,500,5657
1564590753,500,7727
1564682910,500,8987
1564774353,500,6478
1564865792,500,9738
1564925078,500,6439
1565004743,500,7839
1565007874,500,0
1565099063,500,5997
1565190257,500,2211
1565281940,500,2000
1565372901,500,1000
1565464661,500,1000
1565555542,500,6955
1565604992,500,0
1565696169,500,1215
1565788144,500,5884
1565880747,500,1500
1565972204,500,500
1565982506,500,0
1566073932,500,500
1566165131,500,500
1566256574,500,500
1566306046,500,0
1566385519,500,500
1566477614,500,1000
1566481236,500,0
1566485819,500,0
1566490622,500,0
1566549393,500,500
1566559989,500,0
1566571455,500,500
1566640841,500,0
1566668409,500,500
1566737556,500,2778
1566760340,500,0
1566787225,500,1000
1566795860,500,0
1566804258,500,0
1566812187,500,0
1566822733,500,0
1566846038,500,0
1566847957,163,0
1566855168,500,500
1566863328,500,0
1566873885,500,0
1566878011,364,0
1566881071,222,0
1566884194,365,0
1566887785,296,0
1566892913,373,0
1566901698,500,0
1566909149,500,0
1566919938,500,0
1566937486,500,0
1566955234,500,1000
1566961974,500,0
1566989793,500,500
1567007320,500,0
1567015717,500,500
1567019788,500,0
1567021985,416,0
1567025792,403,0
1567031075,500,0
1567038764,500,0
1567042592,450,0
1567046442,491,0
1567049790,260,0
1567053160,324,0
1567063961,500,0
1567067797,385,0
1567072839,500,0
1567078361,500,0
1567081723,277,0
1567085161,317,0
1567091082,500,0
1567094166,307,0
1567098278,349,0
1567102339,372,0
1567105458,352,500
1567112952,500,0
1567120602,500,0
1567127321,500,0
1567134039,500,0
1567135221,155,0
1567137627,115,0
1567140014,116,0
1567154201,500,0
1567157777,406,0
1567163323,500,0
1567167423,478,0
1567176028,500,0
1567182265,478,0
1567195453,500,500
1567197878,394,0
1567204335,500,0
1567208676,216,0
1567213243,500,0
1567220680,500,0
1567224767,399,0
1567228120,355,0
1567231959,231,0
1567235799,300,0
1567239375,269,0
1567243219,374,0
1567247546,462,0
1567254033,500,0
1567335375,500,500
1567414098,500,500
1567420569,500,0
1567447966,500,0
1567452026,500,0
1567459472,500,500
1567463791,500,0
1567481540,500,0
1567487319,500,0
1567489471,500,0
1567531003,500,500
1567532896,117,0
1567537364,429,0
1567579229,500,0
1567581378,345,0
1567583543,178,0
1567586927,485,0
1567590038,388,0
1567592688,326,0
1567596039,368,0
1567598438,222,500
1567601305,367,500
1567604677,500,0
1567607798,274,0
1567611647,500,0
1567624694,500,0
1567626044,148,0
1567643772,500,0
1567647158,451,0
1567651710,500,0
1567657241,500,0
1567685321,500,0
1567744332,500,500
1567745297,30,0
1567749658,178,0
1567753459,249,0
1567758262,253,0
1567762363,328,0
1567765463,248,0
1567769800,279,0
1567774121,302,0
1567778931,280,0
1567782039,220,0
1567800185,500,500
1567808893,500,0
1567831465,500,0
1567832426,62,0
1567835072,160,0
1567838679,196,0
1567841564,211,0
1567844429,280,0
1567846355,161,0
1567849449,192,0
