DateTime,Entries,UniqueIPs
1560327160,43387,43410
1560340107,43388,43410
1560353786,42889,42910
1560364360,42390,42410
1560371540,41891,41910
1560375131,41891,41910
1560379935,41892,41910
1560383544,41892,41910
1560396503,42392,42410
1560402260,42393,42410
1560412579,42393,42410
1560416422,42893,42910
1560420508,43393,43410
1560424826,43393,43410
1560430580,43393,43410
1560437075,43596,43614
1560440410,43596,43614
1560444505,44096,44114
1560448097,44596,44614
1560458657,44596,44614
1560461768,45096,45114
1560465616,45596,45614
1560469217,45595,45614
1560473548,46095,46114
1560486495,46595,46614
1560491300,46110,46128
1560504498,46610,46628
1560507858,47110,47128
1560511226,47109,47128
1560517451,47608,47628
1560521060,48108,48128
1560525139,48603,48628
1560529463,48601,48628
1560533786,49101,49128
1560537386,49101,49128
1560540976,49101,49128
1560545310,48602,48628
1560548667,49101,49128
1560552285,49101,49128
1560557782,48601,48628
1560562585,48603,48628
1560567368,48603,48628
1560571222,48102,48128
1560580094,47604,47628
1560601217,45105,45128
1560614447,44105,44128
1560622579,43605,43628
1560625951,43605,43628
1560629553,43604,43628
1560633377,43604,43628
1560638654,43193,43218
1560644172,43193,43218
1560649474,43193,43218
1560653057,43692,43718
1560666739,43193,43218
1560673239,43193,43218
1560686438,42194,42218
1560754566,35199,35218
1560756252,35091,35110
1560760113,35590,35610
1560763685,36090,36110
1560767564,36590,36610
1560774044,36590,36610
1560777401,36590,36610
1560782897,36589,36610
1560788657,36588,36610
1560829703,36088,36110
1560833356,36587,36610
1560838120,37087,37110
1560841960,37587,37610
1560849867,37585,37610
1560864736,37587,37610
1560865700,37366,37389
1560887789,36866,36889
1560889469,37332,37355
1560893077,37832,37855
1560907238,37832,37855
1560910828,38331,38355
1560924745,38830,38855
1560931248,38830,38855
1560936026,38831,38855
1560940379,39329,39355
1560947559,39330,39355
1560954759,39830,39855
1560958819,39830,39855
1561026975,35338,35355
1561027933,35605,35623
1561031067,35605,35623
1561035153,36102,36123
1561039462,36397,36419
1561044033,36397,36419
1561054589,35397,35419
1561070905,34398,34419
1561098261,33384,33405
1561104032,33883,33905
1561131377,31385,31405
1561153692,28886,28905
1561154935,29030,29050
1561166193,28531,28550
1561257375,22536,22550
1561270113,22536,22550
1561283549,22036,22050
1561317393,22038,22050
1561328437,22538,22550
1561361768,22145,22158
1561429943,19144,19158
1561479654,16371,16379
1561490426,16871,16879
1561495471,16405,16413
1561500526,16405,16413
1561504335,16905,16913
1561510351,17404,17413
1561568892,13408,13413
1561575389,13908,13913
1561593138,14408,14413
1561603710,14908,14913
1561637806,14141,14145
1561648344,13641,13645
1561675707,12642,12645
1561692981,13140,13145
1561725402,12640,12645
1561731902,13140,13145
1561737389,13140,13145
1561746033,13640,13645
1561756598,14140,14145
1561759984,13991,13996
1561764998,14489,14496
1561771960,14488,14496
1561777962,14987,14996
1561783214,15487,15496
1561787768,15987,15996
1561794271,16487,16496
1561800039,16987,16996
1561833378,17487,17496
1561836006,17905,17914
1561839150,18404,18414
1561842995,18895,18905
1561845701,19094,19104
1561849454,19494,19504
1561853290,19916,19926
1561857637,20382,20394
1561860997,20736,20750
1561866035,20646,20660
1561876811,20646,20660
1561879489,20991,21006
1561883558,21404,21420
1561886431,21637,21653
1561920977,21637,21653
1561922201,21321,21336
1561924350,21646,21661
1561927476,21967,21982
1561930354,22272,22288
1561933448,22152,22167
1561936335,22389,22404
1561940419,22821,22836
1561944268,23176,23191
1561947402,23517,23532
1561951230,23878,23894
1561956758,24302,24318
1561970177,24303,24318
1561974976,24803,24818
1561978839,25240,25255
1561983643,25701,25716
1561986274,26173,26188
1561989391,26390,26405
1561992273,26865,26880
1561995875,27364,27380
1562023000,27864,27880
1562023940,27929,27945
1562029475,28429,28445
1562032356,28758,28774
1562036196,28669,28683
1562039310,28983,28998
1562042661,29342,29358
1562046032,29725,29741
1562050353,30208,30226
1562053478,30508,30526
1562056845,30850,30870
1562059956,31268,31288
1562062830,31765,31786
1562065485,32065,32086
1562068869,32564,32586
1562072437,33062,33086
1562073890,33236,33260
1562075559,33651,33676
1562077695,34025,34051
1562079144,34439,34465
1562082272,34938,34965
1562085267,34841,34867
1562088993,35339,35367
1562115865,33340,33367
1562117546,33398,33426
1562121397,33746,33776
1562124515,33974,34004
1562127650,34215,34245
1562131235,34546,34576
1562135558,34975,35006
1562138202,35168,35199
1562140842,35433,35464
1562144682,35736,35769
1562148249,35980,36014
1562151871,36347,36381
1562155721,36747,36782
1562159064,37103,37138
1562162441,37464,37499
1562166284,37963,37999
1562170594,38460,38499
1562174439,38333,38372
1562178497,38806,38845
1562182832,38809,38845
1562185960,39239,39276
1562190510,39649,39687
1562195306,40044,40083
1562199625,40002,40041
1562204669,40473,40513
1562208994,40434,40474
1562212117,40704,40744
1562215718,40985,41026
1562219785,41398,41442
1562223386,41796,41843
1562226782,42085,42133
1562231315,42583,42633
1562235647,43082,43133
1562239474,43579,43633
1562243536,43578,43633
1562247132,44033,44094
1562250514,44531,44594
1562253401,44521,44583
1562257705,45018,45083
1562264435,45517,45583
1562268035,46015,46083
1562273793,46509,46583
1562278128,47007,47083
1562282443,47005,47083
1562287481,47504,47583
1562292520,48004,48083
1562296832,48501,48583
1562301874,48501,48583
1562306182,49000,49083
1562310525,49494,49579
1562316281,49993,50079
1562319885,50492,50579
1562324193,50991,51079
1562328525,51434,51522
1562335487,51434,51522
1562341472,51432,51522
1562350118,51431,51522
1562356355,51432,51522
1562361393,51932,52022
1562365467,51423,51513
1562369305,51918,52013
1562374382,51920,52013
1562378175,51915,52013
1562382054,52388,52489
1562387568,52382,52489
1562391882,52257,52365
1562396918,52256,52365
1562403426,52252,52365
1562407723,52250,52365
1562412032,52746,52865
1562416109,53244,53365
1562419953,53739,53862
1562424512,54238,54362
1562428593,54735,54862
1562432196,55233,55362
1562436526,55730,55862
1562442279,55313,55444
1562452809,54726,54854
1562463607,53979,54108
1562485945,52813,52938
1562489558,53075,53205
1562496270,53075,53205
1562546166,51042,51167
1562547143,51252,51378
1562553871,51045,51175
1562564433,50620,50751
1562568273,51117,51251
1562617962,48060,48189
1562624204,48560,48689
1562628995,48491,48624
1562670076,44853,44983
1562719209,41079,41202
1562728120,40944,41065
1562821721,32030,32127
1562863225,27432,27486
1562873550,26938,26986
1562886973,26441,26486
1562889647,26399,26441
1562894433,26399,26441
1562902351,25905,25941
1562906239,26405,26441
1562911062,25909,25945
1562915421,25909,25945
1562919633,26409,26445
1562925155,25912,25945
1562929958,25967,26002
1562934754,25967,26002
1562940515,25968,26002
1562946507,25968,26002
1563026669,18654,18666
1563094819,14658,14666
1563097217,14872,14881
1563138743,14873,14881
1563143559,15373,15381
1563150030,15872,15881
1563153629,15661,15670
1563158673,15661,15670
1563165161,16161,16170
1563169472,16160,16170
1563173072,16660,16670
1563177389,16659,16670
1563181952,17159,17170
1563187717,17659,17670
1563192045,18043,18054
1563197802,18543,18554
1563231637,18044,18054
1563259233,18045,18054
1563350907,17045,17054
1563442816,17045,17054
1563534748,12097,12099
1563626904,10598,10599
1563720491,9884,9884
1563811946,4000,4000
1563838857,4000,4000
1563930277,4000,4000
1563971768,4000,4000
1564064891,4000,4000
1564082709,4500,4500
1564092986,4999,5000
1564098982,5499,5500
1564132337,5999,6000
1564135715,6277,6278
1564142433,6278,6278
1564176749,6778,6778
1564188993,7277,7278
1564257371,7277,7278
1564349291,7277,7278
1564355534,7777,7778
1564377625,8277,8278
1564419646,8276,8278
1564511050,8276,8278
1564590753,7775,7778
1564682910,7775,7778
1564774353,5499,5500
1564865792,4499,4500
1564925078,4999,5000
1565004743,3999,4000
1565007874,4499,4500
1565099063,4499,4500
1565190257,4499,4500
1565281940,4499,4500
1565372901,4499,4500
1565464661,4500,4500
1565555542,4000,4000
1565604992,4500,4500
1565696169,4000,4000
1565788144,4000,4000
1565880747,4000,4000
1565972204,4000,4000
1565982506,4000,4000
1566073932,4000,4000
1566165131,4000,4000
1566256574,4000,4000
1566306046,4000,4000
1566385519,4500,4500
1566477614,4500,4500
1566481236,5000,5000
1566485819,5000,5000
1566490622,5500,5500
1566549393,6000,6000
1566559989,6500,6500
1566571455,7000,7000
1566640841,6500,6500
1566668409,7000,7000
1566737556,7000,7000
1566760340,7500,7500
1566787225,7500,7500
1566795860,7999,8000
1566804258,8499,8500
1566812187,8999,9000
1566822733,9499,9500
1566846038,9999,10000
1566847957,10162,10163
1566855168,10662,10663
1566863328,10661,10663
1566873885,11161,11163
1566878011,11525,11527
1566881071,11747,11749
1566884194,12112,12114
1566887785,12408,12410
1566892913,12781,12783
1566901698,13279,13283
1566909149,13779,13783
1566919938,13779,13783
1566937486,14279,14283
1566955234,14779,14783
1566961974,15279,15283
1566989793,15777,15783
1567007320,15777,15783
1567015717,16277,16283
1567019788,16775,16783
1567021985,17190,17199
1567025792,17592,17602
1567031075,18091,18102
1567038764,18588,18602
1567042592,19038,19052
1567046442,19529,19543
1567049790,19789,19803
1567053160,20113,20127
1567063961,20613,20627
1567067797,20998,21012
1567072839,21498,21512
1567078361,21998,22012
1567081723,22275,22289
1567085161,22092,22106
1567091082,21591,21606
1567094166,21897,21913
1567098278,21745,21762
1567102339,22117,22134
1567105458,22469,22486
1567112952,22969,22986
1567120602,23469,23486
1567127321,23968,23986
1567134039,24467,24486
1567135221,24622,24641
1567137627,24737,24756
1567140014,24853,24872
1567154201,24853,24872
1567157777,25257,25278
1567163323,25757,25778
1567167423,25734,25756
1567176028,26234,26256
1567182265,26212,26234
1567195453,26712,26734
1567197878,27106,27128
1567204335,27606,27628
1567208676,27822,27844
1567213243,28322,28344
1567220680,28821,28844
1567224767,29220,29243
1567228120,29575,29598
1567231959,29806,29829
1567235799,30105,30129
1567239375,30374,30398
1567243219,30747,30772
1567247546,30708,30734
1567254033,31208,31234
1567335375,31208,31234
1567414098,29209,29234
1567420569,29208,29234
1567447966,29208,29234
1567452026,29546,29571
1567459472,29545,29571
1567463791,29544,29571
1567481540,29180,29207
1567487319,29092,29120
1567489471,29297,29324
1567531003,27424,27451
1567532896,27541,27568
1567537364,27969,27997
1567579229,26971,26997
1567581378,27316,27342
1567583543,27494,27520
1567586927,27977,28005
1567590038,28365,28393
1567592688,28691,28719
1567596039,28566,28587
1567598438,28788,28809
1567601305,29155,29176
1567604677,29655,29676
1567607798,29929,29950
1567611647,30429,30450
1567624694,29515,29534
1567626044,29663,29682
1567643772,28312,28329
1567647158,28763,28780
1567651710,28512,28529
1567657241,28688,28705
1567685321,27027,27043
1567744332,22953,22960
1567745297,22483,22490
1567749658,22661,22668
1567753459,22910,22917
1567758262,23163,23170
