DateTime,AddedIPs,RemovedIPs
1560327162,417,0
1560340109,420,419
1560353788,414,857
1560364362,389,434
1560371541,438,447
1560375132,387,0
1560379936,399,0
1560383545,403,383
1560396505,431,0
1560402261,425,0
1560412581,354,387
1560416423,327,337
1560420509,416,0
1560424828,411,0
1560430582,403,391
1560437076,396,0
1560440412,349,353
1560444506,396,0
1560448098,386,0
1560458658,407,727
1560461770,391,350
1560465618,382,0
1560469218,372,381
1560473550,365,365
1560486732,395,401
1560491573,0,397
1560504500,357,686
1560507859,371,417
1560511228,396,0
1560517453,403,785
1560521061,380,0
1560525140,366,391
1560529465,349,365
1560533787,401,367
1560537387,378,392
1560540977,356,0
1560545311,331,387
1560548669,323,375
1560552288,418,372
1560557784,347,390
1560562587,309,378
1560567370,377,0
1560571224,343,0
1560580096,339,383
1560601219,325,1004
1560614448,368,1118
1560622581,389,747
1560625952,399,385
1560629554,388,335
1560633378,379,363
1560638656,305,315
1560644175,361,409
1560649476,392,724
1560653058,371,0
1560666740,318,1170
1560673241,422,0
1560686440,368,0
1560754567,370,4493
1560756256,488,0
1560760115,459,471
1560763687,458,0
1560767565,460,0
1560774045,425,434
1560777402,472,0
1560782898,424,0
1560788658,438,0
1560829704,391,0
1560833357,421,0
1560838121,420,0
1560841962,392,391
1560849869,396,834
1560864737,411,1684
1560865702,423,0
1560887790,415,845
1560889470,410,0
1560893078,383,0
1560907240,363,0
1560910830,369,0
1560924747,367,1131
1560931250,429,416
1560936027,404,0
1560940380,395,392
1560947560,416,0
1560954761,333,823
1560958820,374,0
1561026977,353,3624
1561027934,483,0
1561031068,450,0
1561034915,430,461
1561039463,441,0
1561044034,454,392
1561054591,409,426
1561070906,409,0
1561098262,443,0
1561104033,436,0
1561131378,442,2619
1561153693,461,445
1561154937,440,0
1561166195,451,439
1561257376,452,2831
1561270114,489,0
1561283550,466,0
1561317394,461,0
1561328438,431,0
1561361769,451,901
1561430441,398,1306
1561480115,464,484
1561491158,467,0
1561495472,396,0
1561500527,449,0
1561504336,462,0
1561510352,338,0
1561568894,458,735
1561575390,437,0
1561593139,419,1730
1561603711,369,378
1561637807,434,0
1561648345,377,0
1561675708,446,884
1561692982,427,814
1561725403,457,441
1561731904,438,0
1561737391,453,434
1561746034,435,0
1561756600,415,0
1561759985,410,0
1561764999,403,416
1561771962,399,0
1561777963,374,0
1561783215,386,366
1561787769,391,0
1561794272,394,0
1561800040,359,0
1561833379,371,1551
1561836007,348,0
1561839151,398,0
1561842996,400,0
1561845702,341,334
1561849455,362,344
1561853292,344,391
1561857638,344,0
1561860998,272,397
1561866036,317,322
1561876812,300,671
1561879490,322,0
1561883559,386,388
1561886431,376,0
1561920978,331,625
1561922202,394,0
1561924351,276,278
1561927477,379,353
1561930355,281,362
