DateTime,AddedIPs,RemovedIPs
1560322345,490,490
1560327162,485,485
1560340109,482,482
1560353788,492,492
1560364362,472,472
1560371541,486,486
1560375132,485,485
1560379936,475,475
1560383545,484,484
1560396505,488,488
1560402261,489,489
1560412581,493,493
1560416423,431,431
1560420509,491,491
1560424828,493,493
1560430582,489,489
1560437076,495,495
1560440412,482,482
1560444506,486,486
1560448098,475,475
1560458658,495,495
1560461770,490,490
1560465618,491,491
1560469218,473,473
1560473550,493,493
1560486732,495,495
1560504500,488,488
1560507859,481,481
1560511228,484,484
1560517453,491,491
1560521061,492,492
1560525140,483,483
1560529465,477,477
1560533787,495,495
1560537387,493,493
1560540977,484,484
1560545311,473,473
1560548669,478,478
1560552288,490,490
1560557784,492,492
1560562587,480,480
1560567370,488,488
1560571224,478,478
1560580096,484,484
1560601219,490,490
1560614448,489,489
1560622581,483,483
1560625952,488,488
1560629554,489,489
1560633378,473,473
1560638656,488,488
1560644175,478,478
1560649476,489,489
1560653058,489,489
1560666740,472,472
1560673241,486,486
1560686440,494,494
1560754567,485,485
1560756256,500,500
1560760115,485,485
1560763687,492,492
1560767565,494,494
1560774045,487,487
1560777402,500,500
1560782898,494,494
1560788658,486,486
1560829704,490,490
1560833357,486,486
1560838121,490,490
1560841962,481,481
1560849869,495,495
1560864737,491,491
1560865702,500,500
1560887790,491,491
1560889470,478,478
1560893078,480,480
1560907240,486,486
1560910830,478,478
1560924747,491,491
1560931250,483,483
1560936027,496,496
1560940380,492,492
1560947560,491,491
1560954761,491,491
1560958820,479,479
1561026977,476,476
1561027934,500,500
1561031068,487,487
1561034915,492,492
1561039463,484,484
1561044034,496,496
1561054591,490,490
1561070906,479,479
1561098262,492,492
1561104033,494,494
1561131378,492,492
1561153693,494,494
1561154937,488,488
1561166195,490,490
1561257376,489,489
1561270114,489,489
1561283550,480,480
1561317394,480,480
1561328438,479,479
1561361769,486,486
1561430441,489,489
1561480115,469,469
1561491158,483,483
1561495472,487,487
1561500527,493,493
1561504336,492,492
1561510352,494,494
1561568894,494,494
1561575390,493,493
1561593139,488,488
1561603711,478,478
1561637807,479,479
1561648345,473,473
1561675708,490,490
1561692982,487,487
1561725403,482,482
1561731904,490,490
1561737391,490,490
1561746034,483,483
1561756600,483,483
1561759985,474,474
1561764999,487,487
1561771962,474,474
1561777963,483,483
1561783215,480,480
1561787769,489,489
1561794272,486,486
1561800040,490,490
1561833379,486,486
1561836007,489,489
1561839151,484,484
1561842996,495,495
1561845702,490,490
1561849455,484,484
1561853292,487,487
1561857638,481,481
1561860998,474,474
1561866036,482,482
1561876812,480,480
1561879490,490,490
1561883559,499,499
1561886431,490,490
1561920978,491,491
1561922202,500,500
1561924351,485,485
1561927477,500,500
1561930355,480,480
1561933449,470,470
1561936336,500,500
1561940421,476,476
1561944269,487,487
1561947403,478,478
1561951231,443,443
1561956759,485,485
1561970178,481,481
1561974977,492,492
1561978840,489,489
1561983644,468,468
1561986275,500,500
1561989392,490,490
1561992273,479,479
1561995876,500,500
1562023001,492,492
1562023941,500,500
1562029476,485,485
1562032357,488,488
1562036197,473,473
1562039311,500,500
1562042662,485,485
1562046033,475,475
1562050354,431,431
1562053479,500,500
1562056846,482,482
1562059957,481,481
1562062831,500,500
1562065486,485,485
1562068871,480,480
1562072439,483,483
1562073891,500,500
1562075560,500,500
1562077696,489,489
1562079145,492,492
1562082273,499,499
1562085268,494,494
1562088995,491,491
1562115866,484,484
1562117547,494,494
1562121398,476,476
1562124517,498,498
1562127651,486,486
1562131236,486,486
1562135559,458,458
1562138203,500,500
1562140844,474,474
1562144684,500,500
1562148250,488,488
1562151872,486,486
1562155722,495,495
1562159065,493,493
1562162442,486,486
1562166285,475,475
1562170595,500,500
1562174440,488,488
1562178499,487,487
1562182833,476,476
1562185961,500,500
1562190511,487,487
1562195308,484,484
1562199626,483,483
1562204670,431,431
1562208996,465,465
1562212118,500,500
1562215719,483,483
1562219787,477,477
1562223387,486,486
1562226783,498,498
1562231317,486,486
1562235649,484,484
1562239475,482,482
1562243537,500,500
1562247133,489,489
1562250515,488,488
1562253402,500,500
1562257706,491,491
1562264436,489,489
1562268036,488,488
1562273795,436,436
1562278129,471,471
1562282444,500,500
1562287482,495,495
1562292522,469,469
1562296833,471,471
1562301875,480,480
1562306183,462,462
1562310527,486,486
1562316282,482,482
1562319887,483,483
1562324194,497,497
1562328526,492,492
1562335489,494,494
1562341473,463,463
1562350120,490,490
1562356356,490,490
1562361394,480,480
1562365468,480,480
1562369306,485,485
1562374384,449,449
1562378176,497,497
1562382056,491,491
1562387570,480,480
1562391883,482,482
1562396919,473,473
1562403428,464,464
1562407724,484,484
1562412033,474,474
1562416110,473,473
1562419955,500,500
1562424514,494,494
1562428594,499,499
1562432197,479,479
1562436527,471,471
1562442280,429,429
1562452811,467,467
1562463608,483,483
1562485947,489,489
1562489559,476,476
1562496271,488,488
1562546168,455,455
1562547145,499,499
1562553872,487,487
1562564434,474,474
1562568275,454,454
1562617964,485,485
1562624205,489,489
1562628996,493,493
1562670078,487,487
1562719212,481,481
1562728121,486,486
1562821722,489,489
1562863226,488,488
1562873551,497,497
1562886975,479,479
1562889648,497,497
1562894434,497,497
1562902352,492,492
1562906240,475,475
1562911063,485,485
1562915422,479,479
1562919634,483,483
1562925156,443,443
1562929960,473,473
1562934755,496,496
1562940516,479,479
1562946508,430,430
1563026670,485,485
1563094820,487,487
1563097218,493,493
1563138744,489,489
1563143560,459,459
1563150031,487,487
1563153630,484,484
1563158674,492,492
1563165162,488,488
1563169473,469,469
1563173073,469,469
1563177390,498,498
1563181953,486,486
1563187718,484,484
1563192046,488,488
1563197803,474,474
1563231639,484,484
1563259234,487,487
1563350908,456,456
1563442818,490,490
1563534750,492,492
1563626905,485,485
1563720492,490,490
1563811947,492,492
1563838858,469,469
1563930278,489,489
1563971769,479,479
1564064892,482,482
1564082710,491,491
1564092987,453,453
1564098983,479,479
1564132338,488,488
1564135716,492,492
1564142442,489,489
1564176751,470,470
1564188994,442,442
1564257372,469,469
1564349293,488,488
1564355536,487,487
1564377626,493,493
1564419648,493,493
1564511051,473,473
1564590754,480,480
1564682911,470,470
1564774354,459,459
1564865793,492,492
1564925079,494,494
1565005234,484,484
1565007874,486,486
1565099065,490,490
1565190974,479,479
1565282433,480,480
1565373627,482,482
1565464662,483,483
1565555543,491,491
1565604993,494,494
1565696170,488,488
1565788145,473,473
1565880748,492,492
1565972206,496,496
1565982506,490,490
1566073933,487,487
1566165132,495,495
1566256576,488,488
1566306047,490,490
1566385520,422,422
1566477617,487,487
1566481237,491,491
1566485822,492,492
1566490623,483,483
1566549394,494,494
1566559991,487,487
1566571456,490,490
1566640842,490,490
1566668410,488,488
1566737557,490,490
1566760341,488,488
1566787226,465,465
1566795860,489,489
1566804258,476,476
1566812188,487,487
1566822734,494,494
1566846040,482,482
1566847957,500,500
1566855169,483,483
1566863329,485,485
1566873886,474,474
1566878012,490,490
1566881072,483,483
1566884195,485,485
1566887786,495,495
1566892914,486,486
1566901699,484,484
1566909151,487,487
1566919939,487,487
1566937488,500,500
1566955235,500,500
1566961975,493,493
1566989794,491,491
1567007321,479,479
1567015718,490,490
1567019788,488,488
1567021986,499,499
1567025793,486,486
1567031075,474,474
1567038764,487,487
1567042593,464,464
1567046443,481,481
1567049791,493,493
1567053161,489,489
1567063963,477,477
1567067798,472,472
1567072840,409,409
1567078362,394,394
1567081724,500,500
1567085163,484,484
1567091082,463,463
1567094167,500,500
1567098278,480,480
1567102340,500,500
1567105459,485,485
1567112953,454,454
1567120602,489,489
1567127322,484,484
1567134040,483,483
1567135222,500,500
1567137628,491,491
1567140016,500,500
1567154202,477,477
1567157778,462,462
1567163324,471,471
1567167424,465,465
1567176029,491,491
1567182266,469,469
1567195454,474,474
1567197879,498,498
1567204336,496,496
1567208677,494,494
1567213244,490,490
1567220681,487,487
1567224768,463,463
1567228121,471,471
1567231960,499,499
1567235800,485,485
1567239376,490,490
1567243220,478,478
1567247547,464,464
1567254034,471,471
1567335376,477,477
1567414099,484,484
1567420570,496,496
1567447967,491,491
1567452027,484,484
1567459472,493,493
1567464251,485,485
1567481541,453,453
1567487321,486,486
1567489473,484,484
1567531004,486,486
1567532897,500,500
1567537365,500,500
1567579230,495,495
1567581380,483,483
1567583544,498,498
1567586929,484,484
1567590039,495,495
1567592689,494,494
1567596041,488,488
