DateTime,AddedIPs,RemovedIPs
1536850109,1,0
1536894034,1,0
1536937726,1,0
1537068747,1,0
1537112436,2,0
1537156337,1,0
1537200024,1,0
1537288366,2,0
1537419659,3,0
1537551143,1,0
1537638497,1,0
1537682187,1,0
1537769793,3,0
1537813474,1,0
1537857145,1,0
1537988428,1,0
1538032605,3,0
1538076248,3,0
1538120195,3,0
1538163859,1,0
1538251463,1,0
1538382731,1,0
1538426425,1,0
1538470355,1,0
1538557721,1,0
1538688739,2,0
1538819792,2,0
1538907383,1,0
1538951310,2,0
1539038662,1,0
1539082333,2,0
1539126018,2,0
1539257288,1,0
1539300968,1,0
1539388346,3,0
1539432063,1,0
1539519874,1,0
1539563564,1,0
1539607466,2,0
1539695057,2,0
1539738747,1,0
1539782668,1,0
1539913946,1,0
1540044986,2,0
1540088663,3,0
1540350762,2,0
1540394408,2,0
1540481803,1,0
1540525474,1,0
1540657236,1,0
1540744814,1,0
1540832207,1,0
1540919782,1,0
1540963455,1,0
1541007131,2,0
1541138678,1,0
1541182597,1,0
1541226264,1,0
1541269955,1,0
1541313634,3,0
1541357535,3,0
1541401457,1,0
1541532497,4,0
1541576424,1,0
1541620333,1,0
1541664016,2,0
1541751380,1,0
1541882655,2,0
1542013720,1,0
1542057400,1,0
1542101308,1,0
1542145231,1,0
1542189135,1,0
1542232837,1,0
1542276742,2,0
1542320432,1,0
1542451463,1,0
1542495388,1,0
1542539051,1,0
1542582738,1,0
1542670352,1,0
1542757711,1,0
1542801674,1,0
1542889216,1,0
1542933141,2,0
1543020748,3,0
1543108101,3,0
1543152035,1,0
1543239369,1,0
1543326974,2,0
1543370920,2,0
1543458247,1,0
1543501932,1,0
1543545631,2,0
1543589312,2,0
1543632966,1,0
1543676657,1,0
1543851862,1,0
1544027070,1,0
1544070739,2,0
1544202521,5,0
1544290087,2,0
1544553404,3,0
1544684437,3,0
1544771775,1,0
1544815451,2,0
1544903046,2,0
1544946739,4,0
1544990665,2,0
1545034332,3,0
1545078026,2,0
1545121714,1,0
1545165365,1,0
1545209070,1,0
1545340337,5,0
1545384041,2,0
1545559237,1,0
1545602936,1,0
1545646824,1,0
1545690744,1,0
1545821785,3,0
1545909133,3,0
1546040411,3,0
1546084333,1,0
1546128025,3,0
1546171952,1,0
1546215643,3,0
1546303239,3,0
1546346889,1,0
1546434271,1,0
1546478445,3,0
1546609698,19,0
1546653395,1,0
1546740742,1,0
1546828091,1,0
1546915453,1,0
1546959157,1,0
1547046933,1,0
1547090677,4,0
1547134586,2,0
1547178249,3,0
1547221959,3,0
1547265642,2,0
1547309369,2,0
1547353001,1,0
1547396676,5,0
1547484272,4,0
1547571610,3,0
1547615312,3,0
1547658984,2,0
1547746334,3,0
1547833938,1,0
1547877882,3,0
1547921792,1,0
1547965469,1,0
1548052829,1,0
1548096737,1,0
1548140677,1,0
1548184337,2,0
1548228044,1,0
1548271950,3,0
1548315640,5,0
1548359309,2,0
1548446701,2,0
1548490581,2,0
1548534517,3,0
1548578176,3,0
1548621873,2,0
1548665550,1,0
1548709222,2,0
1548753159,1,0
1548796843,1,0
1548884681,1,0
1548928340,1,0
1548972036,1,0
1549059381,1,0
1549103070,1,0
1549146731,3,0
1549234091,3,0
1549278035,1,0
1549321963,1,0
1549452967,2,0
1549540327,3,0
1549584033,4,0
1549627938,1,0
1549671618,1,0
1549715307,2,0
1549758989,1,0
1549802659,1,0
1549846331,2,0
1549890037,2,0
1549933716,2,0
1549977371,1,0
1550021052,1,0
1550064753,1,0
1550152092,2,0
1550195768,1,0
1550239473,1,0
1550370495,1,0
1550414171,1,0
1550457870,2,0
1550501529,1,0
1550588897,2,0
1550632571,4,0
1550719942,1,0
1550763609,2,0
1550807290,1,0
1550894660,3,0
1550982251,2,0
1551025928,2,0
1551113541,1,0
1551157222,2,0
1551201138,2,0
1551288746,2,0
1551376112,3,0
1551463453,1,0
1551507135,2,0
1551551084,1,0
1551594983,2,0
1551638654,2,0
1551682404,2,0
1551726528,1,0
1551770198,2,0
1551813853,3,0
1551857537,2,0
1551901210,1,0
1551944894,2,0
1551988595,3,0
1552075932,3,0
1552119628,1,0
1552163290,2,0
1552250654,2,0
1552294328,2,0
1552338024,1,0
1552381690,4,0
1552425367,1,0
1552469077,1,0
1552513253,2,0
1552556915,1,0
1552644265,1,0
1552687932,2,0
1552731632,3,0
1552775295,1,0
1552818990,1,0
1552862670,1,0
1552906330,2,0
1552950021,3,0
1552993964,1,0
1553037629,10,0
1553081321,1,0
1553124976,2,0
1553212365,2,0
1553256019,1,0
1553343372,2,0
1553387050,1,0
1553474410,2,0
1553561771,1,0
1553605725,3,0
1553649436,1,0
1553693332,3,0
1553780649,1,0
1553824347,3,0
1553868020,2,0
1553911727,6,0
1553999048,1,0
1554174040,1,0
1554261389,2,0
1554348756,2,0
1554436115,2,0
1554479771,2,0
1554523469,2,0
1554567129,1,0
1554610815,1,0
1554698167,3,0
1554741869,3,0
1554785532,1,0
1554829220,2,0
1554872912,4,0
1554916570,3,0
1554960252,4,0
1555003952,1,0
1555047639,1,0
1555091310,1,0
1555178654,2,0
1555222332,1,0
1555266029,3,0
1555353372,1,0
1555397068,1,0
1555484436,2,0
1555615471,2,0
1555659150,1,0
1555702832,2,0
1555746488,2,0
1555790185,1,0
1555833860,3,0
1555877535,1,0
1555921209,2,0
1555964888,1,0
1556008580,2,0
1556052497,3,0
1556139863,1,0
1556249292,1,468
1556336667,1,0
1556424035,3,0
1556511368,1,0
1556555070,3,0
1556642430,1,0
1556729788,2,0
1556773452,6,0
1556817151,1,0
1557035771,1,0
1557079717,1,0
1557123370,1,0
1557167069,2,0
1557210743,2,0
1557254406,2,0
1557298091,1,0
1557385470,1,0
1557429131,2,0
1557472826,1,0
1557516487,1,0
1557603847,1,0
1557647525,2,0
1557734913,1,0
1557778584,1,0
1557909608,1,0
1557953287,1,0
1557996976,1,0
1558040657,5,0
1558084361,2,0
1558171957,2,0
1558215612,1,0
1558302969,6,0
1558346652,1,0
1558390359,1,0
1558434030,1,0
1558477692,3,0
1558521366,4,0
1558565067,3,0
1558652437,3,0
1558739769,2,0
1558870831,3,0
1558914488,1,0
1558958164,1,0
1559001876,1,0
1559089258,3,0
1559220272,1,0
1559263953,2,0
1559307637,4,0
1559351561,1,0
1559395228,2,0
1559482567,2,0
1559526251,1,0
1559613617,5,0
1559744648,2,0
1559788333,2,0
1559832008,1,0
1559875687,3,0
1559963298,4,0
1560050892,4,0
1560094569,2,0
1560138253,3,0
1560181934,1,0
1560269539,2,0
1560313208,1,0
1560400813,1,0
1560444503,1,0
1560488170,1,0
1560575543,1,0
1560619222,1,0
1560662887,3,0
1560750248,2,0
1560881591,2,0
1560925239,1,0
1561099950,1,0
1561143611,1,0
1561187318,1,0
1561231002,1,0
1561362033,1,0
1561449637,2,0
1561537215,1,0
1561624576,1,0
1561668273,1,0
1561755623,2,0
1561799311,4,0
1561842979,2,0
1561886651,2,0
1561930353,4,0
1561974010,3,0
1562017715,1,0
1562061391,1,0
1562148764,2,0
1562194128,1,0
1562237784,1,0
1562281459,3,0
1562325131,1,0
1562368805,2,0
1562412497,3,0
1562456174,1,0
1562499867,1,0
1562543534,3,0
1562587219,3,0
1562630912,4,0
1562674572,1,0
1562718251,3,0
1562761941,1,0
1562805608,1,0
1562892987,2,0
1562936653,1,0
1562980337,1,0
1563024011,1,0
1563111384,4,0
1563155074,1,0
1563198734,1,0
1563242414,1,0
1563329775,2,0
1563417150,1,0
1563460827,1,0
1563504758,1,0
1563548422,1,0
1563592116,2,0
1563635789,1,0
1563679450,1,0
1563723148,1,0
1563810509,2,0
1563854183,1,0
1563897880,2,0
1563941551,3,0
1563985205,2,0
1564029143,1,0
1564072824,1,0
1564203852,2,0
1564291221,1,0
1564422254,2,0
1564465948,2,0
1564509616,4,0
1564553310,4,0
1564596986,3,0
1564640651,1,0
1564684349,1,0
1564728007,3,0
1564771711,1,0
1564815397,1,0
1564859314,5,0
1564902988,3,0
1564946668,2,0
1564990351,4,0
1565034010,2,0
1565077942,2,0
1565121656,1,0
1565165307,1,0
1565208974,2,0
1565252653,3,0
1565296331,1,0
1565340015,1,0
1565427386,3,0
1565471062,2,0
1565558413,1,0
1565645770,4,0
1565689469,3,0
1565776822,2,0
1565820494,3,0
1565864184,1,0
1565908132,1,0
1565951770,3,0
1566126487,2,0
1566170173,2,0
1566257540,2,0
1566301212,3,0
1566345141,2,0
1566389066,5,0
1566433000,3,0
1566476664,4,0
1566563971,1,0
1566607961,5,0
1566651644,1,0
1566695317,3,0
1566738991,1,0
1566782663,1,0
1566826357,1,0
1566870009,1,0
1566913714,3,0
1566957406,4,0
1567001327,1,0
1567044990,1,0
1567088653,1,0
1567132335,1,0
1567219696,2,0
1567263372,1,0
1567307563,2,0
1567351475,2,0
1567438807,2,1
1567482496,3,0
1567526189,1,0
1567569879,3,0
1567613653,1,0
1567657697,4,0
1567701367,3,0
1567745050,4,0
1567788736,2,0
