DateTime,AddedIPs,RemovedIPs
1566051342,1,1
1566054944,2,3
1566058538,2,3
1566062136,3,3
1566065736,1,0
1566069334,1,3
1566072931,1,4
1566076523,0,5
1566080123,0,2
1566083720,0,3
1566087314,0,4
1566090927,1,2
1566094506,0,5
1566098102,1,1
1566101702,3,1
1566105305,2,3
1566108900,3,5
1566112500,2,0
1566116098,1,2
1566119697,0,1
1566123295,3,7
1566126893,3,4
1566130489,3,5
1566134087,0,3
1566137694,4,3
1566141283,3,5
1566144882,1,2
1566148482,3,1
1566152073,1,6
1566155671,1,3
1566159260,0,11
1566162859,2,1
1566166452,0,2
1566170045,3,28
1566173640,0,3
1566177241,4,2
1566180835,1,2
1566184433,1,2
1566188033,1,1
1566191627,1,4
1566195228,2,0
1566198822,1,5
1566202423,0,1
1566206024,1,1
1566209619,2,3
1566213216,1,4
1566216818,1,0
1566220416,5,1
1566224014,1,2
1566227606,3,10
1566231207,0,1
1566234802,2,1
1566238403,2,0
1566241999,2,7
1566245606,5,2
1566249202,2,4
1566252801,4,2
1566256395,5,11
1566259999,4,1
1566263595,4,1
1566267197,1,1
1566270795,6,4
1566274389,1,4
1566277987,2,2
1566281591,7,3
1566285191,2,2
1566288786,5,4
1566292386,2,2
1566295982,3,4
1566299586,2,1
1566303179,1,2
1566306778,2,3
1566310379,2,3
1566313977,4,3
1566317573,2,3
1566321172,0,1
1566324781,29,5
1566328383,2,1
1566331982,5,4
1566335586,3,2
1566339184,3,5
1566342785,2,2
1566346385,6,4
1566349988,3,0
1566353588,2,1
1566357192,3,2
1566360791,2,3
1566364393,5,2
1566367994,5,3
1566371592,2,5
1566375190,4,5
1566378797,6,2
1566382396,5,3
1566385997,2,2
1566389592,3,4
1566393194,5,4
1566396795,5,5
1566400403,7,2
1566403996,1,3
1566407595,1,2
1566411193,2,2
1566414798,4,3
1566418396,4,6
1566421994,1,4
1566425595,3,2
1566429199,3,2
1566432804,5,2
1566436404,5,2
1566440008,5,2
1566443612,4,2
1566447134,3,70
1566450737,4,3
1566454341,9,4
1566457940,3,3
1566461541,3,2
1566465154,7,1
1566468760,5,1
1566472359,3,1
1566475962,3,2
1566479567,2,0
1566483170,4,1
1566486778,7,2
1566490375,2,5
1566493971,0,6
1566497574,6,5
1566501174,2,4
1566504774,3,1
1566508372,2,2
1566511984,10,0
1566515572,4,31
1566519174,6,3
1566522775,3,2
1566526378,6,1
1566529989,15,1
1566533596,16,1
1566537199,4,1
1566540801,4,0
1566544401,2,2
1566548004,5,1
1566551611,8,1
1566555213,4,1
1566558821,7,0
1566562423,1,0
1566566022,3,4
1566569621,1,4
1566573227,4,1
1566576831,5,0
1566580431,4,3
1566584034,4,1
1566587634,2,1
1566591236,5,3
1566594839,1,0
1566598443,5,4
1566602045,6,6
1566605646,4,2
1566609245,3,3
1566612847,8,1
1566616454,6,1
1566620051,4,8
1566623651,5,2
1566627257,5,3
1566630859,5,5
1566634461,8,3
1566638058,4,6
1566641657,3,1
1566645261,3,2
1566648866,5,0
1566652462,4,6
1566656065,4,2
1566659666,6,2
1566663273,18,1
1566666881,12,4
1566670485,7,6
1566674086,4,4
1566677691,6,1
1566681292,2,1
1566684916,8,1
1566688498,3,6
1566692098,2,2
1566695706,4,2
1566699307,3,0
1566702910,5,2
1566706509,4,5
1566710108,3,2
1566713708,0,1
1566717308,1,0
1566720911,7,5
1566724513,6,0
1566728111,2,4
1566731711,0,2
1566735310,2,3
1566738908,5,6
1566742511,6,3
1566746115,6,5
1566749719,3,0
1566753321,3,2
1566756919,5,4
1566760520,3,0
1566764119,1,4
1566767719,1,1
1566771322,3,2
1566774921,4,5
1566778523,3,1
1566782121,0,3
1566785723,2,0
1566789320,3,8
1566792921,2,1
1566796526,5,2
1566800126,1,4
1566803729,4,0
1566807329,3,4
1566810931,5,1
1566814533,2,3
1566818131,1,2
1566821729,2,2
1566825330,5,4
1566828933,7,1
1566832535,6,4
1566836135,1,1
1566839734,1,6
1566843328,0,4
1566846937,4,1
1566850533,4,5
1566854134,1,1
1566857730,2,4
1566861322,2,5
1566864924,3,5
1566868523,3,5
1566872123,1,3
1566875719,4,4
1566879318,4,1
1566882915,2,5
1566886511,1,4
1566890109,1,5
1566893708,1,4
1566897306,2,1
1566900907,4,2
1566904507,2,2
1566908105,3,6
1566911698,3,3
1566915298,5,2
1566918902,5,3
1566922502,4,2
1566926098,1,3
1566929684,2,29
1566933282,1,3
1566936882,2,1
1566940476,3,5
1566944072,3,4
1566947670,1,1
1566951269,3,6
1566954868,0,1
1566958467,4,4
1566962064,3,3
1566965665,3,2
1566969260,1,4
1566972863,5,4
1566976457,3,7
1566980052,1,5
1566983650,4,5
1566987252,5,3
1566990849,2,4
1566994445,3,5
1566998041,4,4
1567001638,1,3
1567005238,1,1
1567008835,1,5
1567012432,0,3
1567016032,2,3
1567019630,0,1
1567023229,0,2
1567026823,1,6
1567030417,1,5
1567034016,1,1
1567037617,1,1
1567041216,2,1
1567044811,2,7
1567048409,3,5
1567052007,2,3
1567055615,7,0
1567059215,2,7
1567062810,0,4
1567066405,3,8
1567070003,1,2
1567073607,4,1
1567077204,0,3
1567080802,1,3
1567084392,0,5
1567087994,2,1
1567091589,2,5
1567095186,2,6
1567098782,2,3
1567102374,1,5
1567105972,1,3
1567109567,2,5
1567113161,1,6
1567116747,1,10
1567120344,2,4
1567123944,1,3
1567127543,1,4
1567131141,2,5
1567134733,0,10
1567138319,1,22
1567141915,1,10
1567145510,1,5
1567149109,1,3
1567152703,1,8
1567156302,2,4
1567159895,2,5
1567163496,3,2
1567167104,28,1
1567170699,0,4
1567174300,1,1
1567177895,0,2
1567181491,1,4
1567185081,0,6
1567188681,1,3
1567192279,1,1
1567195872,1,6
1567199472,3,0
1567203065,0,5
1567206661,0,5
1567210256,0,3
1567213850,2,4
1567217442,1,5
1567221038,3,6
1567224638,1,3
1567228235,2,5
1567231828,0,4
1567235426,1,1
1567239019,1,5
1567242620,1,3
1567246217,0,5
1567249809,0,3
1567253410,3,2
1567257007,0,4
1567260605,0,4
1567264196,1,7
1567267799,24,18
1567271386,1,15
1567274979,1,5
1567278573,1,6
1567282174,14,3
1567285778,17,2
1567289372,6,7
1567292972,4,1
1567296570,1,3
1567300164,1,2
1567303760,0,3
1567307359,4,5
1567310961,3,1
1567314557,0,5
1567318157,2,3
1567321756,1,1
1567325352,2,6
1567328953,3,6
1567332555,1,2
1567336149,1,4
1567339740,0,5
1567343339,0,2
1567346936,3,6
1567350526,1,8
1567354118,1,7
1567357714,1,5
1567361318,2,2
1567364910,2,7
1567368508,0,1
1567372103,0,2
1567375694,1,7
1567379293,1,4
1567382891,3,4
1567390088,2,4
1567393687,1,2
1567397285,0,3
1567400884,4,3
1567404484,1,0
1567408078,0,4
1567411674,1,5
1567415270,6,5
1567418902,41,2
1567422506,3,1
1567426106,0,3
1567429703,0,2
1567433296,0,7
1567436890,0,4
1567440494,2,0
1567444090,1,3
1567447689,0,1
1567451285,0,2
1567454884,2,2
1567458485,11,2
1567462088,4,3
1567465687,3,1
1567469285,1,3
1567472884,0,2
1567476484,2,2
1567480082,0,3
1567483681,1,1
1567487285,2,1
1567490884,2,0
1567494485,3,2
1567498083,1,2
