DateTime,AddedIPs,RemovedIPs
1551398424,0,1
1551405627,1,0
1551466831,1,0
1551470432,0,1
1551556840,1,0
1551564034,1,0
1551567631,0,2
1551571237,0,1
1551574833,0,2
1551646832,1,0
1551679229,0,1
1551733219,0,1
1551772825,0,1
1551801634,0,1
1551830423,0,6
1551837617,0,2
1551844824,0,1
1551848413,0,1
1551852028,0,3
1551855629,0,6
1551920426,0,1
1551985209,0,1
1551988813,1,0
1552003218,0,1
1552010420,1,0
1552046434,0,1
1552053627,1,0
1552068019,0,1
1552129218,1,0
1552136418,1,0
1552154420,0,1
1552161619,0,1
1552172417,0,1
1552262422,1,0
1552266012,1,0
1552298418,1,0
1552316421,1,0
1552359627,1,0
1552514414,0,1
1552600816,0,1
1552687251,1,0
1552741216,0,1
1552744826,0,1
1552762832,1,0
1552788015,0,1
1552791619,1,0
1552845614,4,0
1552881626,0,1
1552917636,1,0
1552964418,0,1
1552975221,1,0
1552996821,0,1
1553043627,0,1
1553230831,1,0
1553234420,1,0
1553317230,0,1
1553364013,1,0
1553374814,0,1
1553385612,1,0
1553421629,0,1
1553425232,0,1
1553436017,0,1
1553450422,0,3
1553454026,0,1
1553536832,0,1
1553839224,0,2
1553842817,0,1
1553875219,1,0
1553983219,0,1
1553990416,0,1
1554037216,1,0
1554084015,1,0
1554098418,1,0
1554202823,1,0
1554246023,1,0
1554325224,1,0
1554336020,1,0
1554397223,1,0
1554408025,1,0
1554433230,1,0
1554454835,1,0
1554552018,0,1
1554562825,1,0
1554595219,1,0
1554606024,1,0
1554642021,1,0
1554703220,0,1
1554710422,1,0
1554724828,1,0
1554728426,1,0
1554735627,1,0
1554742831,1,0
1554746428,1,0
1554750030,1,0
1554800430,1,0
1554818429,0,1
1554843638,2,0
1554858031,1,0
1554876031,0,1
1554883234,0,1
1554908433,1,0
1554933633,1,0
1554937235,3,0
1554980437,1,0
1555002034,0,1
1555009249,1,0
1555020038,2,0
1555030836,1,0
1555059634,0,2
1555063234,0,1
1555106440,1,1
1555110047,1,0
1555146036,0,1
1555200038,0,1
1555225245,0,1
1555228836,1,0
1555236039,0,1
1555254038,0,1
1555282851,1,0
1555333236,1,2
1555340442,1,1
1555347635,0,1
1555351235,1,0
1555354860,0,1
1555362033,0,1
1555365634,1,0
1555416033,1,1
1555419633,0,1
1555444830,0,1
1555448429,0,2
1555455645,1,0
1555470053,0,1
1555516838,0,1
1555538432,0,1
1555542042,0,3
1555585226,0,1
1555599630,1,0
1555606831,1,0
1555610435,1,0
1555614028,0,1
1555617627,1,0
1555624830,0,2
1555635625,0,1
1555714828,0,2
1555790426,1,0
1555801227,1,0
1555812030,1,0
1555837232,1,0
1555920028,1,0
1555941626,1,1
1555959631,0,1
1555970425,0,1
1556020826,0,1
1556035229,1,0
1556100023,0,1
1556103625,1,0
1556114428,0,1
1556186429,2,0
1556204428,0,1
1556215223,0,1
1556222423,0,1
1556236826,0,1
1556287223,0,1
1556398823,1,0
1556406025,0,1
1556438420,0,1
1556442024,0,1
1556445622,0,1
1556474419,1,0
1556478021,2,0
1556503220,1,0
1556521221,1,1
1556578820,0,1
1556640020,1,1
1556758828,1,0
1556787620,1,1
1556791221,2,1
1556802027,2,0
1556805622,1,0
1556809226,2,0
1556812828,2,0
1556816425,2,0
1556820033,1,0
1556823633,1,0
1556834428,2,0
1556852427,0,1
1556870428,2,0
1556874032,1,0
1556877629,1,0
1556881232,1,0
1556884836,1,0
1556917238,2,0
1556935234,1,0
1556956847,1,0
1556967633,1,0
1557003641,0,1
1557079230,0,1
1557082835,0,1
1557086431,0,1
1557118837,0,1
1557126029,0,1
1557180027,1,0
1557183635,2,0
1557248438,0,1
1557259233,1,0
1557273634,2,0
1557338433,1,0
1557349238,1,0
1557367235,1,0
1557396033,0,2
1557406832,0,3
1557414047,0,2
1557417636,1,2
1557421235,0,1
1557424829,0,2
1557439228,0,2
1557475228,0,1
1557478827,0,1
1557482429,0,1
1557486040,0,2
1557493223,0,2
1557500430,0,1
1557522022,0,1
1557525621,0,1
1557568826,1,1
1557572429,1,1
1557576020,0,1
1557601225,0,1
1557619220,1,0
1557669619,1,0
1557774044,1,0
1557784822,1,0
1557788421,0,2
1557802826,1,0
1557806422,1,0
1557856821,0,1
1557860425,0,1
1557864023,0,1
1557878419,0,2
1557943222,0,1
1557950420,1,0
1558029617,0,1
1558062018,1,0
1558087219,1,0
1558094419,1,0
1558123222,1,0
1558173623,0,1
1558177223,0,1
1558224022,0,1
1558260020,0,1
1558270824,1,0
1558274424,1,1
1558278020,1,0
1558281622,1,0
1558378825,0,1
1558389620,0,1
1558400419,0,1
1558429219,0,1
1558526421,1,0
1558573220,0,1
1558627224,1,0
1558663227,1,0
1558670421,0,1
1558681221,0,1
1558695626,0,1
1558800020,1,0
1558832424,0,1
1558879223,0,1
1558897223,0,1
1558936818,1,0
1558994427,1,0
1558998019,1,0
1559005221,1,0
1559080821,0,1
1559131220,0,1
1559217620,1,0
1559232018,0,1
1559242824,1,0
1559246420,1,0
1559268020,0,1
1559322021,1,0
1559541623,0,1
1559574023,0,1
1559595620,0,1
1559599216,0,2
1559710818,1,0
1559746814,0,1
1559822418,0,1
1559826015,1,0
1559833218,0,1
1559854813,0,1
1559858418,1,0
1559876412,0,1
1559980822,1,0
1559984413,1,0
1559995214,1,0
1560031215,1,0
1560038415,1,0
1560110416,3,0
1560290418,1,0
1560294031,9,0
1560358841,1,0
1560369629,0,1
1560416429,2,0
1560430832,0,1
1560463230,0,1
1560484828,1,0
1560492028,1,0
1560585626,0,1
1560589235,0,1
1560603628,0,1
1560704428,0,1
1560715224,0,2
1560722423,0,1
1560740425,1,0
1560751224,1,0
1560801625,1,0
1560812425,1,0
1560895225,0,1
1560898818,0,9
1560916825,2,0
1560931226,1,0
1560938422,0,1
1560970822,1,0
1560978028,1,0
1561021223,0,2
1561042822,1,0
1561082426,1,0
1561089623,0,1
1561096824,0,1
1561118428,1,0
1561136425,1,0
1561276827,1,0
1561291231,1,0
1561320025,0,1
1561356025,0,1
1561377632,1,1
1561428026,0,1
1561435223,0,1
1561438832,1,0
1561503625,1,0
1561521622,0,1
1561536021,0,1
1561543224,1,0
1561582823,0,1
1561597223,0,1
1561604427,1,0
1561694427,0,1
1561723220,0,1
1561744820,0,2
1561806024,1,0
1561896018,0,1
1561982421,1,0
1561986024,0,1
1562011224,1,0
1562022031,1,0
1562025620,0,1
1562094020,1,0
1562119222,2,0
1562130022,0,1
1562133628,0,1
1562241623,0,1
1562252424,1,0
1562320819,0,1
1562328026,2,0
1562414424,0,1
1562511628,1,0
1562522424,1,0
1562605223,0,1
1562619620,0,1
1562626819,1,0
1562670020,1,0
1562709620,0,1
1562724018,0,2
1562785223,1,0
1562868021,0,1
1562900418,1,0
1562918419,1,0
1562943618,0,1
1562947222,0,1
1563019219,1,0
1563051618,0,1
1563134417,0,1
1563159628,1,0
1563202818,0,1
1563246020,1,0
1563271219,0,1
1563282019,1,0
1563390116,0,1
1563397218,0,1
1563519616,0,1
1563530418,1,1
1563548421,1,0
1563634817,2,0
1563642018,0,1
1563656419,2,0
1563667221,2,0
1563771621,1,0
1563793221,0,1
1563825621,1,0
1563854420,0,1
1563890513,0,1
1563915730,1,0
1563980485,1,0
1564002111,1,0
1564048944,1,0
1564135348,0,1
1564189314,1,0
1564239772,0,1
1564243321,0,1
1564257757,1,0
1564261324,0,2
1564300930,0,1
1564304527,0,1
1564326018,1,0
1564426818,1,0
1564441219,0,2
1564466416,0,1
1564513215,1,0
1564520415,0,1
1564542016,1,0
1564563615,1,0
1564606815,0,1
1564628416,1,0
1564678818,1,0
1564740017,0,1
1564801217,0,1
1564851618,1,0
1564866018,0,1
1564920018,0,1
1564981215,0,1
1565010019,1,0
1565031618,0,1
1565053220,1,0
1565136020,1,0
1565146820,0,1
1565168419,0,1
1565204420,0,1
1565251226,0,1
1565283616,0,1
1565366417,1,0
1565377218,1,0
1565442018,0,1
1565463618,1,0
1565546419,0,1
1565622018,1,0
1565629217,0,1
1565730018,1,0
1565740817,1,1
1565748019,1,0
1565809218,1,0
1565812817,2,1
1565856019,1,0
1565877618,1,0
1565892019,1,0
1565906420,1,0
1565913622,0,1
1565982018,0,1
1566086417,0,1
1566158417,0,1
1566162017,1,0
1566226817,0,1
1566241219,1,0
1566284420,1,0
1566334821,1,0
1566345622,1,0
1566349223,1,0
1566374421,0,1
1566378023,1,0
1566381621,0,1
1566399625,1,0
1566414024,0,1
1566417621,0,2
1566475223,1,0
1566489628,0,1
1566514822,0,1
1566522021,0,1
1566525625,1,0
1566565220,0,1
1566766819,0,1
1566777619,0,1
1566810018,1,0
1566885619,1,0
1566889219,0,1
1566950421,2,0
1566982821,0,1
1566993620,0,2
1567026019,0,1
1567080016,0,1
1567094414,0,1
1567134014,0,1
1567418414,0,1
1567508412,0,1
1567526412,1,0
1567555213,2,0
1567569614,1,0
1567591212,0,1
1567605611,0,1
1567724412,1,0
1567728015,1,0
