DateTime,AddedIPs,RemovedIPs
1565852882,2,1
1565856713,2,0
1565860083,0,1
1565863692,0,1
1565867282,1,1
1565874493,1,2
1565878293,1,3
1565881684,0,3
1565885278,0,5
1565892485,3,2
1565896272,3,3
1565899673,0,1
1565903273,1,1
1565906872,2,3
1565910477,3,1
1565914270,4,2
1565917678,2,1
1565921278,1,0
1565924878,2,2
1565928475,0,3
1565939276,1,0
1565942886,1,0
1565946482,3,1
1565950306,1,0
1565953677,1,3
1565957274,1,8
1565960878,2,5
1565964479,2,0
1565968305,1,1
1565971678,2,4
1565975279,2,0
1565978878,2,2
1565982489,7,2
1565986314,3,2
1565989691,1,4
1565993286,2,2
1565996897,3,2
1566000486,2,2
1566004312,1,1
1566007684,0,2
1566011287,0,1
1566014892,1,1
1566018491,1,0
1566022311,1,2
1566025691,1,0
1566029286,1,0
1566032891,0,1
1566036486,1,5
1566040280,0,1
1566043680,1,3
1566047279,1,1
1566050885,1,1
1566054484,2,2
1566058272,2,2
1566061688,1,1
1566068882,0,3
1566072478,2,5
1566076275,1,2
1566079674,2,0
1566083282,4,1
1566086890,4,1
1566090485,2,2
1566094295,1,1
1566101286,1,0
1566104885,1,0
1566108479,0,4
1566115685,2,0
1566119281,1,1
1566122880,0,1
1566126485,1,2
1566130276,1,1
1566133690,4,0
1566137303,3,0
1566140894,2,1
1566144490,0,1
1566148227,2,0
1566151815,2,0
1566155297,2,1
1566158898,3,2
1566162496,0,1
1566166243,0,2
1566169813,1,2
1566173291,2,2
1566176894,1,1
1566180491,0,1
1566184238,0,1
1566187808,1,0
1566191293,3,1
1566194887,0,2
1566198492,0,3
1566202225,1,1
1566205695,1,1
1566209398,1,0
1566212886,0,1
1566220221,0,1
1566223683,1,0
1566227411,0,1
1566230883,1,1
1566234494,3,0
1566241695,1,0
1566245289,2,2
1566249015,3,5
1566252486,4,2
1566256238,1,1
1566259691,1,1
1566263297,2,0
1566266892,0,1
1566274244,1,1
1566277693,1,1
1566281286,1,1
1566284899,1,2
1566288492,1,2
1566292288,4,2
1566295692,0,2
1566299291,0,1
1566302886,2,1
1566306499,4,2
1566310222,3,2
1566313811,5,3
1566317304,2,3
1566320902,3,1
1566324495,2,4
1566328235,2,1
1566331699,1,1
1566335429,6,2
1566338912,5,2
1566342509,1,3
1566346244,4,3
1566349721,1,3
1566353323,3,0
1566357034,4,2
1566364255,1,0
1566374924,1,0
1566378638,0,1
1566382255,2,1
1566385721,1,1
1566389320,1,1
1566392921,3,1
1566396643,4,0
1566400259,0,1
1566403733,2,1
1566407327,3,3
1566410927,2,0
1566414657,2,0
1566418273,1,1
1566421741,4,0
1566425338,2,1
1566428954,4,0
1566432666,3,1
1566436285,2,1
1566439755,3,2
1566443352,0,1
1566450665,2,1
1566454283,2,1
1566457753,0,1
1566464946,1,0
1566468664,1,0
1566475753,2,3
1566479345,2,1
1566482955,3,2
1566486656,1,3
1566493747,3,1
1566497348,2,4
1566500960,3,3
1566504663,1,0
1566508284,2,2
1566511750,2,2
1566515346,0,3
1566518954,2,1
1566522663,2,0
1566526282,1,2
1566529755,0,3
1566533357,1,1
1566536946,0,1
1566540671,3,1
1566544287,0,3
1566547741,1,0
1566554949,2,1
1566558670,3,2
1566562309,0,1
1566565766,7,2
1566569364,1,2
1566572961,4,1
1566576687,4,2
1566580312,2,0
1566583774,1,0
1566587384,5,0
1566590994,6,1
1566598348,1,0
1566601783,1,2
1566605383,1,2
1566608982,2,2
1566612691,1,2
1566616322,2,1
1566619782,2,0
1566623386,0,1
1566626980,1,0
1566630701,2,0
1566634323,1,1
1566637785,1,1
1566641386,2,1
1566644987,1,1
1566648703,1,1
1566652326,3,0
1566655786,3,2
1566659384,0,2
1566662984,2,2
1566666718,2,1
1566670341,4,2
1566673788,1,1
1566677392,2,1
1566680989,5,2
1566684719,4,2
1566688340,2,1
1566691792,2,3
1566695392,5,2
1566699002,3,0
1566702722,0,4
1566706331,1,0
1566713389,0,1
1566716990,0,2
1566720708,1,0
1566724328,1,0
1566727789,0,1
1566731393,1,0
1566734996,1,0
1566738713,1,0
1566742320,3,2
1566745788,1,1
1566749390,2,3
1566752994,0,1
1566756713,1,2
1566760341,2,1
1566763790,5,1
1566767402,2,1
1566770992,1,2
1566774673,3,1
1566778340,1,2
1566781795,0,1
1566785390,0,1
1566788998,1,1
1566792714,0,2
1566796333,3,1
1566803392,1,1
