DateTime,AddedIPs,RemovedIPs
1561104221,1,0
1561122189,0,2
1561143683,1,0
1561165386,0,1
1561172490,0,3
1561176080,0,2
1561183277,0,4
1561186877,1,0
1561204873,0,1
1561208575,1,0
1561226485,1,1
1561233820,1,0
1561248078,1,1
1561273287,4,0
1561280589,1,1
1561291284,1,0
1561316493,1,0
1561323792,0,1
1561327294,0,1
1561341810,0,1
1561345284,0,1
1561370485,1,0
1561381383,0,1
1561402881,0,1
1561413685,1,0
1561417422,4,0
1561431686,0,1
1561464087,1,0
1561493023,2,0
1561496608,1,0
1561500101,1,0
1561507299,2,0
1561511035,1,0
1561525511,0,1
1561593696,0,2
1561601082,0,1
1561608100,0,2
1561622625,0,1
1561640611,2,0
1561644222,2,1
1561662097,1,0
1561665822,1,0
1561669412,0,1
1561676647,4,0
1561698321,1,0
1561701706,0,1
1561705304,0,1
1561712610,0,1
1561723302,1,0
1561727015,1,0
1561737704,1,0
1561748505,0,2
1561763054,1,1
1561791704,0,1
1561824103,1,0
1561838665,0,1
1561842211,1,1
1561856610,0,1
1561878098,0,2
1561885402,0,1
1561925017,0,2
1561928616,1,0
1561943000,0,1
1561953694,0,1
1561964498,2,0
1561975303,0,1
1562015002,0,1
1562022093,1,3
1562054610,2,0
1562072597,1,0
1562097697,0,2
1562104896,0,1
1562112088,0,1
1562119281,0,3
1562133685,0,1
1562162484,1,0
1562166086,2,0
1562169687,1,0
1562176886,1,0
1562180485,1,0
1562194885,1,0
1562209285,1,0
1562227290,0,1
1562234485,1,0
1562248882,0,4
1562270486,1,1
1562281280,0,2
1562284883,1,0
1562292090,2,0
1562313689,0,1
1562342484,1,0
1562349683,1,1
1562364083,0,1
1562367679,0,2
1562371284,0,1
1562382080,0,1
1562392881,0,2
1562407278,1,0
1562421673,0,1
1562428870,0,2
1562436071,0,2
1562450466,1,0
1562497267,1,0
1562508070,1,0
1562526067,0,1
1562569271,0,2
1562580066,2,0
1562626881,1,0
1562637668,1,0
1562641270,1,0
1562659380,0,2
1562666471,1,0
1562677366,0,1
1562691876,0,1
1562724177,0,1
1562760070,2,0
1562767381,0,1
1562785271,0,1
1562803270,1,0
1562806976,2,0
1562810486,1,0
1562814182,3,1
1562821366,0,1
1562828584,1,0
1562832073,1,0
1562839280,1,0
1562842986,0,1
1562868086,1,0
1562875275,1,2
1562896881,0,1
1562915010,1,0
1562918485,1,0
1562950976,0,2
1562954470,0,2
1562961672,2,0
1562965371,1,0
1562976080,2,0
1562997681,1,0
1563022982,2,0
1563040881,1,0
1563051788,1,0
1563059030,1,0
1563062494,1,0
1563066185,1,0
1563087818,0,1
1563091285,1,0
1563102237,1,0
1563105693,1,0
1563109392,0,1
1563112885,1,0
1563141687,1,0
1563148888,1,0
1563159837,0,1
1563181285,0,1
1563195689,1,0
1563199290,1,0
1563213693,1,0
1563228091,2,0
1563260623,1,0
1563300093,2,0
1563307373,0,1
1563321772,0,1
1563325290,0,1
1563332651,0,1
1563343291,1,0
1563354097,1,0
1563364996,1,0
1563368493,1,0
1563375830,0,1
1563382908,0,1
1563408196,1,0
1563411691,0,1
1563415293,0,1
1563422717,0,1
1563433402,0,1
1563444088,0,1
1563447802,1,0
1563455029,0,1
1563458650,0,1
1563473040,1,0
1563519810,0,1
1563537788,1,0
1563548599,1,0
1563552189,0,1
1563563002,0,1
1563573798,1,0
1563577290,1,0
1563580987,1,1
1563598886,0,2
1563613286,1,1
1563624186,0,1
1563634881,0,2
1563645683,1,0
1563649397,0,1
1563656484,0,1
1563660198,0,1
1563663682,0,2
1563667384,1,0
1563685283,1,0
1563688881,0,1
1563710581,0,1
1563717680,0,2
1563728478,1,0
1563735806,0,1
1563764476,1,1
1563775277,2,0
1563811500,1,0
1563814878,0,1
1563833017,0,3
1563836474,0,1
1563840185,1,1
1563847278,0,1
1563865411,1,0
1563868985,0,1
1563879673,1,0
1563890557,0,1
1563901393,0,1
