DateTime,Entries,UniqueIPs
1560038792,13544,13544
1560053213,13649,13649
1560067766,13713,13713
1560082103,13760,13760
1560096480,13757,13757
1560111016,13772,13772
1560125255,13703,13703
1560139641,13688,13688
1560154123,13654,13654
1560168342,13596,13596
1560182931,13799,13799
1560197563,13874,13874
1560211831,13931,13931
1560226311,13960,13960
1560240721,13940,13940
1560254972,13936,13936
1560269331,13935,13935
1560283798,13913,13913
1560298085,13903,13903
1560312488,13932,13932
1560326958,13932,13932
1560341218,13914,13914
1560355644,13926,13926
1560370302,14101,14101
1560384663,14139,14139
1560399027,14129,14129
1560413533,14136,14136
1560427821,14140,14140
1560442217,14112,14112
1560456761,14132,14132
1560471055,14137,14137
1560485432,14102,14102
1560499911,14086,14086
1560514190,14035,14035
1560528576,14026,14026
1560543171,14167,14167
1560557454,14159,14159
1560571818,14117,14117
1560586303,14068,14068
1560600544,14017,14017
1560614905,13963,13963
1560629373,13930,13930
1560643672,13903,13903
1560658084,13920,13920
1560672494,13826,13826
1560686736,13764,13764
1560701100,13729,13729
1560715556,13668,13668
1560729847,13663,13663
1560744345,13704,13704
1560758865,13715,13715
1560773093,13663,13663
1560787788,13599,13599
1560802129,13709,13709
1560816633,13807,13807
1560830939,13939,13939
1560845418,13966,13966
1560859736,13927,13927
1560888661,14014,14014
1560902961,14054,14054
1560917357,14055,14055
1560931851,14060,14060
1560946139,14035,14035
1560960533,14023,14023
1560975365,14067,14067
1560989388,14115,14115
1561003836,14149,14149
1561018314,14121,14121
1561032521,14027,14027
1561047003,14038,14038
1561061402,14008,14008
1561075675,14020,14020
1561090155,14061,14061
1561104607,14027,14027
1561118917,14017,14017
1561133304,14021,14021
1561147836,14034,14034
1561162107,13994,13994
1561176576,14059,14059
1561191087,14070,14070
1561205377,14078,14078
1561219748,14053,14053
1561234297,14053,14053
1561248617,14144,14144
1561263090,14292,14292
1561277669,14408,14408
1561292038,14506,14506
1561306462,14546,14546
1561320981,14569,14569
1561335321,14576,14576
1561349553,14472,14472
1561364005,14399,14399
1561378268,14399,14399
1561392664,14341,14341
1561407066,14277,14277
1561421472,14425,14425
1561435995,14571,14571
1561450582,14678,14678
1561464798,14675,14675
1561479168,14608,14608
1561493641,14614,14614
1561507945,14590,14590
1561522301,14562,14562
1561536790,14556,14556
1561551054,14538,14538
1561565412,14514,14514
1561579982,14620,14620
1561594278,14587,14587
1561608711,14570,14570
1561623196,14581,14581
1561637480,14572,14572
1561651906,14572,14572
1561666380,14584,14584
1561680732,14659,14659
1561695314,14884,14884
1561709863,14959,14959
1561724146,14946,14946
1561738542,14965,14965
1561752965,14909,14909
1561767292,14937,14937
1561781796,14986,14986
1561796289,14961,14961
1561810582,14962,14962
1561824939,14913,14913
1561839498,14937,14937
1561853828,14967,14967
1561868182,14904,14904
1561882700,14899,14899
1561896954,14831,14831
1561911390,14822,14822
1561925972,14973,14973
1561940379,15189,15189
1561954876,15282,15282
1561969407,15312,15312
1561983982,15365,15365
1561998335,15421,15421
1562012700,15472,15472
1562027318,15843,15843
1562041844,15978,15978
1562056336,16021,16021
1562070652,15984,15984
1562085001,15915,15915
1562099445,15944,15944
1562113964,15950,15950
1562128404,15989,15989
1562142833,16028,16028
1562157239,16050,16050
1562171638,16054,16054
1562186082,16073,16073
1562200484,16072,16072
1562214933,16119,16119
1562229256,16075,16075
1562243669,16086,16086
1562258094,16118,16118
1562272545,16146,16146
1562287008,16181,16181
1562301456,16097,16097
1562315711,16039,16039
1562330128,16040,16040
1562344525,16020,16020
1562358972,16054,16054
1562373388,16028,16028
1562387874,16106,16106
1562402283,16112,16112
1562416653,16092,16092
1562431138,16139,16139
1562445685,16280,16280
1562460105,16430,16430
1562474689,16604,16604
1562489063,16595,16595
1562503490,16631,16631
1562517838,16595,16595
1562532189,16512,16512
1562546553,16424,16424
1562560849,16304,16304
1562575218,16211,16211
1562589504,16087,16087
1562603781,15942,15942
1562618057,15756,15756
1562632464,15677,15677
1562646744,15621,15621
1562661089,15521,15521
1562675335,15463,15463
1562689716,15434,15434
1562704190,15376,15376
1562718466,15364,15364
1562732805,15283,15283
1562747182,15156,15156
1562761464,15108,15108
1562775830,15079,15079
1562790278,15017,15017
1562805025,15652,15652
1562819585,15782,15782
1562833909,15759,15759
1562848301,15728,15728
1562862707,15696,15696
1562877068,15655,15655
1562891490,15753,15753
1562905931,15793,15793
1562920320,15784,15784
1562934690,15707,15707
1562949102,15681,15681
1562963562,15782,15782
1562978020,15893,15893
1562992493,15930,15930
1563006974,16035,16035
1563021400,16071,16071
1563035744,16017,16017
1563050174,16063,16063
1563064608,16075,16075
1563078901,15995,15995
1563093313,16023,16023
1563107647,15939,15939
1563122068,15914,15914
1563136480,15927,15927
1563151005,16030,16030
1563176125,15964,15964
1563190491,15921,15921
1563205134,16071,16071
1563219465,16094,16094
1563234061,16278,16278
1563248529,16356,16356
1563262939,16373,16373
1563277414,16468,16468
1563291889,16546,16546
1563306292,16557,16557
1563320763,16538,16538
1563334993,16428,16428
1563349215,16290,16290
1563363600,16264,16264
1563378047,16309,16309
1563392909,16362,16362
1563407120,16228,16228
1563421392,16072,16072
1563435955,16020,16020
1563449726,15943,15943
1563464891,15935,15935
1563465033,15917,15917
1563479535,15828,15828
1563492992,15745,15745
1563507040,15635,15635
1563521528,15600,15600
1563535793,15574,15574
1563550104,15523,15523
1563564433,15473,15473
1563578731,15351,15351
1563593031,15194,15194
1563607539,15159,15159
1563621708,15013,15013
1563636070,15007,15007
1563650611,15050,15050
1563664893,15011,15011
1563679162,14896,14896
1563693537,14717,14717
1563707749,14636,14636
1563722085,14590,14590
1563736554,14556,14556
1563750962,14705,14705
1563765186,14448,14448
1563779627,14369,14369
1563793880,14313,14313
1563808105,14089,14089
1563822555,14056,14056
1563836842,14117,14117
1563851161,14056,14056
1563865633,14034,14034
1563879861,13970,13970
1563894919,13902,13902
1563909694,13910,13910
1563923864,13922,13922
1563938259,13953,13953
1563952630,13884,13884
1563966967,13832,13832
1563981376,13773,13773
1563995786,13821,13821
1564011145,13796,13796
1564011158,15334,15334
1564025801,15485,15485
1564040335,15544,15544
1564054812,15543,15543
1564069120,15531,15531
1564083667,15569,15569
1564098790,16627,16627
1564113503,16773,16773
1564127987,16990,16990
1564146193,17132,17132
1564164289,17182,17182
1564182262,17560,17560
1564200998,18169,18169
1564219107,18418,18418
1564237410,18553,18553
1564255313,18571,18571
1564273366,18725,18725
1564291641,18902,18902
1564309252,19018,19018
1564326389,19082,19082
1564344400,19084,19084
1564362403,19089,19089
1564380458,19106,19106
1564398304,19084,19084
1564416285,19079,19079
1564434281,19032,19032
1564452405,19092,19092
1564470422,19201,19201
1564488443,19240,19240
1564506501,19339,19339
1564524617,19352,19352
1564542533,19375,19375
1564560446,19318,19318
1564578416,19308,19308
1564596534,19300,19300
1564614384,19149,19149
1564632144,18897,18897
1564650131,18855,18855
1564668204,18806,18806
1564686078,18775,18775
1564703895,18533,18533
1564721932,18522,18522
1564739974,18369,18369
1564757840,18288,18288
1564772259,18249,18249
1564786580,18127,18127
1564800909,17973,17973
1564815422,18031,18031
1564829817,18002,18002
1564844186,17939,17939
1564858625,17967,17967
1564873067,17971,17971
1564887465,17962,17962
1564901993,18009,18009
1564919919,17963,17963
1564937911,17949,17949
1564956004,17921,17921
1564973888,17907,17907
1564991739,17751,17751
1565006137,17732,17732
1565020450,17634,17634
1565034829,17598,17598
1565049241,17593,17593
1565063627,17540,17540
1565078057,17549,17549
1565092483,17530,17530
1565106904,17513,17513
1565121306,17451,17451
1565135686,17411,17411
1565150095,17402,17402
1565164448,17347,17347
1565178850,17320,17320
1565193228,17304,17304
1565207555,17225,17225
1565221937,17213,17213
1565236402,17251,17251
1565250810,17234,17234
1565265248,17260,17260
1565279694,17291,17291
1565294111,17270,17270
1565308512,17195,17195
1565322948,17219,17219
1565337333,17197,17197
1565351671,17131,17131
1565366056,17085,17085
1565380492,17109,17109
1565394932,17119,17119
1565409369,17120,17120
1565423720,17073,17073
1565438081,17024,17024
1565452577,17004,17004
1565466950,17095,17095
1565481370,17108,17108
1565495721,17039,17039
1565510109,16947,16947
1565524468,16891,16891
1565538850,16837,16837
1565553267,16815,16815
1565567628,16756,16756
1565581968,16644,16644
1565596383,16617,16617
