DateTime,Entries,UniqueIPs
1560875940,11494,11494
1560886790,11511,11511
1560897513,11531,11531
1560908318,11559,11559
1560919158,11571,11571
1560930006,11586,11586
1560940726,11581,11581
1560951533,11581,11581
1560962298,11553,11553
1560973476,11608,11608
1560984108,11685,11685
1560994799,11706,11706
1561016451,11676,11676
1561027138,11630,11630
1561037861,11605,11605
1561048746,11612,11612
1561059550,11592,11592
1561070242,11594,11594
1561081042,11595,11595
1561091876,11594,11594
1561102709,11569,11569
1561113444,11557,11557
1561124414,11554,11554
1561135011,11556,11556
1561145925,11568,11568
1561156660,11576,11576
1561167439,11575,11575
1561178267,11605,11605
1561189148,11615,11615
1561199842,11612,11612
1561210601,11582,11582
1561221384,11571,11571
1561232332,11574,11574
1561243077,11668,11668
1561253946,11798,11798
1561264813,11891,11891
1561275785,11994,11994
1561286521,12056,12056
1561297362,12083,12083
1561308157,12135,12135
1561319042,12136,12136
1561329809,12127,12127
1561340602,12139,12139
1561351287,12070,12070
1561362229,12083,12083
1561372902,12062,12062
1561383730,12056,12056
1561394427,12005,12005
1561405322,11983,11983
1561416121,12060,12060
1561426987,12209,12209
1561437832,12291,12291
1561448810,12370,12370
1561459466,12375,12375
1561470255,12365,12365
1561481010,12331,12331
1561491902,12323,12323
1561502618,12316,12316
1561513418,12331,12331
1561524265,12365,12365
1561535161,12387,12387
1561545851,12383,12383
1561556640,12372,12372
1561567389,12344,12344
1561578384,12473,12473
1561589114,12459,12459
1561599885,12422,12422
1561610739,12441,12441
1561621553,12434,12434
1561632262,12418,12418
1561643066,12420,12420
1561653853,12412,12412
1561664739,12425,12425
1561675488,12432,12432
1561686395,12620,12620
1561697317,12725,12725
1561708229,12777,12777
1561718918,12753,12753
1561729713,12770,12770
1561740504,12794,12794
1561751353,12756,12756
1561762092,12783,12783
1561772954,12812,12812
1561783737,12807,12807
1561794621,12779,12779
1561805306,12767,12767
1561816192,12759,12759
1561826899,12738,12738
1561837858,12767,12767
1561848597,12795,12795
1561859351,12743,12743
1561870142,12733,12733
1561881022,12696,12696
1561891711,12674,12674
1561902580,12685,12685
1561913345,12685,12685
1561924355,12798,12798
1561935177,12966,12966
1561946035,13063,13063
1561956906,13131,13131
1561967787,13133,13133
1561978791,13198,13198
1561989338,13203,13203
1562000268,13235,13235
1562011012,13222,13222
1562022035,13561,13561
1562036453,13631,13631
1562050961,13659,13659
1562065227,13628,13628
1562079583,13553,13553
1562090397,13550,13550
1562101182,13563,13563
1562112123,13584,13584
1562126577,13627,13627
1562141011,13663,13663
1562155381,13668,13668
1562169797,13674,13674
1562184241,13690,13690
1562198658,13688,13688
1562213060,13715,13715
1562227429,13682,13682
1562241844,13698,13698
1562256276,13716,13716
1562270728,13758,13758
1562285183,13775,13775
1562299552,13657,13657
1562313831,13610,13610
1562328229,13607,13607
1562342619,13588,13588
1562357098,13624,13624
1562371499,13594,13594
1562385895,13612,13612
1562400309,13607,13607
1562414677,13591,13591
1562429151,13630,13630
1562443682,13746,13746
1562458097,13879,13879
1562472666,14059,14059
1562487025,14061,14061
1562501470,14098,14098
1562515790,14047,14047
1562530159,13980,13980
1562544514,13889,13889
1562558807,13774,13774
1562573186,13692,13692
1562587497,13575,13575
1562601766,13432,13432
1562616085,13335,13335
1562630532,13273,13273
1562644820,13226,13226
1562659190,13184,13184
1562669864,13131,13131
1562680649,13103,13103
1562691435,13093,13093
1562702321,13054,13054
1562713008,13045,13045
1562723817,13029,13029
1562734554,12956,12956
1562745379,12889,12889
1562756077,12850,12850
1562766866,12827,12827
1562777632,12795,12795
1562788492,12762,12762
1562799506,13154,13154
1562810482,13425,13425
1562824888,13437,13437
1562839304,13434,13434
1562853678,13390,13390
1562868081,13358,13358
1562882404,13293,13293
1562896887,13435,13435
1562911273,13424,13424
1562925615,13330,13330
1562940049,13354,13354
1562954446,13301,13301
1562968925,13461,13461
1562983377,13532,13532
1562997808,13568,13568
1563012276,13625,13625
1563026654,13615,13615
1563041050,13609,13609
1563055484,13621,13621
1563069820,13597,13597
1563084232,13598,13598
1563098600,13568,13568
1563112980,13522,13522
