DateTime,AddedIPs,RemovedIPs
1565964953,4,1
1565968602,1,0
1565972146,6,0
1565975743,5,1
1565979348,1,1
1565982958,3,3
1565986629,0,1
1565990158,2,1
1565993761,3,1
1565997369,1,0
1566000965,1,0
1566004642,2,0
1566008156,0,1
1566011751,1,2
1566015353,2,3
1566018962,5,1
1566022648,1,3
1566026156,9,2
1566029762,2,2
1566033376,6,1
1566036974,3,6
1566040668,2,1
1566044171,1,0
1566047774,2,1
1566051379,2,5
1566054972,1,1
1566058655,1,5
1566062166,0,1
1566065784,3,1
1566069374,2,1
1566072990,1,1
1566076638,0,3
1566080183,2,2
1566083782,0,3
1566087386,1,2
1566090985,2,1
1566098172,1,0
1566101771,1,3
1566105373,2,1
1566108967,1,0
1566112651,2,0
1566116163,1,1
1566119770,0,2
1566123376,10,1
1566126982,1,1
1566130662,0,1
1566137793,1,3
1566141392,2,3
1566144986,0,1
1566148605,3,3
1566152200,4,0
1566155799,0,1
1566159395,1,1
1566166619,1,2
1566170209,0,1
1566173778,2,0
1566177394,1,0
1566180985,4,2
1566188188,2,0
1566191776,0,1
1566198966,2,2
1566202592,1,9
1566206163,1,2
1566209767,1,1
1566213359,1,0
1566216958,1,4
1566220595,0,2
1566224162,7,5
1566227799,1,1
1566231373,3,3
1566234981,3,0
1566238593,0,2
1566245790,1,3
1566249400,2,2
1566252977,1,2
1566256596,2,2
1566260193,2,1
1566263781,0,3
1566267382,1,3
1566270997,2,2
1566274591,0,4
1566278153,2,1
1566281758,2,2
1566285360,10,13
1566288960,3,1
1566292622,2,1
1566296160,1,4
1566299758,3,2
1566303354,1,4
1566306961,2,4
1566310574,2,1
1566314156,1,4
1566317757,0,2
1566321346,0,3
1566324953,2,5
1566328569,0,4
1566332155,0,3
1566335758,0,4
1566339349,1,5
1566342945,1,3
1566346550,1,10
1566350125,0,9
1566353716,1,10
1566357311,1,5
1566360902,1,4
1566364524,2,3
1566368105,2,5
1566371706,4,3
1566375314,2,5
1566378915,1,3
1566382523,4,3
1566386097,3,5
1566389695,4,1
1566393305,4,5
1566396905,1,3
1566400516,0,3
1566404083,0,1
1566407691,0,1
1566411292,0,1
1566418514,0,3
1566422089,1,2
1566425696,1,1
1566429296,2,3
1566432891,0,2
1566436504,0,1
1566440078,1,12
1566443685,0,4
1566447269,0,8
1566450874,1,4
1566454480,1,4
1566458031,0,20
1566461612,0,16
1566465223,5,1
1566468872,34,3
1566472474,1,6
1566476056,2,7
1566479630,1,6
1566483221,0,24
1566486824,1,16
1566490428,2,0
1566493997,1,5
1566497559,2,64
1566501164,3,0
1566504781,1,3
1566508388,1,2
1566511981,0,3
1566515576,2,2
1566519170,2,18
1566522763,0,19
1566526359,4,1
1566529963,1,1
1566533561,1,4
1566537172,2,2
1566540776,0,2
1566544405,20,2
1566547980,6,1
1566551586,1,0
1566555181,0,2
1566558825,1,1
1566562415,2,3
1566565988,0,5
1566569562,2,8
1566573169,3,1
1566576783,1,4
1566580394,4,4
1566583978,2,1
1566587573,1,2
1566591169,2,1
1566594788,3,1
1566598399,3,1
1566601974,1,1
1566605577,2,1
1566609181,1,1
1566616396,2,1
1566619970,1,2
1566623558,0,5
1566627158,3,1
1566630761,1,23
1566634381,2,3
1566637940,0,4
1566641540,5,5
1566645154,2,2
1566648771,3,1
1566652380,2,1
1566655955,1,1
1566659551,1,2
1566663138,0,1
1566666777,1,0
1566670392,4,3
1566673956,1,3
1566677553,1,1
1566681162,2,1
1566684777,1,2
1566688397,1,0
1566691961,3,0
1566695572,1,1
1566699164,1,1
1566702784,1,0
1566706388,0,2
1566709950,1,2
1566713569,5,2
1566717155,2,1
1566720775,1,1
1566724392,6,2
1566727965,0,2
1566731565,2,2
1566735163,2,1
1566738789,1,1
1566742373,3,3
1566745961,0,1
1566749559,2,0
1566753157,1,1
1566756780,2,6
1566760386,0,1
1566763957,1,0
1566771164,0,1
1566774792,1,2
1566778394,1,1
1566781961,0,1
1566785554,2,3
1566792776,0,1
1566796385,1,1
1566799950,2,0
1566803571,26,4
1566807177,2,1
1566810807,3,1
1566814413,2,2
1566817989,2,1
1566821587,3,1
1566825195,3,1
1566828793,3,4
1566832397,1,2
1566835965,5,1
1566839574,1,1
1566843172,1,1
1566846799,2,1
1566850415,1,3
1566854014,1,2
1566857600,1,2
1566861209,2,3
1566864804,1,2
1566868416,1,0
1566871990,2,2
1566875595,0,1
1566879184,1,1
1566882811,5,1
1566886412,1,1
1566889972,1,18
1566893575,3,2
1566897172,1,3
1566900799,7,1
1566904410,3,4
1566907977,5,1
1566911570,1,2
1566915167,1,1
1566918771,2,1
1566922395,2,1
1566925971,2,0
1566929569,1,2
1566933172,0,1
1566936793,4,0
1566940412,3,0
1566944000,1,1
1566947605,2,0
1566951208,1,1
1566954810,0,1
1566958429,1,1
1566965602,1,3
1566969184,1,2
1566972795,0,2
1566976420,0,1
1566979992,1,2
1566983578,0,2
1566987185,0,1
1566990787,1,4
1566994408,0,5
1566997971,2,3
1567001581,2,2
1567005170,0,1
1567008806,1,0
1567012412,2,0
1567015991,0,1
1567023202,1,0
1567026808,1,2
1567033992,2,1
1567041192,1,0
1567044834,1,1
1567048432,0,1
1567051978,1,0
1567055598,1,1
1567059186,2,2
1567062820,22,0
1567066430,11,0
1567070049,28,4
1567073651,10,11
1567077260,14,1
1567080879,10,3
1567084495,13,1
1567088068,6,1
1567091672,4,3
1567095263,3,1
1567098914,5,1
1567102522,3,1
1567106088,2,1
1567109679,2,2
1567113285,3,0
1567116914,3,0
1567120524,1,1
1567124095,2,0
1567127685,2,1
1567131293,5,3
1567134943,4,1
1567138520,3,0
1567142109,0,5
1567145677,0,3
1567149266,1,17
1567152869,8,22
1567156468,1,2
1567160048,1,2
1567163643,0,1
1567167251,0,5
1567170837,2,1
1567174468,2,1
1567178039,2,2
1567181635,1,1
1567185235,1,4
1567188856,5,2
1567192481,2,1
1567196039,0,2
1567199648,1,0
1567203235,4,2
1567206875,1,0
1567210565,0,2
1567214138,1,1
1567217682,1,0
1567221266,1,0
1567224863,0,2
1567228489,1,0
1567232045,2,1
1567235665,19,1
1567242868,2,1
1567246479,0,4
1567250043,0,2
1567253643,0,1
1567257241,0,3
1567260867,8,0
1567264472,0,2
1567268050,1,0
1567271646,1,2
1567275259,2,0
1567278881,0,2
1567282484,2,0
1567286058,0,2
1567293261,0,1
1567296868,3,5
1567300484,1,1
1567304074,3,1
1567307649,0,2
1567311252,2,0
1567314877,5,2
1567318494,0,2
1567322059,3,1
1567325645,0,2
1567329258,1,2
1567332952,1,2
1567336453,0,2
1567343647,0,1
1567347238,1,3
1567350929,2,0
1567354530,0,2
1567358059,3,1
1567361646,3,0
1567365273,1,2
1567376038,1,1
1567379668,0,1
1567383247,0,1
1567386886,5,1
1567390445,0,1
1567401237,0,1
1567404844,0,2
1567408444,2,25
1567412024,3,4
1567415638,2,3
1567419235,1,0
1567422895,0,3
1567426430,5,2
1567430019,1,3
1567433601,1,3
1567437237,1,3
1567440832,0,3
1567444420,1,0
1567448027,1,2
1567451645,2,3
1567455225,1,1
1567458848,2,1
1567462436,0,1
1567466048,3,3
1567469621,0,1
1567473221,3,1
1567476838,1,1
1567480433,1,1
1567484002,2,0
1567487603,1,4
1567491194,3,1
1567494899,18,1
1567498416,2,3
1567502020,2,0
1567505617,0,5
1567509231,1,4
1567512803,0,5
1567519988,1,2
1567523612,1,2
1567527183,2,1
1567530795,2,4
1567534400,2,0
1567538009,1,1
1567541583,6,2
1567545208,10,2
1567548817,3,0
1567552416,0,3
1567556003,1,0
1567559599,0,1
1567563210,2,0
1567566882,3,0
1567570414,1,2
1567573990,0,2
1567577605,5,0
1567581245,3,0
1567584866,1,0
1567588448,3,0
1567592064,2,0
1567595671,1,0
1567599231,5,3
1567602843,2,1
1567606421,0,3
1567610055,0,2
1567613614,0,2
1567617237,1,2
1567620868,4,0
1567624462,0,3
1567628046,4,1
1567631645,1,3
1567635257,1,0
1567638959,21,4
1567646057,1,2
1567649646,1,1
1567653288,2,0
1567656869,0,1
1567660456,3,0
1567664050,2,0
1567667661,0,17
1567671225,1,11
1567674812,1,29
1567678411,3,12
1567682028,4,9
1567685579,0,8
1567689174,1,11
1567692774,0,10
1567696380,0,4
1567699941,1,6
1567703560,2,9
1567707170,3,4
1567710846,2,4
1567714349,0,2
1567717982,0,3
1567721562,2,3
1567725162,0,2
1567728763,2,1
1567732336,0,2
1567735932,0,2
1567739563,2,1
1567743130,0,2
1567746743,3,1
1567753990,23,1
1567757544,1,7
1567761192,4,1
1567764774,4,2
1567768381,4,1
1567771945,2,2
1567775550,1,1
1567779153,2,3
1567782843,6,3
1567786348,3,0
1567789956,3,1
1567793571,0,5
1567797183,2,1
1567800783,2,3
1567804373,0,2
1567807973,3,1
1567811588,1,2
1567815174,3,0
1567818784,2,0
1567822365,1,2
1567825986,0,1
1567829560,2,0
1567833164,0,2
1567836782,1,2
1567840379,2,26
1567847539,1,1
1567851209,0,1
