DateTime,AddedIPs,RemovedIPs
1566086415,70,104
1566088322,48,84
1566092403,87,73
1566096722,69,83
1566100562,83,108
1566102483,68,79
1566106322,76,66
1566110162,58,53
1566114002,60,50
1566117842,69,55
1566121682,80,60
1566125522,83,68
1566129611,63,66
1566131522,71,62
1566135362,75,62
1566139203,74,60
1566143043,59,71
1566147122,77,56
1566150963,68,66
1566154810,75,81
1566156722,79,59
1566160803,76,83
1566164643,66,79
1566168481,63,91
1566170403,91,63
1566174242,130,168
1566176162,65,87
1566180018,66,90
1566181922,71,81
1566183842,87,99
1566187682,74,66
1566193442,69,71
1566197282,70,60
1566201122,77,42
1566205209,74,73
1566207123,70,59
1566210962,87,61
1566214802,85,47
1566216962,71,81
1566222963,80,71
1566226811,70,77
1566228723,80,69
1566232802,78,69
1566234722,105,87
1566240482,79,79
1566244322,94,80
1566248162,83,80
1566252011,67,93
1566253922,49,1384
1566255841,1295,0
1566257763,80,98
1566259682,58,90
1566265443,78,84
1566267603,67,90
1566273363,88,105
1566277212,73,75
1566279122,71,62
1566282962,80,52
1566286803,52,80
1566288723,118,93
1566290643,74,59
1566294482,75,54
1566298322,80,57
1566302414,85,65
1566304323,70,55
1566308403,79,78
1566312242,80,83
1566316083,73,73
1566319922,85,62
1566323762,88,134
1566327613,139,83
1566329762,85,80
1566333602,78,94
1566337682,96,103
1566339603,66,109
1566341522,109,66
1566343442,66,109
1566345362,105,89
1566347523,62,102
1566351361,84,93
1566355202,103,100
1566357123,97,101
1566362882,68,84
1566366722,83,77
1566370812,72,59
1566372722,85,63
1566376802,82,69
1566380642,81,64
1566382563,76,73
1566388564,85,74
1566392413,83,78
1566394322,68,78
1566398162,91,66
1566402243,80,76
1566406323,84,58
1566410163,73,62
1566414014,82,99
1566415922,84,83
1566419762,95,74
1566423602,75,97
1566427442,66,115
1566431522,91,97
1566435363,53,80
1566439218,70,72
1566443042,75,94
1566444963,85,116
1566449042,78,83
1566453122,77,62
1566456963,72,63
1566458883,91,71
1566460826,71,91
1566462723,134,112
1566466563,62,62
1566470403,68,72
1566474244,82,55
1566478084,65,71
1566482412,83,69
1566484323,82,67
1566488162,79,69
1566492004,66,63
1566495843,85,94
1566499682,84,69
1566503522,87,73
1566509524,300,420
1566511682,397,317
1566513603,98,58
1566515523,58,98
1566519363,85,87
1566521282,51,93
1566525122,70,89
1566529212,75,104
1566531122,94,96
1566534962,69,78
1566538803,82,80
1566542643,62,58
1566546722,69,55
1566550562,88,54
1566552723,70,66
1566556562,68,54
1566560643,72,62
1566564482,79,47
1566568563,76,74
1566572410,74,73
1566574323,65,76
1566578643,85,77
1566580562,75,68
1566586322,68,81
1566590163,77,63
1566594012,61,69
1566595922,76,83
1566600002,56,118
1566601923,101,87
1566607922,59,81
1566612016,62,87
1566613923,67,83
1566617762,73,90
1566621842,67,67
1566625922,79,62
1566629764,59,54
1566633842,75,44
1566635763,72,63
1566639603,82,72
1566641523,70,61
1566647522,61,77
1566653522,122,96
1566657602,73,69
1566661442,62,76
1566663362,89,65
1566669122,75,81
1566672963,72,75
1566676814,87,83
1566680882,117,150
1566686643,59,77
1566690482,84,80
1566694322,48,74
1566698163,75,79
1566702010,76,84
1566703923,75,93
1566708002,66,70
1566709922,77,71
1566715682,59,57
1566719522,74,49
1566723363,88,63
1566725283,79,73
1566729122,97,68
1566733203,77,66
1566737042,83,63
1566740882,79,83
1566744722,72,86
1566748563,71,62
1566752412,96,78
1566754323,76,78
1566756243,83,91
1566762242,72,66
1566764163,99,82
1566766083,82,99
1566768005,99,82
1566769922,67,96
1566773763,70,104
1566777613,95,102
1566779523,50,73
1566783364,63,85
1566787203,75,107
1566791045,71,92
1566794883,78,71
1566798724,70,63
1566802563,58,62
1566806642,82,58
1566808562,89,63
1566812402,66,56
1566814563,84,66
1566820323,80,60
1566824410,59,62
1566828243,64,64
1566830162,99,69
1566834002,79,82
1566838322,78,78
1566842163,97,72
1566846009,96,62
1566849843,83,147
1566853683,171,181
1566859443,76,101
1566863282,76,92
1566867122,54,110
1566870963,71,84
1566874811,74,88
1566876722,96,111
1566880802,65,67
1566884643,77,78
1566888722,96,59
1566892815,82,61
1566896643,90,78
1566898562,59,63
1566902644,82,57
1566906722,65,56
1566908642,75,65
1566912723,77,76
1566916803,74,65
1566920882,79,74
1566924722,78,59
1566928564,102,74
1566930483,87,89
1566934322,81,79
1566938162,89,68
1566942003,79,99
1566945843,51,128
1566949922,86,89
