DateTime,Entries,UniqueIPs
1566086415,6312,6312
1566088322,6276,6276
1566092403,6290,6290
1566096722,6276,6276
1566100562,6251,6251
1566102483,6240,6240
1566106322,6250,6250
1566110162,6255,6255
1566114002,6265,6265
1566117842,6279,6279
1566121682,6299,6299
1566125522,6314,6314
1566129611,6311,6311
1566131522,6320,6320
1566135362,6333,6333
1566139203,6347,6347
1566143043,6335,6335
1566147122,6356,6356
1566150963,6358,6358
1566154810,6352,6352
1566156722,6372,6372
1566160803,6365,6365
1566164643,6352,6352
1566168481,6324,6324
1566170403,6352,6352
1566174242,6314,6314
1566176162,6292,6292
1566180018,6268,6268
1566181922,6258,6258
1566183842,6246,6246
1566187682,6254,6254
1566193442,6252,6252
1566197282,6262,6262
1566201122,6297,6297
1566205209,6298,6298
1566207123,6309,6309
1566210962,6335,6335
1566214802,6373,6373
1566216962,6363,6363
1566222963,6372,6372
1566226811,6365,6365
1566228723,6376,6376
1566232802,6385,6385
1566234722,6403,6403
1566240482,6403,6403
1566244322,6417,6417
1566248162,6420,6420
1566252011,6394,6394
1566253922,5059,5059
1566255841,6354,6354
1566257763,6336,6336
1566259682,6304,6304
1566265443,6298,6298
1566267603,6275,6275
1566273363,6258,6258
1566277212,6256,6256
1566279122,6265,6265
1566282962,6293,6293
1566286803,6265,6265
1566288723,6290,6290
1566290643,6305,6305
1566294482,6326,6326
1566298322,6349,6349
1566302414,6369,6369
1566304323,6384,6384
1566308403,6385,6385
1566312242,6382,6382
1566316083,6382,6382
1566319922,6405,6405
1566323762,6359,6359
1566327613,6415,6415
1566329762,6420,6420
1566333602,6404,6404
1566337682,6397,6397
1566339603,6354,6354
1566341522,6397,6397
1566343442,6354,6354
1566345362,6370,6370
1566347523,6330,6330
1566351361,6321,6321
1566355202,6324,6324
1566357123,6320,6320
1566362882,6304,6304
1566366722,6310,6310
1566370812,6323,6323
1566372722,6345,6345
1566376802,6358,6358
1566380642,6375,6375
1566382563,6378,6378
1566388564,6389,6389
