DateTime,AddedIPs,RemovedIPs
1567382723,1,0
1567383622,1,0
1567384823,29,0
1567385125,0,1
1567385720,1,0
1567386622,4,0
1567387221,2,0
1567388121,14,0
1567388421,0,1
1567389025,1,0
1567390221,2,0
1567391722,4,0
1567392023,22,0
1567392621,3,0
1567393522,1,0
1567395321,19,0
1567396223,1,0
1567397125,1,0
1567397724,27,0
1567400123,17,0
1567400729,2,0
1567401624,2,0
1567402523,1,0
1567403429,16,0
1567404327,2,0
1567405533,5,0
1567406127,15,0
1567406424,32,0
1567407029,18,2
1567408226,2,0
1567408821,2,0
1567409427,0,1
1567409726,15,0
1567410631,5,0
1567411531,5,0
1567413324,0,1
1567413627,36,0
1567414522,1,2
1567415426,3,0
1567416026,6,0
1567416924,15,0
1567417826,6,0
1567418723,8,0
1567419625,2,0
1567420823,14,0
1567422627,2,0
1567424124,10,0
1567425027,18,1
1567425926,2,0
1567426827,1,0
1567428031,22,0
1567428627,21,0
1567431626,7,1
1567432229,1,0
1567432527,0,1
1567433430,1,0
1567434926,13,0
1567435530,0,2
1567435825,2,0
1567436725,0,1
1567437022,2,0
1567438522,24,0
1567440328,4,0
1567441529,1,0
1567442125,11,0
1567443024,8,0
1567443927,1,0
1567444523,43,0
1567445724,78,0
1567446921,14,0
1567447523,1,0
1567448725,1,0
1567449924,17,0
1567450224,1,0
1567451426,3,0
1567452021,0,1
1567452922,13,0
1567453226,49,0
1567453527,34,0
1567453827,32,0
1567454725,5,0
1567455626,2,0
1567456522,12,0
1567458323,3,0
1567460423,33,0
1567461023,2,0
1567461323,0,1
1567461923,2,0
1567463124,0,1
1567463722,31,0
1567464622,3,0
1567465523,3,0
1567467622,15,0
1567468520,2,0
1567469420,3,0
1567471224,7,0
1567471824,3,0
1567473025,3,0
1567473620,1,0
1567474520,15,0
1567475424,2,0
1567476321,3,0
1567477524,8,0
1567478421,24,0
1567479024,3,0
1567479924,2,0
1567481124,1,0
1567482022,15,0
1567482627,16,0
1567484724,2,0
1567485027,41,0
1567485324,13,0
1567486221,1,0
1567488023,1,0
1567488922,7,0
1567489824,9,0
1567490721,3,0
1567491621,4,0
1567492522,9,0
1567493722,5,0
1567494626,1,0
1567495222,2,0
1567496121,49,0
1567497323,4,0
1567498225,4,0
1567498825,2,0
1567499723,1,0
1567500025,30,0
1567500924,2,0
1567501526,1,0
1567502422,5,0
1567503323,20,0
1567504223,10,0
