DateTime,AddedIPs,RemovedIPs
1560906022,6,0
1560906320,9,0
1560906618,11,0
1560906919,7,0
1560907220,3,0
1560907519,1,0
1560908119,23,0
1560908419,6,0
1560908720,10,0
1560909020,4,0
1560909320,6,0
1560909621,8,0
1560909919,7,0
1560910220,12,0
1560910521,17,0
1560910819,8,0
1560911119,12,0
1560911718,27,0
1560912018,12,0
1560912321,12,0
1560912619,7,0
1560912918,5,0
1560913221,9,0
1560913520,8,0
1560913819,9,0
1560914120,5,0
1560914419,6,0
1560914722,15,0
1560915022,11,0
1560915320,7,0
1560915619,8,0
1560915923,10,0
1560916220,11,0
1560916519,10,0
1560916822,12,0
1560917121,5,0
1560917420,6,0
1560917720,11,0
1560918019,4,0
1560918323,22,0
1560918622,12,0
1560918918,6,0
1560919220,18,0
1560919522,12,0
1560919819,6,0
1560920119,17,0
1560920421,17,0
1560920720,8,0
1560921319,25,2
1560921619,8,0
1560921923,9,0
1560922222,17,0
1560922519,10,0
1560922819,6,0
1560923122,8,0
1560923422,16,0
1560923719,2,0
1560924022,5,0
1560924319,24,0
1560924619,9,0
1560925219,15,0
1560925529,11,0
1560925822,7,0
1560926119,7,0
1560926419,10,0
1560926723,13,0
1560927020,18,0
1560927320,9,0
1560927623,14,0
1560927920,12,0
1560928220,17,0
1560928821,17,0
1560929123,7,0
1560929420,13,0
1560929720,10,0
1560930020,11,0
1560930321,10,0
1560930621,8,0
1560930921,12,0
1560931221,9,0
1560931520,16,0
1560931820,16,0
1560932424,19,0
1560933027,13,0
1560933319,8,0
1560933621,6,0
1560933923,6,0
1560934225,10,0
1560934520,3,0
1560934821,16,0
1560935119,21,0
1560935420,11,0
1560935720,17,0
1560936020,19,0
1560936319,18,0
1560936920,31,0
1560937221,7,0
1560937820,9,0
1560938121,21,0
1560938421,16,0
1560938720,20,0
1560939321,20,0
1560939621,13,0
1560939922,4,0
1560940521,17,0
1560940823,9,0
1560941124,7,0
1560941423,9,0
1560941721,7,0
1560942022,13,0
1560942322,12,0
1560942620,4,0
1560942920,17,0
1560943220,13,0
1560943522,15,0
1560943825,9,0
1560944120,16,0
1560944421,14,0
1560944720,10,0
1560945022,17,0
1560945320,5,0
1560945624,8,0
1560945920,3,0
1560946219,7,0
1560946822,26,0
1560947423,13,1
1560948021,21,0
1560948323,7,0
1560948620,11,0
1560948919,8,0
1560949222,12,0
1560949520,13,0
1560949820,8,0
1560950120,11,0
1560950421,7,0
1560951023,19,0
1560951319,16,0
1560951620,21,0
1560951922,19,0
1560952221,19,0
1560952520,19,0
1560952825,27,0
1560953120,18,0
1560953421,15,0
1560953724,8,0
1560954022,3,0
1561017623,0,1
1561055422,0,1
1561062322,0,1
1561126221,0,1
1561172421,0,1
1561218622,0,1
1561219223,0,1
1561256419,0,1
1561263019,0,2
1561273819,0,1
1561320620,0,2
1561340120,0,1
1561389020,0,1
1561404021,1,0
1561409124,0,1
1561429220,0,2
1561486219,0,1
1561491924,0,1
1561526728,1,0
1561571124,0,2
1561593022,0,1
1561629020,0,1
1561647024,0,1
1561653022,0,1
1561706722,0,3
1561709722,0,1
1561734622,0,3
1561742122,1,0
1561762224,0,1
1561782327,0,1
1561829427,0,2
1561915222,0,2
1561915522,0,1
1561947924,0,1
1562006120,0,1
1562006421,0,1
1562017220,1,0
1562052325,0,1
1562061625,0,1
1562078721,0,1
1562109620,0,1
1562193625,0,1
1562211925,0,1
1562249421,0,1
1562266521,0,1
1562286621,0,1
1562337027,0,1
1562337321,0,1
1562351721,1,0
1562417427,1,0
1562418024,1,0
1562418923,1,0
1562547921,0,1
1562560821,0,1
1562596521,0,1
1562609123,0,1
1562609422,0,1
1562610022,0,77
1562633123,0,2
1562648721,0,1
1562686822,0,1
1562701222,0,3
1562701523,0,4
1562701824,0,2
1562702122,0,1
1562704822,0,1
1562705720,0,10
1562706322,0,1
1562712921,0,1
1562773224,0,1
1562773825,1,0
1562851824,0,1
1562866522,92,0
1562985619,0,1
1563063620,0,1
1563663923,4,16
1563706520,1,0
1563744920,0,1
1563750320,2,0
1563806121,0,1
1563817222,0,1
1563838520,1,0
1563845721,0,1
1563904222,0,1
1563967823,0,1
1563978625,0,1
1564064724,0,1
1564071923,0,1
1564090222,0,1
1564093823,0,1
1564094121,1,0
1564096221,0,1
1564175724,0,1
1564261519,0,1
1564296919,0,1
1564353620,1,0
1564405822,0,1
1564435222,0,2
1564505124,0,2
1564544723,0,1
1564586421,0,1
1564591221,0,1
1564604724,1,0
1564697119,0,1
1564712419,0,1
1564738821,0,3
1564739126,0,4
1564739424,0,1
1564756821,0,1
1564777521,1,0
1564779919,1,0
1564780220,2,0
1564780820,2,0
1564782021,0,1
1564782321,2,0
1564782624,1,0
1564783223,1,0
1564783521,1,0
1564848321,0,1
1564854024,1,0
1564865421,2,0
1564866321,1,0
1564870821,4,0
1564874420,3,0
1564875321,1,0
