DateTime,AddedIPs,RemovedIPs
1562803821,1,0
1562832620,1,0
1562850026,1,0
1562874021,1,0
1562887825,1,0
1562889923,0,1
1562919021,1,0
1562930421,1,0
1562968220,1,0
1562970021,0,1
1563008425,1,0
1563027019,1,0
1563663923,12,16
1563667823,1,0
1563708920,1,0
1563709527,2,0
1563709822,1,0
1563710722,1,0
1563711321,1,0
1563714921,1,0
1563717624,1,0
1563723928,1,0
1563724228,1,0
1563725424,1,0
1563732922,0,1
1563743722,2,0
1563744021,1,0
1563744624,1,0
1563761721,1,0
1563775225,1,0
1563813923,1,0
1563816628,294,0
1563823222,1,0
1563827425,1,0
1563838520,1,1
1563840024,1,0
1563840321,1,0
1563842725,1,0
1563843920,1,0
1563845421,1,0
1563846920,1,0
1563848420,0,1
1563849320,1,0
1563850220,1,0
1563854721,1,0
1563855926,2,0
1563857125,1,0
1563892820,5,0
1563893123,2,0
1563894321,1,0
1563897020,1,0
1563899422,1,0
1563901522,1,1
1563902420,1,0
1563905723,2,0
1563908722,1,0
1563912922,1,0
1563915625,1,0
1563918326,1,0
1563922222,1,0
1563927622,1,0
1563947123,1,0
1563955822,2,0
1563974723,2,0
1563983424,1,0
1563985522,1,0
1563992420,1,0
1563998721,0,1
1563999621,0,1
1564013124,1,0
1564013423,1,0
1564023025,1,0
1564053623,0,1
1564059625,3,0
1564059923,1,0
1564067424,1,0
1564075825,2,0
1564076423,1,0
1564080323,1,0
1564085121,1,0
1564090821,1,0
1564102821,2,0
1564106421,1,0
1564108221,1,0
1564109124,1,0
1564121722,1,0
1564128623,1,0
1564131625,1,0
1564131921,1,0
1564134024,1,0
1564142724,0,1
1564143325,0,1
1564155023,2,0
1564155322,2,0
1564162228,2,0
1564162822,2,0
1564163125,1,0
1564168222,1,0
1564169125,1,0
1564170327,1,0
1564173025,1,0
1564175724,1,0
1564176622,1,0
1564185023,1,0
1564186221,1,0
1564188920,1,0
1564189822,1,0
1564191924,1,0
1564195523,1,0
1564196424,1,0
1564197620,2,0
1564206021,1,0
1564208123,1,0
1564238120,4,0
1564238423,4,0
1564241122,1,0
1564243520,1,0
1564243820,1,0
1564253124,1,0
1564256422,1,0
1564258520,1,0
1564262721,2,0
1564263023,0,1
1564278920,0,1
1564283722,1,0
1564284920,1,0
