DateTime,AddedIPs,RemovedIPs
1548182719,0,256
1548199179,256,0
1548250218,256,0
1548263991,0,256
1548286225,0,256
1548426213,256,0
1548437409,0,1024
1548459166,0,512
1548603930,0,768
1548609329,0,256
1548617403,256,0
1548631600,0,256
1548675012,256,0
1548702022,256,0
1548773122,256,0
1548847826,256,0
1548876604,256,0
1548945929,0,256
1548981011,256,0
1549009803,256,0
1549067222,256,0
1549115131,0,256
1549128609,0,256
1549153827,256,0
1549243806,256,0
1549368036,0,256
1549459826,1536,0
1549465222,256,0
1549467118,0,256
1549479619,768,0
1549481692,256,0
1549500018,768,0
1549551623,256,0
1549560780,256,0
1549639866,0,256
1549661748,0,256
1549719148,512,0
1549893619,0,256
1549983622,0,256
1549998921,0,256
1550054265,0,256
1550061236,1024,0
1550079493,256,0
1550102441,0,256
1550194403,0,256
1550277024,256,0
1550367595,0,256
1550411281,256,0
1550597666,256,0
1550687740,256,0
1550841319,0,256
1550858427,0,256
1550946942,512,0
1550948420,512,0
1550955652,256,0
1551009644,256,0
1551026146,256,0
1551029739,256,0
1551042042,256,0
1551052844,256,0
1551054617,1536,0
1551204016,256,0
1551285315,256,0
1551313819,256,0
1551360620,0,256
1551375910,256,0
1551387652,0,256
1551439820,0,256
1551443420,0,256
1551483016,256,0
1551487199,256,0
1551555017,256,0
1551573018,512,0
1551576621,256,0
1551639631,256,0
1551641897,256,0
1551709821,0,256
1551735017,256,0
1551745821,256,0
1551800124,512,0
1551902422,256,0
1551960921,0,256
1551983406,256,0
1551985232,256,0
1552051967,256,256
1552059016,256,0
1552068027,0,256
1552071632,256,0
1552135190,0,1280
1552144521,0,512
1552153098,768,0
1552221092,0,256
1552239304,256,0
1552255218,256,0
1552318206,0,256
1552404671,256,0
1552479319,0,512
1552508878,256,0
1552573935,256,0
1552602405,256,0
1552656607,256,0
1552663819,0,512
1552676422,0,256
1552747522,0,256
1552757218,256,0
1552759229,256,0
1552782328,256,0
1552866318,0,256
1552926421,0,256
1553016614,256,0
1553085008,0,256
1553199881,256,0
1553268608,256,0
1553361979,512,0
1553364038,256,0
1553451322,0,256
1553473940,256,0
1553539516,0,256
1553556958,0,256
1553617456,0,1280
1553646672,0,256
1553652920,0,256
1553705122,0,3072
1553707444,512,0
1553709625,256,0
1553801571,0,256
1553876121,0,512
1553880274,512,0
1553891144,256,0
1553963850,256,0
1554029350,256,0
1554049822,0,256
1554058147,256,256
1554074117,0,512
1554137496,256,0
1554147018,0,256
1554222394,512,0
1554226278,0,256
1554233405,0,256
1554302034,0,512
1554337824,256,0
1554391824,0,1024
1554418370,256,0
1554474620,0,512
1554490816,0,256
1554576095,512,0
1554585316,0,256
1554642904,0,256
1554659367,512,0
1554661816,512,0
1554679818,0,256
1554744616,0,512
1554748216,256,0
1554827404,512,0
1554856412,512,256
1554901221,0,768
1554935419,256,0
1555007261,256,0
1555029092,256,0
1555072203,256,0
1555099231,256,0
1555108301,256,0
1555165402,0,256
1555176195,512,0
1555247721,0,256
1555262531,256,0
1555348516,0,768
1555351221,0,256
1555435388,256,0
1555486076,0,256
1555524916,256,0
1555532649,0,256
1555545624,256,0
1555608616,256,0
1555663522,0,256
1555690818,0,256
1555694520,256,0
1555698078,0,256
1555780824,256,0
1555860085,0,256
1555863817,0,256
1555893020,0,256
1555953929,512,0
1556044069,0,256
1556050965,256,0
1556065305,512,0
1556122838,0,256
1556145003,1792,0
1556148143,256,0
1556151989,1280,0
1556214319,0,256
1556223605,1536,0
1556224214,256,0
1556238208,1280,0
