DateTime,AddedIPs,RemovedIPs
1560126620,256,256
1560179702,768,768
1560191418,512,512
1560198619,256,256
1560204027,256,256
1560205820,256,256
1560212411,256,256
1560276024,256,256
1560276924,1024,1024
1560284168,256,256
1560291744,256,256
1560297625,256,256
1560359891,1280,1280
1560364217,256,256
1560371419,256,256
1560378621,256,256
1560431872,1536,1536
1560435423,256,256
1560436217,256,256
1560437117,256,256
1560439818,256,256
1560441621,256,256
1560442629,256,256
1560449808,256,256
1560457820,256,256
1560465023,256,256
1560474028,256,256
1560536244,1280,1280
1560558622,768,768
1560561451,256,256
1560618928,3584,3584
1560621622,1280,1280
1560625220,256,256
1560626510,256,256
1560629777,256,256
1560632440,256,256
1560636027,256,256
1560637400,256,256
1560644613,1024,1024
1560654034,256,256
1560655056,256,256
1560657625,256,256
1560658632,256,256
1560669661,256,256
1560671123,256,256
1560672045,256,256
1560673823,256,256
1560674723,256,256
1560675640,256,256
1560677052,256,256
1560698519,2560,2560
1560704418,256,256
1560705316,256,256
1560707117,256,256
1560712851,256,256
1560724045,512,512
1560726031,256,256
1560729627,256,256
1560731056,1024,1024
1560794428,256,256
1560795932,3328,3328
1560806358,256,256
1560808825,256,256
1560810306,256,256
1560813575,256,256
1560816024,256,256
1560817441,1024,1024
1560826830,256,256
1560859226,2560,2560
1560864028,1792,1792
1560882033,256,256
1560889354,256,256
1560897004,256,256
1560961208,768,768
1560983421,256,256
1560990137,256,256
1561055002,1536,1536
1561076595,256,256
1561127209,1280,1280
1561134297,256,256
1561148650,512,512
1561154428,256,256
1561206407,1280,1280
1561208422,256,256
1561213641,256,256
1561220748,256,256
1561226429,256,256
1561227937,256,256
1561235249,256,256
1561310612,768,768
1561314246,512,512
1561321804,256,256
1561328620,256,256
1561338031,256,256
1561339476,256,256
1561341631,256,256
1561343082,256,256
1561346745,256,256
1561389944,768,768
1561393424,512,512
1561399223,256,256
1561400784,256,256
1561403720,256,256
1561407879,256,256
1561422381,256,256
1561483442,1024,1024
1561494604,256,256
1561501932,256,256
1561523507,256,256
1561562762,1024,1024
1561572026,256,256
1561573312,256,256
1561575622,256,256
1561589130,256,256
1561595558,256,256
1561641901,1024,1024
1561659816,256,256
1561681971,512,512
1561688607,256,256
1561735274,1024,1024
1561744823,256,256
1561746289,256,256
1561748424,256,256
1561749321,256,256
1561749654,256,256
1561752922,256,256
1561753671,256,256
1561761020,256,256
1561766435,256,256
1561832675,1280,1280
1561839838,256,256
1561908064,1024,1024
1561911950,256,256
1561917623,256,256
1561919142,256,256
1561920319,256,256
1561923019,256,256
1561926066,256,256
1561931120,256,256
1561933352,256,256
1561940593,256,256
1561942824,256,256
1561991010,768,768
1561998016,256,256
1562000419,256,256
1562004020,512,512
1562005540,256,256
1562080665,1536,1536
1562084219,512,512
1562090424,256,256
1562091818,256,256
1562098618,256,256
1562106262,256,256
1562113020,256,256
1562167157,1024,1024
1562170557,256,256
1562174237,256,256
1562184965,256,256
1562199760,256,256
1562232006,256,256
1562238036,256,256
1562245229,256,256
1562256904,1792,1792
1562257818,512,512
1562258718,256,256
1562265019,512,512
1562271410,256,256
1562337018,1280,1280
1562344219,256,256
1562350520,256,256
1562350566,256,256
1562372240,256,256
1562436925,768,768
1562437819,256,256
1562444334,256,256
1562459426,256,256
1562466626,256,256
1562512528,1280,1280
1562517019,256,256
1562524219,256,256
1562531421,256,256
1562537809,256,256
1562545352,256,256
1562606502,512,512
1562624314,256,256
1562631423,256,256
1562686218,1536,1536
1562696189,256,256
1562703830,256,256
1562779112,1024,1024
1562781624,256,256
1562783163,512,512
1562805027,256,256
1562806826,256,256
1562812227,256,256
1562861211,1280,1280
1562869821,768,768
1562877021,256,256
1562884222,256,256
1562891427,256,256
1562944022,768,768
1562949020,256,256
1562956221,512,512
1562977826,256,256
1562985026,256,256
1563030649,1280,1280
1563042621,256,256
1563057024,256,256
1563064228,256,256
1563102032,256,256
1563116795,1536,1536
1563118218,256,256
1563120320,256,256
1563121820,256,256
1563129021,256,256
1563134799,256,256
1563143424,256,256
1563150626,256,256
1563203287,2048,2048
1563208222,256,256
1563214016,256,256
1563215422,512,512
1563235239,256,256
1563296991,1280,1280
1563300422,256,256
1563301823,768,768
1563305423,256,256
1563383815,1024,1024
1563386850,256,256
1563388221,256,256
1563409826,256,256
1563466106,1536,1536
1563471020,256,256
1563474620,512,512
1563481820,512,512
1563556503,2048,2048
1563575423,256,256
1563584426,256,256
1563638907,1024,1024
1563646165,256,256
1563647421,512,512
1563654621,256,256
1563662723,256,256
1563669026,512,512
1563725329,1536,1536
1563733820,512,512
1563741022,256,256
1563748222,256,256
1563755425,256,256
1563808503,1280,1280
1563813018,256,256
1563818981,256,256
1563820220,256,256
1563823820,256,256
1563824720,256,256
1563826591,256,256
1563841826,256,256
1563898553,512,512
1563928227,256,256
1563984673,1280,1280
1563992103,256,256
1563993022,256,256
1564007423,256,256
1564074902,1280,1280
1564079419,256,256
1564093822,256,256
1564101026,512,512
1564126226,256,256
1564154103,1024,1024
1564157850,256,256
1564162220,256,256
1564165820,256,256
1564173022,256,256
1564247717,256,256
1564259419,256,256
1564330503,1280,1280
1564331418,512,512
1564336823,256,256
1564338620,512,512
1564340420,256,256
1564341374,256,256
1564353022,256,256
1564360225,256,256
1564424103,1280,1280
1564425020,256,256
1564438839,256,256
1564446624,256,256
1564502426,256,256
1564503302,1280,1280
1564504218,512,512
1564593318,768,768
1564596976,256,256
1564619423,256,256
1564672505,1280,1280
1564684222,512,512
1564691422,256,256
1564694366,256,256
1564698624,256,256
1564705297,256,256
1564752456,1536,1536
1564763099,256,256
1564769791,256,256
1564777491,256,256
1564783229,256,256
1564784281,256,256
1564791438,256,256
1564848904,1024,1024
1564849821,256,256
1564856122,256,256
1564860623,256,256
1564864224,256,256
1564875028,256,256
1564877821,256,256
1564927867,1024,1024
1564943426,256,256
1564946254,256,256
1564950626,256,256
1564957828,256,256
1564965031,256,256
1564968631,256,256
1564972231,256,256
1565010031,256,256
1565021720,1280,1280
1565022038,256,256
1565051428,256,256
1565062229,256,256
1565111703,512,512
1565114423,256,256
1565115648,256,256
1565123424,256,256
1565130626,256,256
1565190903,768,768
1565202623,256,256
1565209824,256,256
1565284104,1024,1024
1565287222,256,256
1565289022,512,512
