DateTime,AddedIPs,RemovedIPs
1567112953,698,1959
1567114814,95,11
1567116985,13,11
1567117802,166,0
1567118913,10,15
1567120602,747,681
1567121057,49,74
1567122991,16,14
1567124895,48,98
1567126828,117,13
1567127322,659,642
1567128760,51,92
1567129501,174,2895
1567130657,11,28
1567132594,17,10
1567134040,763,1134
1567134767,16,11
1567135222,444,0
1567136405,27,26
1567136667,19,13
1567137628,611,567
1567138582,15,17
1567140016,347,731
1567140520,19,16
1567144572,146,21
1567146775,15,0
1567148402,346,0
1567148653,17,21
1567150581,12,18
1567152780,156,21
1567154202,691,1255
1567154660,26,0
1567155602,134,0
1567156601,7,27
1567157778,523,0
1567158752,7,6
1567159202,135,0
1567160916,8,5
1567163324,841,635
1567164737,2,0
1567166669,4,20
1567167424,638,407
1567168834,17,22
1567170764,285,15
1567172672,21,0
1567174578,12,0
1567176029,743,1182
1567176523,19,0
1567177202,269,0
1567178433,23,15
1567180345,18,20
1567182266,707,1028
1567184218,13,35
1567185302,231,0
1567186094,18,15
1567188046,20,15
1567189960,12,15
1567191858,15,18
1567193402,215,0
1567193790,25,8
1567195454,728,1781
1567195961,18,0
1567197879,877,11
1567199803,19,20
1567200602,184,0
1567201699,12,8
1567204336,766,690
1567205570,14,20
1567207455,41,41
1567208677,784,762
1567209390,14,11
1567211293,47,15
1567213244,796,38
1567215163,63,51
1567215902,231,2916
1567217326,13,11
1567219229,10,17
1567219502,132,0
1567220681,703,1116
1567221140,19,0
1567222813,23,23
1567223075,18,30
1567224768,603,730
1567225218,19,11
1567227135,135,17
1567228121,743,753
1567229073,17,0
1567230976,10,12
1567231960,519,0
1567232894,15,0
1567234843,145,9
1567235800,565,0
1567236743,20,16
1567238402,327,0
1567238667,13,11
1567239376,490,0
1567240588,10,11
1567242500,137,19
1567243220,572,584
1567244441,8,8
1567245601,146,0
1567246362,6,7
1567247547,598,625
1567248258,9,9
1567249202,106,0
1567252802,115,0
1567254034,695,1351
1567255955,10,22
1567260040,6,23
1567261943,230,11
1567266110,14,33
1567267950,268,14
1567269869,22,0
1567272034,11,11
1567273948,21,16
1567274402,234,0
1567275872,17,18
1567277774,15,8
1567279711,13,12
1567281662,18,25
1567282502,262,0
1567285455,13,35
1567286102,102,0
1567287374,7,24
1567291212,12,9
1567292445,37,0
1567293385,15,14
1567295296,208,0
1567297226,10,13
1567299134,5,12
1567300092,64,62
1567301055,204,2912
1567302972,8,16
1567304896,12,14
1567306841,8,9
1567308015,22,0
1567308983,248,17
1567313057,17,31
1567315223,15,17
1567317153,225,18
1567319401,201,0
1567321243,17,53
1567323158,14,14
1567325305,12,15
1567327231,212,12
1567329387,1,12
1567331314,3,5
1567333461,5,5
1567335376,791,10150
1567337293,10,0
1567338302,222,0
1567339241,8,0
1567341158,9,0
1567343326,8,8
1567345502,236,0
1567349075,18,14
1567350983,16,0
1567353161,269,12
1567355051,18,9
1567356971,25,19
1567358909,19,11
1567359902,199,0
1567360842,18,19
1567362757,11,14
1567364654,17,21
1567366590,21,11
1567367102,258,0
1567368516,17,20
1567370428,16,0
1567372337,11,12
1567374272,17,8
1567375202,283,0
1567376177,14,0
1567378098,13,12
1567378802,95,0
1567380012,14,16
1567381951,15,9
1567382422,43,77
1567383852,122,3102
1567385789,8,5
1567386253,256,39
1567387693,22,17
1567389641,12,16
1567391558,15,8
1567393464,24,14
1567393930,276,20
1567395373,23,0
1567397317,13,12
1567399213,24,0
1567400403,340,0
1567401135,23,16
1567403074,13,21
1567404002,169,0
1567404979,23,31
1567406896,20,0
1567408830,27,19
1567410756,28,12
1567411202,289,0
1567412653,14,15
1567414099,820,832
1567414574,23,10
1567416514,11,1
1567418451,8,3
1567420361,318,5
1567420570,805,0
1567422283,4,6
1567424193,7,11
1567426122,191,8
1567426501,239,0
1567428016,1,7
1567429942,18,9
1567430102,195,0
1567431854,21,0
1567433780,134,0
1567435695,25,15
1567437302,128,0
1567437633,15,12
1567439534,16,0
1567440901,109,0
1567441523,17,27
1567443395,9,23
1567444502,115,0
1567445296,23,0
1567447967,768,779
1567448102,123,0
1567449156,11,38
1567451053,10,13
1567452027,824,0
1567452973,13,20
1567454896,16,18
1567455301,228,0
1567456816,16,20
1567458759,12,26
1567459472,833,0
1567460652,21,0
1567462574,13,18
1567463791,615,1
1567464251,309,0
1567464761,15,22
1567466653,28,15
1567467132,271,0
1567468591,20,12
1567470495,18,13
1567470969,41,33
1567472506,14,5
1567474361,251,2958
1567474809,36,74
1567478176,12,22
1567480097,9,22
1567481541,794,0
1567482035,309,18
1567482488,23,42
1567483938,11,17
1567485855,15,24
1567487321,832,0
1567487783,25,18
1567489473,926,0
1567491853,19,36
1567492202,288,1
1567493792,18,20
1567495695,24,30
1567497630,15,19
1567499556,15,14
1567500302,327,0
1567501459,13,22
1567503370,6,12
1567503902,156,0
1567505293,5,11
1567507229,11,5
1567507502,127,0
1567509134,8,3
1567511079,11,6
1567512976,12,12
1567514958,12,3
1567518991,314,32
1567520893,22,15
1567522825,165,22
1567524782,21,11
1567526680,317,12
1567530506,168,25
1567531004,758,1590
1567532431,24,16
1567532897,378,0
1567533602,122,0
1567534356,12,0
1567537365,746,727
1567538204,131,21
1567540094,14,15
1567542032,18,17
1567544174,15,14
1567544402,231,0
1567548032,18,27
1567549959,14,11
1567551864,12,14
1567552568,229,40
1567553775,14,27
1567555721,14,21
1567556407,42,42
1567557632,13,15
1567559534,110,3343
1567559702,153,0
1567560248,46,0
1567561477,20,22
1567563382,147,0
1567565546,7,12
1567567456,23,6
1567567930,26,0
1567569395,7,14
1567571316,139,10
1567573240,16,13
1567574102,260,0
1567575140,21,20
1567577080,20,0
1567578973,15,14
1567579230,764,4830
1567581380,596,0
1567582202,382,0
1567583050,29,37
1567583544,464,0
1567585004,10,14
1567585802,151,0
1567586929,753,19
1567589055,6,14
1567590039,666,0
1567591244,5,3
1567592689,640,0
1567593403,307,5
1567595324,16,9
1567596041,634,0
1567596601,156,0
1567597209,19,6
1567598440,488,0
1567599386,22,20
1567601307,547,0
1567603479,14,13
1567603802,328,0
1567604678,767,0
1567605391,14,0
1567607547,14,39
1567607799,498,0
1567609726,16,15
1567611648,998,18
1567614492,17,16
1567616410,18,0
1567620520,146,36
1567622430,19,14
