DateTime,Entries,UniqueIPs
1567112953,19586,20225
1567114814,19663,20309
1567116985,19665,20311
1567117802,19826,20477
1567118913,19821,20472
1567120602,19877,20538
1567121057,19853,20513
1567122991,19856,20515
1567124895,19808,20465
1567126828,19909,20569
1567127322,19923,20586
1567128760,19882,20545
1567129501,17253,17824
1567130657,17237,17807
1567132594,17244,17814
1567134040,16878,17443
1567134767,16883,17448
1567135222,17304,17892
1567136405,17305,17893
1567136667,17311,17899
1567137628,17349,17943
1567138582,17347,17941
1567140016,16962,17557
1567140520,16964,17560
1567144572,17086,17685
1567146775,17100,17700
1567148402,17436,18046
1567148653,17432,18042
1567150581,17426,18036
1567152780,17562,18171
1567154202,17010,17607
1567154660,17036,17633
1567155602,17167,17767
1567156601,17148,17747
1567157778,17661,18270
1567158752,17661,18271
1567159202,17792,18406
1567160916,17795,18409
1567163324,17989,18615
1567164737,17991,18617
1567166669,17975,18601
1567167424,18207,18832
1567168834,18204,18827
1567170764,18463,19097
1567172672,18483,19118
1567174578,18495,19130
1567176029,18069,18691
1567176523,18085,18710
1567177202,18343,18979
1567178433,18352,18987
1567180345,18351,18985
1567182266,18059,18664
1567184218,18037,18642
1567185302,18252,18873
1567186094,18254,18876
1567188046,18259,18881
1567189960,18256,18878
1567191858,18252,18875
1567193402,18458,19090
1567193790,18477,19107
1567195454,17461,18054
1567195961,17479,18072
1567197879,18339,18938
1567199803,18338,18937
1567200602,18512,19121
1567201699,18516,19125
1567204336,18606,19201
1567205570,18601,19195
1567207455,18603,19195
1567208677,18621,19217
1567209390,18624,19220
1567211293,18653,19252
1567213244,19388,20010
1567215163,19396,20022
1567215902,16796,17337
1567217326,16798,17339
1567219229,16791,17332
1567219502,16918,17464
1567220681,16506,17051
1567221140,16520,17070
1567222813,16520,17070
1567223075,16509,17058
1567224768,16397,16931
1567225218,16405,16939
1567227135,16519,17057
1567228121,16518,17047
1567229073,16535,17064
1567230976,16533,17062
1567231960,17031,17581
1567232894,17045,17596
1567234843,17175,17732
1567235800,17723,18297
1567236743,17727,18301
1567238402,18040,18628
1567238667,18041,18630
1567239376,18509,19120
1567240588,18508,19119
1567242500,18620,19237
1567243220,18614,19225
1567244441,18614,19225
1567245601,18748,19371
1567246362,18748,19370
1567247547,18717,19343
1567248258,18717,19343
1567249202,18810,19449
1567252802,18917,19564
1567254034,18287,18908
1567255955,18274,18896
1567260040,18259,18879
1567261943,18467,19098
1567266110,18448,19079
1567267950,18696,19333
1567269869,18718,19355
1567272034,18717,19355
1567273948,18723,19360
1567274402,18945,19594
1567275872,18943,19593
1567277774,18949,19600
1567279711,18950,19601
1567281662,18943,19594
1567282502,19192,19856
1567285455,19169,19834
1567286102,19269,19936
1567287374,19252,19919
1567291212,19256,19922
1567292445,19292,19959
1567293385,19292,19960
1567295296,19492,20168
1567297226,19488,20165
1567299134,19481,20158
1567300092,19478,20160
1567301055,16903,17452
1567302972,16894,17444
1567304896,16890,17442
1567306841,16890,17441
1567308015,16912,17463
1567308983,17133,17694
1567313057,17119,17680
1567315223,17118,17678
1567317153,17320,17885
1567319401,17517,18086
1567321243,17484,18050
1567323158,17485,18050
1567325305,17482,18047
1567327231,17674,18247
1567329387,17663,18236
1567331314,17661,18234
1567333461,17661,18234
1567335376,8571,8875
1567337293,8581,8885
1567338302,8796,9107
1567339241,8804,9115
1567341158,8813,9124
1567343326,8813,9124
1567345502,9041,9360
1567349075,9045,9364
1567350983,9061,9380
1567353161,9309,9637
1567355051,9318,9646
1567356971,9325,9652
1567358909,9334,9660
1567359902,9527,9859
1567360842,9526,9858
1567362757,9524,9855
1567364654,9520,9851
1567366590,9530,9861
1567367102,9774,10119
1567368516,9771,10116
1567370428,9787,10132
1567372337,9787,10131
1567374272,9796,10140
1567375202,10073,10423
1567376177,10087,10437
1567378098,10088,10438
1567378802,10182,10533
1567380012,10181,10531
1567381951,10187,10537
1567382422,10156,10503
1567383852,7269,7523
