DateTime,AddedIPs,RemovedIPs
1567542003,78,0
1567542122,1,0
1567542722,11,0
1567543322,2,0
1567544567,1,1
1567545122,2,0
1567545363,0,86
1567546322,1,0
1567546923,1,0
1567547522,2,0
1567548014,87,0
1567548168,3,0
1567549252,1396,386
1567549322,1,0
1567549923,64,19
1567550523,5,1
1567551123,1,188
1567551827,4,2
1567552922,3,0
1567553522,2,0
1567553762,63,0
1567554122,1,0
1567554723,5,0
1567555367,1,0
1567556522,2,1
1567557123,4,0
1567557602,49,15
1567557722,2,0
1567558083,0,159
1567558322,1,0
1567559027,1,1
1567560122,1,0
1567560722,1,1
1567561923,1,0
1567562567,0,4
1567563362,63,0
1567563722,8,0
1567564322,2,0
1567564922,7,0
1567565523,72,9
1567565762,0,149
1567566168,0,5
1567566722,7,0
1567567322,1,0
1567567922,4,0
1567569122,5,0
1567569362,70,0
1567569767,6,0
1567570922,1,0
1567571522,4,0
1567571763,0,80
1567572122,3,0
1567572722,11,0
1567573211,69,0
1567573368,2,3
1567573923,1,0
1567574522,3,0
1567575122,4,0
1567575603,74,69
1567575723,2,0
1567576322,1,0
1567577042,74,6
1567578122,1,0
1567578963,71,109
1567579323,1,0
1567579922,2,0
1567580567,2,3
1567581122,14,0
1567582322,5,0
1567583042,88,19
1567584167,9,1
1567584963,0,99
1567585922,4,0
1567586522,1,1
1567586883,73,0
1567587122,5,0
1567587768,4,1
1567588322,5,0
1567589522,3,0
1567590122,1,0
1567590722,1,0
1567591215,56,21
1567591367,1,0
1567592162,1,117
1567592523,5,0
1567593122,1,0
1567593722,4,0
1567594322,4,0
1567595282,73,2
1567595522,2,0
1567596003,0,54
1567596123,1,0
1567596723,3,0
1567597322,3,0
1567598568,1,0
1567599363,75,0
1567599722,3,0
1567600322,1,0
1567600923,1,0
1567601282,58,12
1567601762,0,107
1567602168,3,2
1567602723,3,0
1567603323,2,0
1567604522,1,0
1567605123,7,0
1567605363,75,0
1567605768,16,0
1567606322,1,0
1567606922,2,0
1567607522,62,11
1567607763,11,58
1567608123,4,0
1567608722,9,0
1567609367,6,1
1567610522,3,0
1567611122,7,0
1567611602,65,13
1567611722,1,0
1567613523,66,88
1567614122,5,0
1567614722,5,0
1567615323,2,0
1567615922,1,0
1567616522,1,0
1567616568,0,1
1567617123,2,0
1567617723,3,0
1567618322,5,1
1567618922,2,0
1567619522,88,14
1567620168,1,1
1567620722,1,0
1567621444,73,94
1567621922,1,0
1567622522,17,0
1567623769,2,0
1567624323,1,0
1567624923,4,0
1567625523,91,72
1567626122,2,0
1567626722,2,0
1567627368,5,0
1567627922,4,0
1567628523,8,0
1567629122,3,0
1567629362,66,15
1567630923,13,0
1567631285,0,142
1567632122,3,0
1567633202,68,0
1567633323,1,0
1567634522,1,0
1567635722,3,0
1567636382,1333,364
1567637044,73,91
1567637523,1,0
1567638169,2,0
1567638963,12,119
1567639323,1,0
1567640882,71,0
1567641123,4,0
1567642806,0,108
1567642922,1,0
1567643522,1,0
1567644122,2,0
1567644722,45,0
1567645322,8,0
1567645368,0,1
1567646522,6,0
1567647122,2,0
1567647722,5,0
1567648322,3,0
1567648563,64,152
1567648968,3,2
1567649522,3,0
1567650123,1,0
1567650723,4,0
1567651322,2,0
1567651922,1,0
1567652408,77,0
1567652628,2,0
1567653363,2,78
1567653722,5,0
1567654322,73,0
