DateTime,Entries,UniqueIPs
1567542003,1007274,1047116
1567542122,1007275,1047117
1567542722,1007283,1047128
1567543322,1007284,1047130
1567544567,1007284,1047130
1567545122,1007284,1047132
1567545363,1007198,1047046
1567546322,1007199,1047047
1567546923,1007200,1047048
1567547522,1007202,1047050
1567548014,1007289,1047137
1567548168,1007292,1047140
1567549252,1008199,1048150
1567549322,1008200,1048151
1567549923,1008242,1048196
1567550523,1008246,1048200
1567551123,1008059,1048013
1567551827,1008061,1048015
1567552922,1008063,1048018
1567553522,1008065,1048020
1567553762,1008128,1048083
1567554122,1008129,1048084
1567554723,1008132,1048089
1567555367,1008133,1048090
1567556522,1008131,1048091
1567557123,1008134,1048095
1567557602,1008168,1048129
1567557722,1008170,1048131
1567558083,1008011,1047972
1567558322,1008012,1047973
1567559027,1008011,1047973
1567560122,1008012,1047974
1567560722,1008013,1047974
1567561923,1008012,1047975
1567562567,1008010,1047971
1567563362,1008073,1048034
1567563722,1008080,1048042
1567564322,1008082,1048044
1567564922,1008089,1048051
1567565523,1008152,1048114
1567565762,1008003,1047965
1567566168,1007998,1047960
1567566722,1008005,1047967
1567567322,1008006,1047968
1567567922,1008010,1047972
1567569122,1008015,1047977
1567569362,1008085,1048047
1567569767,1008091,1048053
1567570922,1008092,1048054
1567571522,1008095,1048058
1567571763,1008015,1047978
1567572122,1008018,1047981
1567572722,1008029,1047992
1567573211,1008098,1048061
1567573368,1008096,1048060
1567573923,1008095,1048061
1567574522,1008098,1048064
1567575122,1008101,1048068
1567575603,1008106,1048073
1567575723,1008107,1048075
1567576322,1008108,1048076
1567577042,1008175,1048144
1567578122,1008176,1048145
1567578963,1008138,1048107
1567579323,1008139,1048108
1567579922,1008140,1048110
1567580567,1008139,1048109
1567581122,1008150,1048123
1567582322,1008154,1048128
1567583042,1008223,1048197
1567584167,1008230,1048205
1567584963,1008131,1048106
1567585922,1008135,1048110
1567586522,1008133,1048110
1567586883,1008206,1048183
1567587122,1008211,1048188
1567587768,1008213,1048191
1567588322,1008217,1048196
1567589522,1008219,1048199
1567590122,1008220,1048200
1567590722,1008221,1048201
1567591215,1008256,1048236
1567591367,1008257,1048237
1567592162,1008141,1048121
1567592523,1008143,1048126
1567593122,1008144,1048127
1567593722,1008148,1048131
1567594322,1008152,1048135
1567595282,1008222,1048206
1567595522,1008224,1048208
1567596003,1008170,1048154
1567596123,1008170,1048155
1567596723,1008173,1048158
1567597322,1008176,1048161
1567598568,1008177,1048162
1567599363,1008251,1048237
1567599722,1008252,1048240
1567600322,1008253,1048241
1567600923,1008254,1048242
1567601282,1008300,1048288
1567601762,1008193,1048181
1567602168,1008194,1048182
1567602723,1008197,1048185
1567603323,1008199,1048187
1567604522,1008200,1048188
1567605123,1008203,1048195
1567605363,1008278,1048270
1567605768,1008292,1048286
1567606322,1008293,1048287
1567606922,1008295,1048289
1567607522,1008346,1048340
1567607763,1008299,1048293
1567608123,1008301,1048297
1567608722,1008310,1048306
1567609367,1008313,1048311
1567610522,1008315,1048314
1567611122,1008320,1048321
1567611602,1008372,1048373
1567611722,1008373,1048374
1567613523,1008351,1048352
1567614122,1008356,1048357
1567614722,1008361,1048362
1567615323,1008362,1048364
1567615922,1008363,1048365
1567616522,1008364,1048366
1567616568,1008363,1048365
1567617123,1008364,1048367
1567617723,1008367,1048370
1567618322,1008370,1048374
1567618922,1008372,1048376
1567619522,1008446,1048450
1567620168,1008445,1048450
1567620722,1008446,1048451
1567621444,1008424,1048430
1567621922,1008424,1048431
1567622522,1008435,1048448
1567623769,1008437,1048450
1567624323,1008438,1048451
1567624923,1008442,1048455
1567625523,1008460,1048474
1567626122,1008461,1048476
1567626722,1008463,1048478
1567627368,1008468,1048483
1567627922,1008471,1048487
1567628523,1008477,1048495
1567629122,1008480,1048498
1567629362,1008531,1048549
1567630923,1008544,1048562
1567631285,1008402,1048420
1567632122,1008405,1048423
1567633202,1008473,1048491
1567633323,1008474,1048492
1567634522,1008475,1048493
1567635722,1008478,1048496
1567636382,1009296,1049465
1567637044,1009277,1049447
1567637523,1009278,1049448
1567638169,1009280,1049450
1567638963,1009172,1049343
1567639323,1009173,1049344
1567640882,1009244,1049415
1567641123,1009247,1049419
1567642806,1009139,1049311
1567642922,1009139,1049312
1567643522,1009140,1049313
1567644122,1009142,1049315
1567644722,1009187,1049360
1567645322,1009195,1049368
1567645368,1009194,1049367
1567646522,1009200,1049373
1567647122,1009202,1049375
1567647722,1009207,1049380
1567648322,1009210,1049383
1567648563,1009122,1049295
1567648968,1009123,1049296
1567649522,1009125,1049299
1567650123,1009126,1049300
1567650723,1009129,1049304
1567651322,1009131,1049306
1567651922,1009132,1049307
1567652408,1009209,1049384
1567652628,1009211,1049386
1567653363,1009135,1049310
1567653722,1009139,1049315
1567654322,1009212,1049388
1567655523,1009215,1049392
1567656242,1009276,1049455
1567656722,1009279,1049458
1567657922,1009280,1049461
1567658522,1009282,1049463
1567659123,1009125,1049306
1567659722,1009127,1049310
1567660322,1009129,1049312
1567660922,1009132,1049317
1567661522,1009135,1049321
1567662242,1009215,1049401
1567663322,1009218,1049403
1567663428,1009216,1049401
1567663922,1009220,1049406
1567664522,1009221,1049407
1567665122,1009225,1049412
1567665722,1009226,1049413
1567666083,1009291,1049478
1567666323,1009294,1049481
1567666968,1009294,1049481
1567667523,1009305,1049495
1567668122,1009313,1049504
1567668963,1009203,1049394
1567669322,1009204,1049397
1567669924,1009286,1049479
1567670523,1009288,1049482
1567670568,1009286,1049480
1567671722,1009290,1049484
1567672922,1009291,1049485
1567673523,1009291,1049486
1567673763,1009348,1049543
1567674228,1009352,1049548
1567674723,1009255,1049452
1567675322,1009256,1049454
1567675922,1009256,1049453
1567676523,1009259,1049456
1567677123,1009261,1049459
1567677615,1009316,1049514
1567677768,1009315,1049513
1567678322,1009316,1049515
1567678563,1009270,1049469
1567679522,1009398,1049598
1567680122,1009398,1049600
1567680722,1009400,1049603
1567681443,1009337,1049540
1567681922,1009337,1049541
1567682523,1009340,1049544
1567683362,1009384,1049588
1567683722,1009385,1049589
1567684323,1009284,1049488
1567684968,1009289,1049493
1567686722,1009288,1049495
1567687202,1009344,1049551
1567687323,1009348,1049556
1567688569,1009350,1049558
1567689124,1009407,1049615
1567689722,1009408,1049617
1567690082,1009374,1049583
1567690323,1009375,1049585
1567690922,1009376,1049586
1567692169,1009375,1049585
1567693323,1009376,1049586
1567693923,1009378,1049590
1567694522,1009382,1049594
1567695123,1009395,1049607
1567695829,1009394,1049606
1567697043,1009341,1049553
1567698122,1009343,1049556
1567698963,1009424,1049638
1567699322,1009425,1049641
1567699922,1009428,1049646
1567700522,1009438,1049657
1567700883,1009359,1049577
1567701723,1009361,1049579
1567702806,1009442,1049660
1567702969,1009441,1049660
1567703522,1009447,1049667
1567704723,1009501,1049721
1567705923,1009503,1049723
1567706569,1009504,1049724
1567707123,1009508,1049728
1567707603,1009395,1049614
1567707722,1009397,1049616
1567708322,1009400,1049619
1567708802,1009502,1049721
1567708924,1009505,1049724
1567710122,1009507,1049726
1567710169,1009506,1049725
1567710722,1009507,1049726
1567711322,1009507,1049726
1567711922,1009508,1049728
1567712522,1009510,1049730
1567713123,1009514,1049734
1567713722,1009514,1049735
1567713769,1009513,1049734
1567714322,1009515,1049739
1567714562,1009576,1049800
1567714922,1009578,1049802
1567715282,1009455,1049679
1567716122,1009456,1049680
1567716722,1009457,1049682
1567717322,1009459,1049684
1567717922,1009462,1049687
1567718403,1009549,1049774
1567718522,1009554,1049779
1567719122,1009557,1049782
1567720083,1009546,1049771
1567720324,1009437,1049663
1567721029,1009450,1049679
1567721522,1009454,1049687
1567722722,1009456,1049689
1567723478,1010381,1050693
1567723923,1010383,1050695
1567724173,1010468,1050780
1567724569,1010471,1050783
1567725122,1010472,1050784
1567726323,1010479,1050793
1567726922,1010482,1050796
1567727523,1010483,1050797
1567727763,1010440,1050754
1567728013,1010341,1050655
1567728169,1010347,1050663
1567728722,1010348,1050664
1567729322,1010348,1050665
1567729923,1010394,1050711
1567730522,1010395,1050712
1567731123,1010399,1050716
1567731829,1010398,1050715
1567732562,1010310,1050627
1567732922,1010313,1050630
1567734002,1010385,1050702
1567734122,1010387,1050704
1567734722,1010388,1050706
1567735322,1010389,1050707
1567735369,1010388,1050706
