DateTime,AddedIPs,RemovedIPs
1566591107,3,1
1566591628,256,256
1566594929,3,3
1566598526,1,2
1566599403,256,256
1566602128,3,2
1566605735,6,7
1566609318,23,2
1566613203,5,2
1566616403,8,8
1566620133,6,32
1566623509,1,4
1566627335,4,3
1566630902,3,6
1566633302,1,1
1566634502,5,4
1566637879,6,3
1566639036,0,512
1566641740,1,2
1566645352,0,2
1566649202,3,3
1566649413,1792,5888
1566651302,4608,48640
1566652525,3,5
1566653440,256,256
1566654002,256,256
1566655235,256,256
1566655885,6,1
1566656678,512,512
1566659102,256,256
1566659725,4,2
1566663327,3,4
1566664229,768,768
1566666928,2,9
1566669636,512,512
1566670529,3,4
1566671026,512,512
1566674138,10,6
1566674725,256,256
1566676854,1,1
1566677728,5,2
1566678628,1,1
1566681330,2,3
1566685502,3,4
1566688277,1,4
1566692130,22,3
1566692502,256,256
1566693030,1,1
1566693902,1,1
1566695735,6,1
1566696630,1,1
1566697503,1,0
1566699101,6,4
1566699903,1,1
1566702935,13,20
1566706534,7,3
1566709928,5,2
1566713517,3,4
1566717339,3,9
1566719102,131073,2049
1566719702,1,1
1566720940,6,8
1566724541,3,6
1566728145,10,5
1566731757,5,5
1566735338,2,3
1566738002,8960,8192
1566738937,5,1
1566742555,2,2
1566746702,3,9
1566749737,4,3
1566753302,3,5
1566754233,1,1
1566755103,1,1
1566756934,5,4
1566760502,1,3
1566764136,3,2
1566767737,2,1
1566768335,512,512
1566771302,6,7
1566773703,1,1
1566774302,1,1
1566774924,2,2
1566778526,8,3
1566779425,512,512
1566782129,20,2
1566785730,4,5
1566789903,3,10
1566792928,3,19
1566796527,4,3
1566799927,1,1
1566803703,3,2
1566807336,4,3
1566810931,4,4
1566814528,3,3
1566818141,3,3
1566822002,4,3
1566824102,1024,1024
1566825326,2,4
1566828930,1,2
1566832529,5,12
1566836128,7,5
1566836702,1,1
1566837302,1024,1024
1566839719,7,6
1566843320,3,2
1566843903,256,256
1566846953,5,4
1566850273,2,3
1566851702,256,256
1566854702,1,2
1566857702,3,3
1566858627,256,256
1566861063,8,2
1566864905,7,2
1566868524,26,3
1566872103,5,3
1566875702,5,7
1566879302,2,21
1566882902,4,3
1566886502,2,7
1566890103,7,5
1566893703,4,5
1566897325,8,8
1566900903,4,3
1566904502,8,5
1566908403,5,3
1566910503,0,39680
1566911725,5,3
1566915302,3,4
1566915602,1280,1280
1566916216,256,256
1566918022,1,1
1566918917,5,4
1566922502,4,6
1566926103,5,6
1566929507,2,3
1566930902,256,256
1566933303,2,4
1566936902,3,2
1566937820,256,256
1566940504,2,3
1566941702,256,256
1566944402,2,2
1566945021,256,256
1566947722,1,1
1566950402,0,1
1566951078,9,2
1566952202,1,0
1566952502,256,256
1566954924,11,1
1566956702,1,1
1566957603,1,1
1566960303,9,3
1566963025,5,5
1566965761,3,10
1566969399,2,2
1566972903,3,7
1566976529,2,4
1566979865,3,2
1566983702,4,2
1566987303,1,2
1566990902,3,6
1566994503,2,3
1566996902,12800,585216
1566998273,1806,2052
1567001722,7,7
1567002625,256,256
1567005325,2,4
1567006229,256,256
1567008692,6,11
1567009831,768,768
1567012502,4,6
1567013434,256,256
1567017004,514,516
1567017902,466944,0
1567019702,2,4
1567023303,3,2
1567023347,512,512
1567026903,3,3
1567030503,1,2
1567031453,256,256
1567034153,2,1
1567035003,256,256
1567037702,6,4
1567038652,256,256
1567041302,38,3
1567044902,7,4
1567048802,5,5
1567052102,4,17
