DateTime,AddedIPs,RemovedIPs
1567443722,8,0
1567444323,7,0
1567446123,1,0
1567446722,9,0
1567447923,10,0
1567449722,1,0
1567450323,1,0
1567450922,3,0
1567451522,1,0
1567452122,1,0
1567452722,5,0
1567453323,11,0
1567453923,1,0
1567454522,3,0
1567455722,1,0
1567457522,2,0
1567458122,1,0
1567459323,3,0
1567459922,0,1
1567461123,6,0
1567461723,1,0
1567462110,1233,415
1567462322,1,0
1567462923,1,0
1567463522,13,0
1567464123,5,0
1567465322,1,0
1567465922,1,0
1567466523,2,0
1567468923,1,1
1567469522,1,1
1567470122,1,0
1567471323,4,0
1567471922,2,0
1567472522,3,0
1567473124,1,0
1567473722,4,0
1567474922,2,2
1567475522,9,0
1567476123,3,0
1567477322,7,1
1567477922,1,0
1567478522,9,0
1567480322,3,0
1567480922,2,0
1567481522,1,0
1567482123,7,0
1567484522,1,0
1567485122,4,0
1567486323,4,0
1567486922,6,0
1567487522,3,0
1567488122,5,0
1567489322,5,0
1567489922,2,0
1567491123,3,0
1567492322,3,0
1567493522,4,0
1567494122,2,0
1567495322,6,0
1567496523,9,0
1567497122,2,0
1567498322,6,0
1567498922,5,0
1567500123,5,1
1567500723,4,0
1567501322,3,0
1567501922,1,0
1567502522,2,1
1567503123,2,0
1567503722,1,0
1567504322,4,0
1567506122,4,0
1567507322,2,0
1567509123,1,0
1567510922,2,0
1567512722,5,0
1567513323,2,0
1567513923,2,0
1567514523,1,0
1567515122,2,1
1567516322,3,0
1567516922,4,0
1567518123,5,0
1567518722,2,0
1567519322,2,0
1567519923,2,0
1567520522,4,0
1567522322,2,0
1567522922,1,0
1567523522,4,0
1567524122,1,0
1567525323,3,0
1567525922,2,0
1567526523,8,0
1567527122,1,0
1567527723,17,0
1567528322,1,1
1567529522,1,0
1567530123,2,1
1567530723,6,0
1567531322,12,0
1567532522,7,0
1567533123,7,0
1567534323,3,0
1567534922,3,0
1567535523,3,0
1567536123,3,0
1567536722,1,0
1567537323,1,0
1567537923,1,0
1567538523,2,0
1567539723,5,0
1567540323,0,1
1567540922,2,1
1567541522,2,0
1567542122,1,0
1567542722,11,0
1567543322,2,0
1567544523,1,0
1567545122,2,0
1567546322,1,0
1567546923,1,0
1567547522,2,0
1567548122,3,0
1567549252,1396,386
1567549322,1,0
1567549923,12,0
1567550523,5,1
1567551122,1,0
1567551722,4,0
1567552922,3,0
1567553522,2,0
1567554122,1,0
1567554723,5,0
1567555323,1,0
1567556522,2,1
1567557123,4,0
1567557722,2,0
1567558322,1,0
1567558923,1,1
1567560122,1,0
1567560722,1,1
1567561923,1,0
1567563122,4,0
1567563722,8,0
1567564322,2,0
1567564922,7,0
1567566722,7,0
1567567322,1,0
1567567922,4,0
1567569122,5,0
1567569722,6,0
1567570922,1,0
1567571522,4,0
1567572122,3,0
1567572722,11,0
1567573323,2,0
1567573923,1,0
1567574522,3,0
1567575122,4,0
1567575723,2,0
1567576322,1,0
1567576922,5,0
1567578122,1,0
1567579323,1,0
1567579922,2,0
1567580522,2,0
1567581122,14,0
1567582322,5,0
1567584122,9,0
1567585922,4,0
1567586522,1,1
1567587122,5,0
1567587722,4,0
1567588322,5,0
1567589522,3,0
1567590122,1,0
1567590722,1,0
1567591322,1,0
1567591922,1,0
1567592523,5,0
1567593122,1,0
1567593722,4,0
1567594322,4,0
1567594922,3,0
1567595522,2,0
1567596123,1,0
1567596723,3,0
1567597322,3,0
1567599122,1,0
1567599722,3,0
1567600322,1,0
1567600923,1,0
1567602122,2,0
1567602723,3,0
1567603323,2,0
1567604522,1,0
1567605123,7,0
1567605723,16,0
1567606322,1,0
1567606922,2,0
1567608123,4,0
1567608722,9,0
1567609322,6,0
1567610522,3,0
1567611122,7,0
1567611722,1,0
1567613522,2,0
1567614122,5,0
1567614722,5,0
1567615323,2,0
1567615922,1,0
1567616522,1,0
1567617123,2,0
1567617723,3,0
1567618322,5,1
1567618922,2,0
1567620122,1,0
1567620722,1,0
1567621322,3,0
1567621922,1,0
1567622522,17,0
1567623723,2,0
1567624323,1,0
1567624923,4,0
1567625522,3,0
1567626122,2,0
1567626722,2,0
1567627322,5,0
1567627922,4,0
1567628523,8,0
1567629122,3,0
1567630923,13,0
1567632122,3,0
1567633323,1,0
1567634522,1,0
1567635722,3,0
1567636382,1333,364
1567636922,1,0
1567637523,1,0
1567638122,2,0
1567638723,12,0
1567639323,1,0
1567641123,4,0
1567642922,1,0
1567643522,1,0
1567644122,2,0
1567644722,1,0
1567645322,8,0
1567646522,6,0
1567647122,2,0
1567647722,5,0
1567648322,3,0
1567648923,3,0
1567649522,3,0
1567650123,1,0
1567650723,4,0
1567651322,2,0
1567651922,1,0
1567652522,2,0
1567653122,2,0
1567653722,5,0
1567655523,4,0
1567656122,6,0
1567656722,3,0
1567657922,3,0
1567658522,2,0
1567659122,5,0
1567659722,4,0
1567660322,2,0
1567660922,5,0
1567661522,4,0
1567662123,6,0
1567663322,3,1
1567663922,5,0
1567664522,1,0
1567665122,5,0
1567665722,1,0
1567666323,3,0
1567666922,1,0
1567667523,14,0
1567668122,9,0
1567669322,3,0
1567669923,2,0
1567670523,3,0
1567671722,4,0
1567672922,1,0
1567673523,1,0
1567674122,5,0
1567674722,1,0
1567675322,3,1
1567675922,0,1
1567676523,3,0
1567677123,3,0
1567678322,2,0
1567679522,1,0
1567680122,2,0
1567680722,3,0
1567681323,2,0
1567681922,2,0
1567682523,3,0
1567683722,1,0
1567684322,2,0
1567684922,3,0
1567686722,2,0
1567687323,5,0
1567688523,2,0
1567689122,3,1
1567689722,2,0
1567690323,2,0
1567690922,1,0
1567693323,1,0
1567693923,4,0
1567694522,4,0
1567696923,3,0
1567698122,3,0
1567699322,3,0
1567699922,5,0
1567700522,11,0
1567701723,2,0
1567702923,1,1
1567703522,7,0
1567704723,3,0
1567705923,2,0
1567706523,1,0
1567707123,4,0
1567707722,2,0
1567708322,3,0
1567708924,3,0
1567710122,2,0
1567710722,1,0
1567711322,1,1
1567711922,2,0
1567712522,2,0
1567713123,4,0
1567713722,1,0
1567714322,5,0
1567714922,2,0
1567716122,1,0
1567716722,2,0
1567717322,2,0
1567717922,3,0
1567718522,5,0
1567719122,3,0
1567720324,2,0
1567720922,16,0
1567721522,8,0
1567722722,2,0
1567723478,1351,349
1567723923,2,0
1567724522,3,0
1567725122,1,0
1567726323,9,0
1567726922,3,0
1567727523,1,0
1567728123,10,0
1567728722,1,0
1567729322,1,0
1567730522,1,0
1567731123,4,0
1567732922,3,0
1567734122,2,0
1567734722,2,0
1567735322,1,0
1567735922,1,0
1567736522,15,0
1567737723,3,0
1567739522,1,0
1567740122,1,0
1567740722,4,0
1567741322,4,0
1567741922,1,0
1567743122,3,0
1567743722,3,0
1567744922,1,0
1567745522,3,0
1567746122,2,0
1567746723,2,0
1567747323,2,0
1567747923,1,0
1567748523,7,0
1567749122,1,0
1567750322,12,0
1567750922,3,0
1567752122,2,0
1567752723,6,0
1567753322,1,0
1567754522,2,0
1567755122,1,0
1567755722,2,0
1567756922,2,0
1567758122,2,0
1567758722,3,0
1567759322,8,0
1567760522,5,0
1567761122,1,0
1567761722,7,0
1567762322,1,0
1567762922,2,0
1567764122,3,0
1567764722,3,0
1567765322,1,0
1567765922,1,0
1567766523,14,0
1567767123,2,0
1567767723,2,0
1567770122,8,0
1567771922,2,0
1567772522,3,0
1567773722,4,0
1567774322,3,0
1567774922,3,0
1567776122,6,0
1567777323,6,0
1567777922,1,0
1567779122,2,0
1567779722,26,0
1567781522,2,0
1567782122,1,0
1567782723,9,0
1567784522,3,0
1567785722,3,0
1567786323,4,0
1567786922,1,0
1567788722,8,0
1567788723,3,0
1567789322,2,0
1567789922,5,0
1567790523,2,0
1567791122,2,0
1567791722,4,0
1567792922,4,0
1567794123,4,0
1567795322,2,0
1567795923,2,0
