DateTime,AddedIPs,RemovedIPs
1550868485,1,3
1550894660,3,0
1550954644,3,0
1550982251,2,0
1551025928,2,0
1551041529,1,6
1551113541,1,0
1551117616,290,246
1551127689,4,4
1551157222,2,0
1551201138,2,0
1551214088,2,2
1551288746,2,0
1551300250,3,3
1551376112,3,0
1551386645,5,3
1551463453,1,0
1551473529,3,3
1551507135,2,0
1551551084,1,0
1551559687,2,3
1551594983,2,0
1551638654,2,0
1551646086,1,4
1551682404,2,0
1551726528,1,0
1551732244,5,1
1551770198,2,0
1551813853,3,0
1551818649,2,3
1551857537,2,0
1551901210,1,0
1551905289,1,1
1551944894,2,0
1551988595,3,0
1551991684,3,3
1552075932,3,0
1552078089,2,1
1552119628,1,0
1552163290,2,0
1552164245,2,2
1552247766,291,283
1552250654,5,2
1552294328,2,0
1552333684,0,4
1552338024,1,0
1552381690,4,0
1552420327,4,2
1552425367,1,0
1552469077,1,0
1552506246,2,0
1552513253,2,0
1552556915,1,0
1552592889,1,5
1552644265,1,0
1552679283,2,1
1552687932,2,0
1552731632,3,0
1552765684,2,2
1552775295,1,0
1552818990,1,0
1552851844,4,3
1552862670,1,0
1552906330,2,0
1552938243,3,4
1552950021,3,0
1552993964,1,0
1553025365,2,1
1553037629,10,0
1553081321,1,0
1553111524,0,3
1553124976,2,0
1553197925,3,2
1553212365,2,0
1553256019,1,0
1553284325,3,2
1553343372,2,0
1553370729,3,4
1553387050,1,0
1553456888,5,2
1553474410,2,0
1553543049,2,5
1553552404,294,302
1553561771,1,0
1553605725,3,0
1553629685,2,0
1553649436,1,0
1553693332,3,0
1553716086,0,1
1553780649,1,0
1553802247,2,6
1553824347,3,0
1553868020,2,0
1553889126,4,2
1553911727,2,0
1553975288,2,3
1553999048,1,0
1554062452,1,3
1554148088,4,4
1554174040,1,0
1554234731,4,3
1554261389,2,0
1554320650,4,2
1554348756,2,0
1554407049,2,4
1554436115,2,0
1554479771,2,0
1554493334,5,2
1554523469,2,0
1554567129,1,0
1554580091,2,2
1554610815,1,0
1554666245,1,2
1554698167,3,0
1554741869,3,0
1554752645,1,3
1554785532,1,0
1554829220,2,0
1554839765,6,1
1554872912,4,0
1554916570,3,0
1554930263,253,267
1554960252,4,0
1555003952,1,0
1555012327,1,5
1555047639,1,0
1555091310,1,0
1555098151,3,4
1555178654,2,0
1555184885,5,3
1555222332,1,0
1555266029,3,0
1555271284,3,2
1555353372,1,0
1555357446,2,2
1555397068,1,0
1555444084,2,4
1555484436,2,0
1555530246,5,2
1555615471,2,0
1555616888,3,2
1555659150,1,0
1555702832,2,0
1555703288,1,3
1555746488,2,0
1555789448,4,1
1555790185,1,0
1555833860,3,0
1555876088,1,3
1555877535,1,0
1555921209,2,0
1555962245,3,4
1555964888,1,0
1556008580,2,0
1556048647,5,3
1556052497,3,0
1556135046,2,1
1556139863,1,0
1556220679,2,5
1556235607,227,281
1556249292,1,466
1556307845,5,1
1556336667,1,0
1556394245,1,3
1556424035,3,0
1556480888,1,1
1556511368,1,0
1556555070,3,0
1556567047,1,4
1556642430,1,0
1556653448,4,4
1556729788,2,0
1556739847,5,3
1556773452,6,0
1556817151,1,0
1556826724,2,3
1556912541,4,3
1556999524,3,3
1557035771,1,0
1557079717,1,0
1557085445,3,2
1557123370,1,0
1557167069,2,0
1557171845,1,1
1557210743,2,0
1557254406,2,0
1557258485,2,2
1557298091,1,0
1557344646,1,4
1557385470,1,0
1557429131,2,0
1557431285,5,2
1557472826,1,0
1557516487,1,0
1557517444,2,3
1557525846,224,221
1557603604,3,3
1557603847,1,0
1557647525,2,0
1557690009,5,3
1557734913,1,0
1557776404,1,5
1557778584,1,0
1557863284,3,1
1557909608,1,0
1557949688,3,1
1557953287,1,0
1557996976,1,0
1558035612,4,4
1558040657,5,0
1558084361,2,0
1558122487,2,5
1558171957,2,0
1558209126,4,0
1558215612,1,0
1558295044,2,3
1558302969,6,0
1558346652,1,0
1558381684,1,1
1558390359,1,0
1558434030,1,0
1558468326,2,5
1558477692,3,0
1558521366,4,0
1558554247,3,5
1558565067,3,0
1558640887,3,3
1558652437,3,0
1558727045,3,2
1558739769,2,0
1558813218,3,2
1558833129,188,218
1558870831,3,0
1558899608,0,3
1558914488,1,0
1558958164,1,0
1558986766,4,2
1559001876,1,0
1559072406,2,3
1559089258,3,0
1559159284,4,2
1559220272,1,0
1559245686,1,3
1559263953,2,0
1559307637,4,0
1559332084,3,3
1559351561,1,0
1559395228,2,0
1559418244,2,2
1559482567,2,0
1559504645,4,0
1559526251,1,0
1559591047,0,1
1559613617,5,0
1559677444,0,2
1559744648,2,0
1559763745,2,4
1559788333,2,0
1559832008,1,0
1559850489,4,2
1559875687,3,0
1559936888,4,4
1559963298,4,0
1560023051,4,4
1560050892,4,0
1560094569,2,0
1560109445,3,0
1560138253,3,0
1560181934,1,0
1560196329,0,2
1560212646,186,180
1560269539,2,0
1560282498,3,4
1560313208,1,0
1560368645,0,1
1560400813,1,0
1560444503,1,0
1560455285,1,3
1560488170,1,0
1560541447,4,3
1560575543,1,0
1560619222,1,0
1560627858,3,0
1560662887,3,0
1560714004,0,2
1560750248,2,0
1560800404,3,2
1560881591,2,0
1560886805,0,2
1560925239,1,0
1560973205,2,2
1561059850,3,1
1561099950,1,0
1561143611,1,0
1561146256,1,3
1561187318,1,0
1561231002,1,0
1561232406,1,4
1561318804,4,1
1561362033,1,0
1561405210,1,3
1561449637,2,0
1561491609,2,1
1561517526,148,175
1561537215,1,0
1561578005,2,3
1561624576,1,0
1561664888,3,4
1561668273,1,0
1561750805,2,1
1561755623,2,0
1561799311,4,0
1561837207,1,1
1561842979,2,0
1561886651,2,0
1561923606,4,3
1561930353,4,0
1561974010,3,0
1562010004,2,5
1562017715,1,0
1562061391,1,0
1562096650,4,3
1562148764,2,0
1562182804,3,1
1562194128,1,0
1562237784,1,0
1562269448,3,3
1562281459,3,0
1562325131,1,0
1562355605,3,7
1562368805,2,0
1562412497,3,0
1562442005,4,0
1562456174,1,0
1562499867,1,0
1562528646,1,4
1562543534,3,0
1562587219,3,0
1562614806,5,2
1562630912,4,0
1562674572,1,0
1562701205,2,4
1562718251,3,0
1562761941,1,0
1562787370,1,2
1562805608,1,0
1562809217,177,143
1562874008,3,1
1562892987,2,0
1562936653,1,0
1562960648,2,3
1562980337,1,0
1563024011,1,0
1563046805,3,2
1563111384,4,0
1563133445,4,2
1563155074,1,0
1563198734,1,0
1563219608,2,5
1563242414,1,0
1563306006,2,1
1563329775,2,0
1563392407,3,2
1563417150,1,0
1563460827,1,0
1563478807,2,2
1563504758,1,0
1563548422,1,0
1563565205,2,2
1563592116,2,0
1563635789,1,0
1563651606,1,2
1563679450,1,0
1563723148,1,0
1563738005,0,4
1563810509,2,0
1563824404,4,2
1563854183,1,0
1563897880,2,0
1563911048,4,2
1563941551,3,0
1563985205,2,0
1563997447,3,3
1564029143,1,0
1564072824,1,0
1564083612,2,1
1564114087,184,174
1564170004,2,2
1564203852,2,0
1564256646,0,1
1564291221,1,0
1564343286,3,1
1564422254,2,0
1564429684,1,3
1564465948,2,0
1564509616,4,0
1564515072,1,4
1564553310,4,0
1564596986,3,0
1564602483,6,4
1564640651,1,0
1564684349,1,0
1564688885,3,6
1564728007,3,0
1564771711,1,0
1564774813,5,3
1564815397,1,0
1564859314,5,0
1564861206,2,2
1564902988,3,0
1564946668,2,0
1564947607,1,3
1564990351,4,0
1565034010,7,2
1565077942,2,0
1565120644,2,4
1565121656,1,0
1565165307,1,0
1565207201,3,3
1565208974,2,0
1565252653,3,0
1565294889,4,1
1565296331,1,0
1565340015,1,0
1565379848,2,5
1565427386,3,0
1565466005,4,3
1565471062,2,0
1565493618,229,191
1565552404,2,4
1565558413,1,0
1565638592,4,3
1565645770,4,0
1565689469,3,0
1565725926,3,1
1565776822,2,0
1565811848,1,2
1565820494,3,0
1565864184,1,0
1565898248,1,2
1565908132,1,0
1565951770,3,0
1565984405,2,3
1566071285,4,3
1566126487,2,0
1566157204,3,3
1566170173,2,0
1566243850,2,2
1566257540,2,0
1566301212,3,0
1566330245,2,0
1566345141,2,0
1566389066,5,0
1566416406,1,2
1566433000,3,0
1566476664,4,0
1566502652,1,2
1566563971,1,0
1566589446,2,3
1566607961,5,0
1566651644,1,0
1566675847,3,1
1566695317,3,0
1566738991,1,0
1566739931,165,230
1566762251,1,1
1566782663,1,0
1566826357,1,0
1566848405,2,4
1566870009,1,0
1566913714,3,0
1566934805,3,2
1566957406,4,0
1567001327,1,0
1567021205,0,2
1567044990,1,0
1567088653,1,0
1567107610,3,4
1567132335,1,0
1567194246,4,1
1567219696,2,0
1567263372,1,0
1567280665,1,1
1567307563,2,0
1567351475,2,0
1567366805,2,3
1567438807,2,1
1567453449,2,1
1567482496,3,0
1567526189,1,0
1567539604,1,4
1567569879,3,0
1567613653,1,0
1567626487,5,4
1567657697,4,0
1567701367,3,0
1567712405,4,2
1567745050,4,0
1567788736,2,0
1567799046,1,1
