DateTime,AddedIPs,RemovedIPs
1527934598,0,0
1527937330,0,0
1527944408,153,226
1527949472,0,0
1527978991,0,0
1527994352,0,0
1528030806,57,3131
1528117206,351,0
1528203606,270,0
1528290006,290,0
1528302008,0,0
1528318792,0,0
1528376408,216,0
1528462806,153,0
1528549205,218,0
1528635606,202,0
1528722006,241,0
1528808406,196,0
1528892889,274,253
1528894805,198,51
1528981206,219,237
1529067606,189,195
1529154006,253,162
1529240406,238,169
1529326805,280,135
1529413209,186,202
1529499607,151,195
1529586006,135,246
1529672407,185,188
1529758807,158,198
1529845218,164,205
1529931607,183,193
1529950326,230,257
1530018007,220,261
1530104434,171,221
1530190819,140,305
1530277208,152,188
1530363607,190,157
1530450008,165,137
1530536407,214,188
1530622822,180,162
1530711007,247,166
1530797428,216,192
1530883818,205,207
1530970207,186,176
1531056610,192,134
1531143007,196,161
1531230011,181,187
1531315807,201,173
1531402220,203,194
1531488607,131,185
1531575008,170,200
1531661434,240,197
1531747808,133,201
1531834208,181,191
1531920609,205,220
1532007022,146,205
1532093423,250,188
1532179807,165,241
1532266207,116,218
1532352608,185,145
1532409611,270,225
1532439020,182,175
1532525415,208,251
1532611822,154,140
1532698208,173,155
1532784609,225,201
1532871023,268,153
1532957407,528,200
1533043809,562,170
1533130209,462,124
1533216624,536,194
1533303018,555,185
1533389409,341,194
1533475808,281,153
1533562219,306,190
1533615615,317,238
1533648609,299,210
1533735008,328,257
1533821410,343,508
1533907811,318,571
1533994209,338,475
1534080609,291,544
1534167008,347,571
1534253409,283,298
1534339807,267,263
1534426208,239,288
1534512609,299,271
1534599022,424,316
1534685409,432,337
1534773609,341,331
1534860009,1952,319
1534941603,275,299
1534946435,617,286
1535032809,740,354
1535119209,1626,291
1535205610,2252,239
1535292009,1118,208
1535378410,493,301
1535464809,486,367
1535551209,691,413
1535637609,597,302
1535692576,204,286
1535724011,529,789
1535810409,507,673
1535896810,486,728
1535983210,529,1562
1536069609,516,948
1536156005,260,9058
1536242405,1571,0
1536328805,822,0
1536415205,611,0
1536501606,627,0
1536588008,680,0
1536674407,651,0
1536760806,671,0
1536847206,731,0
1536914890,207,246
1536933606,645,0
1537020007,572,236
1537106406,563,1269
1537192807,701,622
1537279206,1982,472
1537365607,767,562
1537452007,884,645
1537538406,914,651
1537624806,758,633
1537711206,296,9290
1537797605,1303,0
1537884006,1459,0
1537970405,1125,0
1538056806,1300,0
1538143205,1136,0
1538154251,227,221
1538229605,936,0
1538316007,827,0
1538402416,892,0
1538488806,693,0
1538575206,570,295
1538661607,534,1039
1538748007,548,1246
1538834407,519,948
1538920813,485,1192
1539007207,422,1084
1539093609,517,928
1539180007,902,816
1539266407,911,867
1539352820,754,721
1539362170,205,207
1539439207,664,587
1539525607,657,549
1539612007,729,561
1539698419,1068,551
1539784808,928,471
1539871208,647,391
1539957608,547,523
1540044007,537,883
1540130419,589,900
1540216807,588,743
1540303208,1079,687
1540389608,667,642
1540476046,541,755
1540562423,665,792
1540570329,180,180
1540648808,720,941
1540735209,591,645
1540821614,601,524
1540908008,668,558
1540994411,585,607
1541080809,663,597
1541167220,606,1336
1541253624,464,656
1541340008,467,553
1541426408,469,658
1541512808,485,734
1541599209,456,625
1541685608,445,598
1541772045,432,676
1541858419,836,610
1541944810,567,688
1542031209,451,632
1542117609,321,467
1542204035,306,487
1542290408,641,496
1542353284,236,212
1542376809,469,493
1542463223,385,453
1542549609,329,428
1542636009,361,429
1542722413,364,849
1542808821,348,574
1542895210,1083,469
1542981610,761,330
1543068009,239,325
1543154422,339,642
1543240820,253,473
1543327210,285,384
1543337528,255,230
1543413609,328,350
1543500026,420,376
1543586418,342,358
1543672834,428,351
1543759210,277,1023
1543845610,255,790
1543932009,230,254
1544018410,220,302
1544104810,286,202
1544191210,225,292
1544277610,269,317
1544364022,196,431
