DateTime,AddedIPs,RemovedIPs
1566874884,42,20
1566876739,24,17
1566878918,46,25
1566880809,37,19
1566882759,28,19
1566884666,32,22
1566886603,22,18
1566888760,30,36
1566890671,34,25
1566892843,47,39
1566894756,21,27
1566896659,31,27
1566898597,27,38
1566900761,26,1731
1566902656,56,44
1566904825,813,1
1566906755,56,18
1566908655,47,21
1566910831,56,36
1566912743,29,21
1566914657,45,28
1566916835,43,41
1566919000,30,28
1566920895,21,34
1566922835,30,43
1566924749,32,30
1566926678,23,35
1566928581,30,34
1566930493,30,28
1566932430,33,45
1566934359,28,38
1566936258,37,41
1566938186,30,43
1566940104,26,50
1566942031,37,29
1566943939,27,32
1566945858,31,40
1566947803,666,0
1566949957,25,18
1566951856,31,19
1566953771,37,28
1566955698,16,22
1566957641,26,25
1566959560,37,32
1566961466,24,17
1566963389,47,29
1566965558,28,26
1566967454,26,30
1566969616,40,33
1566971532,30,26
1566973456,33,23
1566975392,29,40
1566977300,25,26
1566979483,32,45
1566981390,34,39
1566983312,23,42
1566985217,44,27
1566987160,32,1483
1566989317,68,43
1566991209,760,0
1566993157,51,28
1566995068,36,24
1566997241,41,34
1566999139,18,24
1567001324,42,36
1567003239,44,40
1567005159,10,23
1567007052,49,29
1567008997,44,29
1567010916,32,36
1567012815,26,40
1567014752,15,25
1567016669,22,21
1567018571,26,33
1567020758,33,37
1567022916,45,47
1567024825,24,27
1567026756,22,32
1567028667,23,27
1567030815,29,29
1567032732,24,40
1567034671,642,0
1567036592,22,28
1567038762,48,23
1567040661,34,23
1567042590,35,31
1567044491,29,26
1567046440,48,37
1567048581,41,26
1567050760,33,32
1567052651,20,21
1567054572,30,35
1567056513,24,29
1567058457,33,33
1567060385,16,22
1567062524,19,35
1567064414,21,32
1567066359,22,39
1567068261,20,23
1567070184,28,32
1567072101,17,22
1567074040,25,1569
1567075935,67,61
1567077853,737,0
1567079779,40,31
1567081711,33,27
1567083669,36,36
1567085812,28,16
1567087717,29,19
1567089636,26,40
1567091538,26,23
1567093478,29,29
1567095406,29,34
1567097297,18,29
1567099213,19,41
1567101155,19,27
1567103051,18,22
1567104992,17,30
1567107137,94,0
1567109078,14,25
1567110990,16,25
1567112924,11,30
1567114815,24,31
1567116985,22,34
1567118913,15,25
1567121057,36,37
1567122991,17,36
1567124894,32,48
1567126828,641,0
1567128760,27,21
1567130656,19,21
1567132594,31,23
1567134767,24,26
1567136667,20,12
1567138582,24,22
1567140520,23,33
1567142682,34,23
1567144571,26,30
1567146774,23,36
1567148652,29,32
1567150580,38,31
1567152779,55,29
1567154660,39,18
1567156600,43,31
1567158751,23,35
1567160915,19,33
1567162829,20,27
1567164736,17,34
1567166668,13,1455
1567168833,51,53
1567170762,660,1
1567172671,31,20
1567174576,38,24
1567176521,45,31
1567178432,72,41
1567180344,63,12
1567182252,32,35
1567184217,28,45
1567186092,22,30
1567188045,22,32
1567189958,19,22
1567191856,28,29
1567193788,40,30
1567195959,18,29
1567197873,23,24
1567199801,27,19
1567201697,23,30
1567203639,30,32
1567205570,22,21
1567207461,22,22
1567209390,18,31
1567211293,40,25
1567213240,581,0
1567215163,24,18
1567217325,28,18
1567219229,36,30
1567221140,25,37
1567223074,46,14
1567225218,29,37
1567227135,15,35
1567229073,13,29
1567230975,17,25
1567232893,44,24
1567234843,56,28
1567236742,29,27
1567238666,25,22
1567240587,33,21
1567242499,36,14
1567244440,30,28
1567246361,37,29
1567248257,33,23
1567250206,52,24
1567252115,29,19
1567254030,43,1338
1567255954,50,32
1567257851,660,0
1567260039,43,36
1567261941,38,24
1567263935,80,29
1567266108,48,20
1567267949,23,25
1567269868,19,22
1567272032,29,32
1567273947,35,32
1567275871,27,20
1567277772,24,27
1567279709,25,35
1567281661,28,54
1567283557,25,36
1567285453,11,50
1567287372,18,27
1567289317,12,117
1567291213,17,20
1567293386,29,19
1567295297,24,15
1567297226,34,21
1567299134,26,29
1567301055,571,1
1567302972,25,27
1567304896,29,22
1567306841,24,23
1567308983,23,21
1567311143,26,20
1567313057,25,16
1567315223,32,32
1567317153,21,30
1567319054,23,16
1567321243,34,35
1567323157,28,25
1567325304,25,51
1567327231,14,48
1567329386,30,44
1567331313,19,20
1567333461,20,17
1567335370,23,13
1567337292,11,22
1567339240,28,1398
1567341157,33,42
1567343325,755,0
1567345214,34,23
1567347141,31,16
1567349074,20,33
1567350982,25,27
1567353160,30,58
1567355050,13,22
1567356970,23,19
1567358908,19,20
1567360841,25,17
1567362755,17,50
1567364652,26,46
1567366589,20,35
1567368514,15,25
1567370426,31,33
1567372335,16,36
1567374270,12,29
1567376174,13,39
1567378098,14,38
1567380012,17,47
1567381952,26,32
1567383853,30,39
1567385789,46,32
1567387693,696,0
1567389641,36,18
1567391558,24,32
1567393464,26,20
1567395373,29,41
1567397317,29,29
1567399213,24,17
1567401135,18,14
1567403074,17,14
1567404979,37,26
1567406896,16,56
1567408830,42,38
1567410756,28,27
1567412653,44,27
1567414574,37,27
1567416514,39,31
1567418450,57,35
1567420361,30,36
1567422284,19,43
1567424192,26,32
1567426122,19,1266
1567428016,52,32
1567429941,611,0
1567431854,19,29
1567433779,53,37
1567435694,31,19
1567437632,27,25
1567439532,29,21
1567441523,47,23
1567443394,53,30
1567445294,59,23
1567447226,37,33
1567449155,37,30
1567451052,35,18
1567452971,25,29
1567454894,30,22
1567456814,28,15
1567458758,25,32
1567460650,21,25
1567462573,32,21
1567464760,33,27
1567466653,63,17
1567468591,63,22
1567470494,35,21
1567472506,511,0
1567474360,34,22
1567476268,22,26
1567478175,26,24
1567480096,38,17
1567482034,34,17
1567483937,10,28
1567485855,15,19
1567487783,31,25
1567489960,33,30
1567491853,28,22
1567493791,36,29
1567495694,33,20
1567497629,39,22
1567499555,24,13
1567501457,39,20
1567503369,26,27
1567505292,23,21
1567507228,34,19
1567509133,30,21
1567511077,24,19
1567512975,20,1210
1567514957,29,40
1567517075,747,0
1567518990,42,50
1567520891,31,18
1567522823,35,26
1567524781,21,23
1567526678,27,40
1567528594,32,27
1567530504,28,13
1567532429,24,21
1567534353,22,23
1567536251,51,23
1567538202,31,40
1567540092,22,32
1567542030,32,53
1567544171,46,34
1567546091,44,37
1567548030,13,56
1567549959,18,33
1567551864,17,24
1567553775,28,22
1567555722,37,16
1567557633,34,35
1567559534,627,0
1567561478,20,32
1567563382,27,27
1567565546,38,18
1567567456,28,22
1567569395,30,39
1567571316,33,20
1567573240,25,13
1567575139,26,9
1567577080,24,27
1567578972,36,22
1567581161,30,32
1567583049,17,32
1567585003,16,47
1567586916,25,27
1567589055,32,38
1567591244,27,50
1567593403,19,31
1567595324,25,21
1567597208,33,21
1567599385,23,1571
1567601295,62,21
1567603478,702,0
1567605390,45,36
1567607546,30,27
1567609725,28,43
1567611637,24,33
1567613650,15,11
1567615565,24,20
1567617639,20,33
1567619532,25,27
1567621452,17,29
1567623370,21,36
1567625540,60,33
1567627465,41,39
1567629390,20,37
1567631315,20,39
1567633210,22,32
1567635135,19,28
1567637077,16,29
1567639007,23,36
1567640894,27,25
1567642834,52,25
1567644732,18,18
1567646654,611,0
1567648591,29,32
1567650497,30,22
1567652438,33,28
1567654361,26,33
1567656277,19,10
1567658172,38,19
1567660359,26,25
1567662272,29,24
1567664186,28,31
1567666094,29,27
1567668049,32,35
1567669957,15,29
1567671851,20,28
1567673768,26,44
1567675687,20,29
1567677631,35,30
1567679554,30,28
1567681474,20,26
1567683369,32,31
1567685317,32,1368
1567687215,67,40
1567689160,689,0
1567691068,33,24
1567692978,37,28
1567695141,27,32
1567697049,18,29
1567698990,21,34
1567700884,23,28
1567702823,26,28
1567704732,33,22
1567706652,20,28
1567708835,24,42
1567710730,18,26
1567712655,34,26
1567714588,33,22
1567716490,22,24
1567718408,22,33
1567720327,19,32
1567722270,23,19
1567724179,25,22
1567726091,23,26
1567728042,28,34
1567729935,38,32
1567732120,590,0
1567734011,34,22
1567735934,28,24
1567737873,35,18
1567739785,23,36
1567741692,20,27
1567743638,18,30
1567745793,15,24
1567747710,23,21
1567749636,36,28
1567751539,30,29
1567753456,30,23
1567755389,29,25
1567757320,39,19
1567759231,36,23
1567761134,27,28
1567763298,52,32
1567765453,39,23
1567767368,41,20
1567769293,22,24
1567771240,34,1321
1567773138,41,44
1567775079,683,0
1567776990,23,30
1567778919,30,19
1567780811,36,33
1567783000,30,24
1567784895,23,20
1567786828,23,27
1567788735,14,34
1567790670,24,32
1567792568,29,29
1567794758,22,29
1567796681,24,37
1567798571,18,31
1567800758,22,19
1567802650,21,24
1567804574,35,21
1567806511,38,29
1567808437,24,34
1567810339,30,22
1567812250,25,30
1567814165,22,31
1567816085,34,46
1567818259,598,0
1567820168,33,28
1567822116,32,16
1567824014,32,30
1567825933,34,18
1567827867,34,23
1567829787,37,21
1567831958,40,34
1567833849,29,28
1567835789,45,24
1567837689,37,23
1567839667,45,40
1567841561,40,24
1567843485,29,18
1567845394,50,20
1567847294,37,22
1567849236,47,28
1567851401,40,32
