DateTime,Entries,UniqueIPs
1566874884,3401,3401
1566876739,3408,3408
1566878918,3429,3429
1566880809,3447,3447
1566882759,3456,3456
1566884666,3466,3466
1566886603,3470,3470
1566888760,3464,3464
1566890671,3473,3473
1566892843,3481,3481
1566894756,3475,3475
1566896659,3479,3479
1566898597,3468,3468
1566900761,1763,1763
1566902656,1775,1775
1566904825,2587,2587
1566906755,2625,2625
1566908655,2651,2651
1566910831,2671,2671
1566912743,2679,2679
1566914657,2696,2696
1566916835,2698,2698
1566919000,2700,2700
1566920895,2687,2687
1566922835,2674,2674
1566924749,2676,2676
1566926678,2664,2664
1566928581,2660,2660
1566930493,2662,2662
1566932430,2650,2650
1566934359,2640,2640
1566936258,2636,2636
1566938186,2623,2623
1566940104,2599,2599
1566942031,2607,2607
1566943939,2602,2602
1566945858,2593,2593
1566947803,3259,3259
1566949957,3266,3266
1566951856,3278,3278
1566953771,3287,3287
1566955698,3281,3281
1566957641,3282,3282
1566959560,3287,3287
1566961466,3294,3294
1566963389,3312,3312
1566965558,3314,3314
1566967454,3310,3310
1566969616,3317,3317
1566971532,3321,3321
1566973456,3331,3331
1566975392,3320,3320
1566977300,3319,3319
1566979483,3306,3306
1566981390,3301,3301
1566983312,3282,3282
1566985217,3299,3299
1566987160,1848,1848
1566989317,1873,1873
1566991209,2633,2633
1566993157,2656,2656
1566995068,2668,2668
1566997241,2675,2675
1566999139,2669,2669
1567001324,2675,2675
1567003239,2679,2679
1567005159,2666,2666
1567007052,2686,2686
1567008997,2701,2701
1567010916,2697,2697
1567012815,2683,2683
1567014752,2673,2673
1567016669,2674,2674
1567018571,2667,2667
1567020758,2663,2663
1567022916,2661,2661
1567024825,2658,2658
1567026756,2648,2648
1567028667,2644,2644
1567030815,2644,2644
1567032732,2628,2628
1567034671,3270,3270
1567036592,3264,3264
1567038762,3289,3289
1567040661,3300,3300
1567042590,3304,3304
1567044491,3307,3307
1567046440,3318,3318
1567048581,3333,3333
1567050760,3334,3334
1567052651,3333,3333
1567054572,3328,3328
1567056513,3323,3323
1567058457,3323,3323
1567060385,3317,3317
1567062524,3301,3301
1567064414,3290,3290
1567066359,3273,3273
1567068261,3270,3270
1567070184,3266,3266
1567072101,3261,3261
1567074040,1717,1717
1567075935,1723,1723
1567077853,2460,2460
1567079779,2469,2469
1567081711,2475,2475
1567083669,2475,2475
1567085812,2487,2487
1567087717,2497,2497
1567089636,2483,2483
1567091538,2486,2486
1567093478,2486,2486
1567095406,2481,2481
1567097297,2470,2470
1567099213,2448,2448
1567101155,2440,2440
1567103051,2436,2436
1567104992,2423,2423
1567107137,2517,2517
1567109078,2506,2506
1567110990,2497,2497
1567112924,2478,2478
1567114815,2471,2471
1567116985,2459,2459
1567118913,2449,2449
1567121057,2448,2448
1567122991,2429,2429
1567124894,2413,2413
1567126828,3054,3054
1567128760,3060,3060
1567130656,3058,3058
1567132594,3066,3066
1567134767,3064,3064
1567136667,3072,3072
1567138582,3074,3074
1567140520,3064,3064
1567142682,3075,3075
1567144571,3071,3071
1567146774,3058,3058
1567148652,3055,3055
1567150580,3062,3062
1567152779,3088,3088
1567154660,3109,3109
1567156600,3121,3121
1567158751,3109,3109
1567160915,3095,3095
1567162829,3088,3088
1567164736,3071,3071
1567166668,1629,1629
1567168833,1627,1627
1567170762,2286,2286
1567172671,2297,2297
1567174576,2311,2311
1567176521,2325,2325
1567178432,2356,2356
1567180344,2407,2407
1567182252,2404,2404
1567184217,2387,2387
1567186092,2379,2379
1567188045,2369,2369
1567189958,2366,2366
1567191856,2365,2365
1567193788,2375,2375
1567195959,2364,2364
1567197873,2363,2363
1567199801,2371,2371
1567201697,2364,2364
1567203639,2362,2362
1567205570,2363,2363
1567207461,2363,2363
1567209390,2350,2350
1567211293,2365,2365
1567213240,2946,2946
1567215163,2952,2952
1567217325,2962,2962
1567219229,2968,2968
1567221140,2956,2956
1567223074,2988,2988
1567225218,2980,2980
1567227135,2960,2960
1567229073,2944,2944
1567230975,2936,2936
1567232893,2956,2956
1567234843,2984,2984
1567236742,2986,2986
1567238666,2989,2989
1567240587,3001,3001
1567242499,3023,3023
1567244440,3025,3025
1567246361,3033,3033
1567248257,3043,3043
1567250206,3071,3071
1567252115,3081,3081
1567254030,1786,1786
1567255954,1804,1804
1567257851,2464,2464
1567260039,2471,2471
1567261941,2485,2485
1567263935,2536,2536
1567266108,2564,2564
1567267949,2562,2562
1567269868,2559,2559
1567272032,2556,2556
1567273947,2559,2559
1567275871,2566,2566
1567277772,2563,2563
1567279709,2553,2553
1567281661,2527,2527
1567283557,2516,2516
1567285453,2477,2477
1567287372,2468,2468
1567289317,2363,2363
1567291213,2360,2360
1567293386,2370,2370
1567295297,2379,2379
1567297226,2392,2392
1567299134,2389,2389
1567301055,2959,2959
1567302972,2957,2957
1567304896,2964,2964
1567306841,2965,2965
1567308983,2967,2967
1567311143,2973,2973
1567313057,2982,2982
1567315223,2982,2982
1567317153,2973,2973
1567319054,2980,2980
1567321243,2979,2979
1567323157,2982,2982
1567325304,2956,2956
1567327231,2922,2922
1567329386,2908,2908
1567331313,2907,2907
1567333461,2910,2910
1567335370,2920,2920
1567337292,2909,2909
1567339240,1539,1539
1567341157,1530,1530
1567343325,2285,2285
1567345214,2296,2296
1567347141,2311,2311
1567349074,2298,2298
1567350982,2296,2296
1567353160,2268,2268
1567355050,2259,2259
1567356970,2263,2263
1567358908,2262,2262
1567360841,2270,2270
1567362755,2237,2237
1567364652,2217,2217
1567366589,2202,2202
1567368514,2192,2192
1567370426,2190,2190
1567372335,2170,2170
1567374270,2153,2153
1567376174,2127,2127
1567378098,2103,2103
1567380012,2073,2073
1567381952,2067,2067
1567383853,2058,2058
1567385789,2072,2072
1567387693,2768,2768
1567389641,2786,2786
1567391558,2778,2778
1567393464,2784,2784
1567395373,2772,2772
1567397317,2772,2772
1567399213,2779,2779
1567401135,2783,2783
1567403074,2786,2786
1567404979,2797,2797
1567406896,2757,2757
1567408830,2761,2761
1567410756,2762,2762
1567412653,2779,2779
1567414574,2789,2789
1567416514,2797,2797
1567418450,2819,2819
1567420361,2813,2813
1567422284,2789,2789
1567424192,2783,2783
1567426122,1536,1536
1567428016,1556,1556
1567429941,2167,2167
1567431854,2157,2157
1567433779,2173,2173
1567435694,2185,2185
1567437632,2187,2187
1567439532,2195,2195
1567441523,2219,2219
1567443394,2242,2242
1567445294,2278,2278
1567447226,2282,2282
1567449155,2289,2289
1567451052,2306,2306
1567452971,2302,2302
1567454894,2310,2310
1567456814,2323,2323
1567458758,2316,2316
1567460650,2312,2312
1567462573,2323,2323
1567464760,2329,2329
1567466653,2375,2375
1567468591,2416,2416
1567470494,2430,2430
1567472506,2941,2941
1567474360,2953,2953
1567476268,2949,2949
1567478175,2951,2951
1567480096,2972,2972
1567482034,2989,2989
1567483937,2971,2971
1567485855,2967,2967
1567487783,2973,2973
1567489960,2976,2976
1567491853,2982,2982
1567493791,2989,2989
1567495694,3002,3002
1567497629,3019,3019
1567499555,3030,3030
1567501457,3049,3049
1567503369,3048,3048
1567505292,3050,3050
1567507228,3065,3065
1567509133,3074,3074
1567511077,3079,3079
1567512975,1889,1889
1567514957,1878,1878
1567517075,2625,2625
1567518990,2617,2617
1567520891,2630,2630
1567522823,2639,2639
1567524781,2637,2637
1567526678,2624,2624
1567528594,2629,2629
1567530504,2644,2644
1567532429,2647,2647
1567534353,2646,2646
1567536251,2674,2674
1567538202,2665,2665
1567540092,2655,2655
1567542030,2634,2634
1567544171,2646,2646
1567546091,2653,2653
1567548030,2610,2610
1567549959,2595,2595
1567551864,2588,2588
1567553775,2594,2594
1567555722,2615,2615
1567557633,2614,2614
1567559534,3241,3241
1567561478,3229,3229
1567563382,3229,3229
1567565546,3249,3249
1567567456,3255,3255
1567569395,3246,3246
1567571316,3259,3259
1567573240,3271,3271
1567575139,3288,3288
1567577080,3285,3285
1567578972,3299,3299
1567581161,3297,3297
1567583049,3282,3282
1567585003,3251,3251
1567586916,3249,3249
1567589055,3243,3243
1567591244,3220,3220
1567593403,3208,3208
1567595324,3212,3212
1567597208,3224,3224
1567599385,1676,1676
1567601295,1717,1717
1567603478,2419,2419
1567605390,2428,2428
1567607546,2431,2431
1567609725,2416,2416
1567611637,2407,2407
1567613650,2411,2411
1567615565,2415,2415
1567617639,2402,2402
1567619532,2400,2400
1567621452,2388,2388
1567623370,2373,2373
1567625540,2400,2400
1567627465,2402,2402
1567629390,2385,2385
1567631315,2366,2366
1567633210,2356,2356
1567635135,2347,2347
1567637077,2334,2334
1567639007,2321,2321
1567640894,2323,2323
1567642834,2350,2350
1567644732,2350,2350
1567646654,2961,2961
1567648591,2958,2958
1567650497,2966,2966
1567652438,2971,2971
1567654361,2964,2964
1567656277,2973,2973
1567658172,2992,2992
1567660359,2993,2993
1567662272,2998,2998
1567664186,2995,2995
1567666094,2997,2997
1567668049,2994,2994
1567669957,2980,2980
1567671851,2972,2972
1567673768,2954,2954
1567675687,2945,2945
1567677631,2950,2950
1567679554,2952,2952
1567681474,2946,2946
1567683369,2947,2947
1567685317,1611,1611
1567687215,1638,1638
1567689160,2327,2327
1567691068,2336,2336
1567692978,2345,2345
1567695141,2340,2340
1567697049,2329,2329
1567698990,2316,2316
1567700884,2311,2311
1567702823,2309,2309
1567704732,2320,2320
1567706652,2312,2312
1567708835,2294,2294
1567710730,2286,2286
1567712655,2294,2294
1567714588,2305,2305
1567716490,2303,2303
1567718408,2292,2292
1567720327,2279,2279
1567722270,2283,2283
1567724179,2286,2286
1567726091,2283,2283
1567728042,2277,2277
1567729935,2283,2283
1567732120,2873,2873
1567734011,2885,2885
1567735934,2889,2889
1567737873,2906,2906
1567739785,2893,2893
1567741692,2886,2886
1567743638,2874,2874
1567745793,2865,2865
1567747710,2867,2867
1567749636,2875,2875
1567751539,2876,2876
1567753456,2883,2883
1567755389,2887,2887
1567757320,2907,2907
1567759231,2920,2920
1567761134,2919,2919
1567763298,2939,2939
1567765453,2955,2955
1567767368,2976,2976
1567769293,2974,2974
1567771240,1687,1687
1567773138,1684,1684
1567775079,2367,2367
1567776990,2360,2360
1567778919,2371,2371
1567780811,2374,2374
1567783000,2380,2380
1567784895,2383,2383
1567786828,2379,2379
1567788735,2359,2359
1567790670,2351,2351
1567792568,2351,2351
1567794758,2344,2344
1567796681,2331,2331
1567798571,2318,2318
1567800758,2321,2321
1567802650,2318,2318
1567804574,2332,2332
1567806511,2341,2341
1567808437,2331,2331
1567810339,2339,2339
1567812250,2334,2334
1567814165,2325,2325
1567816085,2313,2313
1567818259,2911,2911
1567820168,2916,2916
1567822116,2932,2932
1567824014,2934,2934
1567825933,2950,2950
1567827867,2961,2961
1567829787,2977,2977
1567831958,2983,2983
1567833849,2984,2984
1567835789,3005,3005
1567837689,3019,3019
1567839667,3024,3024
1567841561,3040,3040
1567843485,3051,3051
1567845394,3081,3081
1567847294,3096,3096
1567849236,3115,3115
1567851401,3123,3123
