DateTime,AddedIPs,RemovedIPs
1560415943,8,1
1560430568,12,1
1560445451,5,1
1560460092,6,1
1560474976,7,0
1560489607,7,3
1560504260,7,0
1560518899,7,1
1560533537,7,1
1560548174,8,8
1560563051,8,11
1560577695,4,2
1560592339,10,1
1560606968,3,0
1560621625,7,2
1560636250,5,1
1560650889,6,0
1560665531,6,2
1560680165,3,3
1560694806,4,1
1560709451,7,1
1560724092,9,0
1560738753,10,2
1560753371,8,0
1560768010,3,1
1560782652,18,1
1560797287,3,0
1560811951,9,0
1560826565,8,3
1560841212,1,0
1560855847,5,1
1560870488,7,1
1560885127,5,2
1560900031,5,1
1560914651,5,0
1560929314,1,2
1560943927,2,0
1560958570,18,0
1560973231,20,3
1560987858,7,2
1561002495,8,2
1561017150,10,2
1561032037,4,3
1561046667,3,0
1561061316,7,2
1561075927,15,1
1561090593,8,0
1561105242,7,1
1561119853,4,1
1561134487,9,2
1561149154,9,1
1561163788,9,1
1561178406,8,4
1561193071,10,1
1561207691,5,0
1561222326,7,2
1561236987,9,2
1561251616,6,1
1561266251,4,1
1561280915,9,0
1561295531,5,0
1561310190,5,0
1561324826,6,0
1561339453,4,0
1561354095,6,1
1561368736,2,2
1561383365,3,0
1561398030,3,0
1561412671,2,0
1561427290,4,1
1561441930,3,0
1561456567,1,0
1561471215,2,0
1561485871,3,2
1561500510,1,0
1561515128,6,0
1561529769,2,0
1561544405,1,1
1561559053,5,1
1561573695,4,0
1561589340,5,1
1561604194,1,1
1561618839,3,1
1561633715,3,2
1561648330,1,14
1561662968,0,4
1561677606,2,5
1561692251,4,2
1561706911,3,5
1561721534,2,6
1561736178,1,3
1561750831,4,3
1561765450,3,4
1561780086,7,5
1561794740,2,0
1561809365,3,4
1561824026,5,2
1561838670,2,2
1561853286,3,10
1561867936,1,4
1561882570,1,7
1561897219,1,7
1561911851,1,6
1561926755,4,4
1561941395,0,3
1561956032,4,4
1561970650,0,4
1561985554,5,7
1562000166,9,4
1562014813,1,5
1562029470,1,7
1562044089,5,2
1562058729,2,2
1562073394,3,6
1562088009,2,2
1562102648,1,1
1562117537,1,2
1562132168,2,3
1562146804,5,7
1562161450,4,2
1562176087,13,2
1562190749,4,4
1562205385,2,9
1562220049,4,6
1562234915,1,1
1562249527,1,3
1562264165,5,8
1562278826,3,5
1562293450,4,7
1562308111,2,2
1562322748,7,0
1562337369,2,0
1562352009,1,0
1562366652,2,0
1562381309,1,1
1562395926,3,1
1562410584,5,0
1562439848,3,0
1562454511,0,1
1562469130,3,1
1562483770,1,0
1562498427,2,0
1562513050,5,0
1562527711,5,1
1562542343,1,1
1562571608,1,0
1562586265,3,1
1562600892,5,1
1562615545,2,0
1562630167,3,1
1562644835,2,1
1562659698,5,0
1562674327,4,0
1562689214,2,0
1562703848,1,0
1562733129,6,0
1562748019,1,1
1562762650,2,1
1562777306,8,1
1562791939,7,0
1562806568,3,3
1562821216,2,1
1562850486,9,14
1562865131,7,2
1562879771,7,0
1562894431,0,3
1562909136,4,1
1562952990,2,2
1562967606,3,0
1562996908,1,6
1563011528,1,0
1563026172,2,0
1563040811,3,0
1563055467,9,0
1563070108,9,2
1563084727,4,0
1563099384,3,1
1563114005,3,0
1563128646,3,0
1563143287,16,1
1563157946,1,0
1563172565,3,0
1563187208,21,1
1563201851,4,1
1563216492,6,2
1563231157,1,1
1563245782,4,2
1563260414,9,1
1563275051,13,3
1563289711,7,1
1563304330,5,2
1563318968,6,3
1563333626,5,1
1563348249,6,1
1563362893,18,1
1563377529,6,2
1563392166,4,0
1563406809,8,3
1563421471,3,3
1563436334,2,1
1563450991,17,1
1563465608,1,2
1563480252,7,2
1563494914,4,3
1563509529,3,3
1563524164,5,3
1563538819,10,3
1563553450,2,1
1563568330,2,2
1563582967,2,0
1563597606,8,0
1563612270,1,3
1563626891,11,2
1563641545,3,4
1563656182,4,2
1563670835,7,1
1563685710,11,2
1563700327,4,2
1563714965,8,3
1563729608,15,2
1563744251,2,1
1563758887,1,6
1563773554,5,5
1563788181,4,2
1563802808,3,1
1563817454,11,1
1563832087,8,2
1563846751,10,4
1563861383,1,2
1563876015,4,3
1563890672,3,4
1563905309,6,1
1563921396,8,1
1563936022,1,1
1563950665,4,1
1563965533,5,3
1563980166,13,3
1563994835,24,1
1564009712,7,1
1564024353,9,2
1564038971,6,2
1564053608,2,1
1564068250,5,2
1564083636,14,3
1564098248,14,5
1564112891,7,2
1564127547,1,1
1564142176,7,3
1564156834,8,13
1564171710,25,3
1564186328,5,1
1564200975,33,1
1564215623,56,2
1564230250,17,4
1564244890,13,2
1564259537,18,7
1564274169,9,3
1564288806,7,2
1564303468,9,2
1564318090,7,1
1564332731,17,2
