DateTime,AddedIPs,RemovedIPs
1523816405,36512,213
1523902944,213,17800
1523989806,17800,86352
1524076352,86352,66320
1524162807,78780,3416
1524249249,3424,66904
1524335772,66896,582
1524422267,590,5148
1524508805,5148,66928
1524595437,66928,66900
1524681955,66900,6569
1524768539,6569,134057
1524855044,134057,440
1524941506,440,106977
1525028080,106977,3028
1525114518,3028,2597
1525201085,2597,68216
1525287558,68216,66280
1525374013,66280,66412
1525460473,66412,65856
1525546950,65856,668
1525633395,668,74991
1525719845,74991,131904
1525806363,131904,1256
1525892866,1256,3405
1525979415,3405,5436
1526065871,5436,1145
1526152505,1145,1480
1526239167,0,0
1526325604,1480,66466
1526412260,66466,525785
1526498947,525785,68444
1526585466,68444,66800
1526672044,66800,2352
1526758514,2352,1769
1526845142,1769,197380
1526931607,197380,11125
1527018288,11125,1665
1527104758,1665,91704
1527191392,91704,132701
1527278039,132701,857
1527364450,857,66812
1527450909,66812,197693
1527537395,197693,1313008
1527623838,1313008,65935
1527710297,65935,131776
1527796754,131776,132761
1527883211,132761,1860
1527969668,1860,147904
1528056142,147904,66620
1528142639,66620,67493
1528229105,67493,65744
1528315736,65744,1393
1528402162,1393,68432
1528575133,68432,5778
1528661695,5778,3049
1528748108,3049,8632
1528834637,8632,2244
1528921160,2244,409
1529007605,409,132516
1529094228,132516,70489
1529180782,70489,716
1529267353,716,1393
1529353806,1393,8885
1529440304,8885,1408
1529526797,1408,67320
1529613261,67320,71814
1529699750,71814,77281
1529786185,77281,205992
1529872725,205992,132097
1529959166,132097,138132
1530045609,138132,7220
1530132082,7220,2112
1530218695,2112,66625
1530305110,66625,67376
1530391652,67376,67520
1530478215,67520,68128
1530564787,68128,66163
1530651310,66163,165845
1530824320,165845,66849
1530910761,66849,18544
1530997211,18544,4880
1531083672,4880,66284
1531170153,66284,1802
1531256603,1802,22176
1531343047,22176,137272
1531429564,137272,1324
1531516084,1324,2876
1531602560,2876,66196
1531689020,66196,19952
1531775478,19952,2708
1531861983,2708,194843
1531948512,194843,67350
1532035024,67606,69757
1532121544,69757,263205
1532208005,263205,3265
1532294478,3265,92329
1532380995,92329,1721
1532467505,1721,2704
1532554019,2704,66521
1532640435,66521,4988
1532727007,4988,34764
1532813543,34764,3216
1532900033,3216,74104
1533073152,74104,17960
1533159609,17960,73576
1533246180,73576,132229
1533332696,132229,67744
1533419149,67744,2332
1533505639,2332,1100
1533592093,1100,741
1533678603,741,66194
1533765312,66194,68453
1533851768,68453,1260
1533938252,1260,845
1534024737,845,136512
1534111152,136512,135532
1534456986,135532,1009
1534543464,1009,66269
1534629910,66269,1500
1534716402,1500,265088
1534802886,265088,68496
1534889417,68496,5416
1534975877,5416,133849
1535062392,133849,132641
1535148909,132641,66899
1535235429,66899,1712
1535408354,1712,134169
1535494808,134169,66636
1535581277,66636,151500
1535667744,151500,2312
1535754226,2312,1348
1535841017,1348,1337
1535927512,1337,164816
1536013979,164816,101480
1536100391,101480,749
1536186847,749,9456
1536273328,9456,937
1536359868,937,65706
1536446289,65706,4625
1536532749,4625,33385
1536619396,33385,132429
1536705901,132429,1311124
1536792416,1311124,34055
1536879016,34055,66548
1536965706,66548,1192
1537052167,1192,66532
1537138745,66532,71701
1537225269,71701,822
1537311793,822,137749
1537398268,137749,10462
1537484789,10462,812
1537571233,812,70080
1537657893,70080,344427
1537744332,344427,131972
1537830882,131972,9353
1537917306,9353,888
1538003797,888,1969
1538090226,1969,829
1538176808,829,2717
1538263377,2717,67424
1538349791,67424,67283
1538436308,67283,2824
1538523005,2824,4208
1538609473,4208,74016
1538696065,74016,16829
1538782805,16829,7204
1538869335,7204,3897
1538955908,3897,1629
1539042393,1629,1281
1539128839,1281,131865
1539215384,131865,1244
1539302082,1244,66164
1539388512,66164,66208
1539474994,66208,13356
1539561469,13356,65882
1539647979,65882,1768
1539734410,1768,131805
1539820876,131805,74629
1539907328,74629,10186
1539993826,10186,1790
1540080288,1790,76082
1540166712,76082,1082
1540253171,1082,66640
1540339629,66640,66488
1540426095,66488,1752
1540512553,1752,67184
1540599010,67184,9197
1540685469,9197,68215
1540771946,68215,66280
1540858504,66280,916
1540945027,916,140732
1541031556,140732,72948
1541118064,72948,612
1541204532,612,8030
1541290997,8030,195912
1541377590,195912,67253
1541464066,67253,3349
1541550607,3349,4981
1541637073,4981,68792
1541723654,68792,75145
1541810193,75145,34816
1541896627,34816,67282
1541983266,67282,68427
1542069813,68427,4140
1542156312,4140,1198
1542242770,1198,70525
1542329233,70525,72016
1542416110,72016,2345
1542589144,2345,1205
1542675668,1205,21489
1542762129,21489,2984
1542848590,2984,67284
1542935048,67284,12129
1543021508,12129,1297
1543107969,1297,14681
1543194428,14681,68246
1543280888,68246,66624
1543367349,66624,3864
1543453810,3864,2341
1543540265,2341,70740
1543626729,70732,2472
1543713189,2480,1118532
1543799648,1118532,148632
1543886107,148632,104340
1543972569,104340,141582
1544059028,141582,69988
1544145486,69988,76425
1544231948,76425,2022
1544318405,2022,2056
1544404868,2056,70312
1544491328,70312,2554
1544577844,2554,1513
1544664310,1513,2200
1544750768,2200,65674
1544837316,65674,77060
1544923769,77060,268
1545010205,268,5664
1545096670,5664,5702
1545183270,5702,132196
1545269710,132196,13489
1545356405,13489,12384
1545442919,12384,201829
1545529512,201829,1020596
1545616084,1020596,769
1545702616,769,198164
1545789163,198164,1600
1545875708,1600,5208
1545962170,5208,66866
1546048646,66866,135311
1546135110,135311,9989
1546221548,9989,17324
1546308010,17324,66255
1546394474,66255,197725
1546553713,197725,1361
1546640172,1361,4732
1546726691,4732,74708
1546813193,74708,852
1546899620,852,2385
1546986073,2385,133697
1547072587,133697,136924
1547159122,136924,231333
1547245807,231333,5833
1547332277,5833,67356
1547418740,67356,931
1547505272,931,66844
1547591715,66844,516
1547678168,516,132629
1547764667,132629,9252
1547851185,9252,5025
1547937605,5025,265393
1548024190,265393,26836
1548110704,26836,67828
1548197173,67828,132344
1548283628,132344,957
1548370270,957,87777
1548456784,87521,65800
1548543310,66056,2689
1548629792,2689,5544
1548716358,5544,2692
1548802819,2692,1072
1548889268,1072,1096
1548975784,1096,8096
1549062276,8096,67288
1549148722,67288,2549
1549235217,2549,198812
1549321640,198812,936
1549408092,936,3812
1549494547,3812,136243
1549581009,136243,66616
1549667483,66616,67845
1549753941,67845,131405
1549840459,131405,69769
1549926964,69769,13540
1550013484,13540,73693
1550099950,73693,9017
1550186407,9017,1113
1550272941,1113,67492
1550359493,67492,3016
1550445952,3016,132033
1550532498,132033,74812
1550618961,74812,1124
1550705409,1124,198328
1550791904,198328,69192
1550878386,69192,1568
1550965059,1568,66768
1551051526,66768,9296
1551138006,9296,133041
1551224596,133041,16608
1551311130,16608,11336
1551397629,11336,3653
1551484093,3653,2182
1551570913,2182,38980
1551657424,38980,74418
1551743944,74418,262508
1551830410,262508,69404
1551916879,69404,76366
1552003335,76366,706
1552089789,706,116296
1552176262,116296,880
1552262729,880,10789
1552349178,10789,850
1552435632,850,33640
1552522093,33640,2168
1552608550,2168,2232
1552695038,2232,4566
1552781488,4566,71121
1552867932,71121,1060
1552954445,1060,197288
1553040908,197288,66908
1553127391,66908,108060
1553213832,108060,2012
1553300344,2012,1050
1553386808,1050,6500
1553473324,6500,1308
1553559800,1308,132009
1553646251,132009,66928
1553732710,66928,1148
1553819176,1148,1077
1553905631,1077,67297
1553992090,67297,75129
1554078607,75129,67988
1554165389,67988,132572
