DateTime,AddedIPs,RemovedIPs
1524565806,279,0
1524652206,250,0
1524738606,286,0
1524825005,235,0
1524911406,241,103
1524997814,404,207
1525084210,219,254
1525170608,326,192
1525257006,181,166
1525343408,228,201
1525429806,351,240
1525516212,269,227
1525602607,212,249
1525689007,196,211
1525775408,236,222
1525861808,307,415
1525948208,334,240
1526034609,351,327
1526121009,325,186
1526207408,275,236
1526293813,223,360
1526387407,336,268
1526473807,321,218
1526560207,271,185
1526646608,356,248
1526733028,394,297
1526819407,228,325
1526905806,218,346
1526992206,195,319
1527078621,259,273
1527165006,291,256
1527253207,200,350
1527339655,314,356
1527426018,956,307
1527512408,214,395
1527598809,205,446
1527685207,204,240
1527771607,217,221
1527858008,180,191
1527944408,166,260
1528030806,60,3501
1528117206,439,0
1528203606,333,0
1528290006,335,0
1528376408,251,0
1528462806,184,0
1528549205,244,0
1528635606,217,0
1528722006,259,0
1528808406,217,0
1528894805,210,53
1528981206,239,263
1529067606,208,227
1529154006,287,184
1529240406,268,193
1529326805,300,162
1529413209,221,219
1529499607,192,212
1529586006,149,267
1529672407,203,207
1529758807,190,213
1529845218,192,245
1529931607,217,214
1530018007,252,298
1530104434,197,233
1530190819,177,317
1530277208,175,204
1530363607,221,180
1530450008,202,147
1530536407,231,212
1530622822,206,194
1530711007,273,200
1530797428,233,229
1530883818,229,229
1530970207,195,199
1531056610,211,166
1531143007,212,188
1531229408,207,211
1531315807,230,214
1531402220,226,210
1531488607,151,220
1531575008,183,220
1531661434,253,214
1531747808,153,220
1531834208,242,198
1531920609,228,235
1532007022,167,225
1532093423,269,214
1532179807,189,276
1532266207,125,249
1532352608,199,169
1532439020,205,197
1532525415,219,267
1532611822,169,159
1532698208,182,180
1532784609,244,217
1532871023,294,175
1532957407,542,222
1533043809,580,198
1533130209,468,140
1533216624,549,227
1533303018,571,212
1533389409,353,210
1533475808,301,172
1533562219,320,215
1533648609,309,224
1533735008,343,279
1533821410,351,524
1533907811,327,597
1533994209,354,490
1534080609,298,561
1534167008,366,595
1534253409,295,310
1534339807,284,276
1534426208,256,297
1534512609,316,279
1534599022,445,330
1534685409,442,347
1534773609,388,342
1534860009,2001,333
1534946435,636,293
1535032809,758,376
1535119209,1651,311
1535205610,2345,248
1535292009,1158,218
1535378410,505,312
1535464809,502,384
1535551209,712,430
1535637609,610,341
1535724011,536,815
1535810409,538,695
1535896810,501,744
1535983210,539,1570
1536069609,547,974
1536156005,263,9509
1536242405,1680,0
1536328805,865,0
1536415205,638,0
1536501606,645,0
1536588008,701,0
1536674407,663,0
1536760806,677,0
1536847206,749,0
1536933606,664,0
1537020007,603,240
1537106406,568,1315
1537192807,708,636
1537279206,2070,480
1537365607,790,574
1537452007,903,666
1537538406,945,670
1537624806,769,640
1537711206,298,9649
1537797605,1357,0
1537884006,1496,0
1537970405,1182,0
1538056806,1357,0
1538143205,1156,0
1538229605,960,0
1538316007,847,0
1538402416,914,0
1538488806,713,0
1538575206,578,297
1538661607,548,1058
1538748007,557,1262
1538834407,557,968
1538920813,521,1231
1539007207,486,1101
1539093609,534,950
1539180007,926,833
1539266407,931,879
1539352820,773,736
1539439207,689,593
1539525607,669,559
1539612007,749,572
1539698419,1126,602
1539784808,959,510
1539871208,665,449
1539957608,561,538
1540044007,542,905
1540130419,602,916
1540216807,596,770
1540303208,1141,705
1540389608,912,656
1540476046,580,778
1540562423,680,817
1540648808,727,973
1540735209,605,663
1540821614,614,537
1540908008,688,568
1540994411,606,623
1541080809,675,607
1541167220,620,1435
1541253624,479,919
1541340008,477,593
1541426408,486,674
1541512808,490,744
1541599209,469,636
1541685608,470,610
1541772045,452,692
1541858419,854,632
1541944810,579,705
1542031209,468,649
1542117609,340,485
1542204035,323,498
1542290408,662,513
1542376809,489,497
1542463223,396,463
1542549609,335,443
1542636009,365,447
1542722413,372,872
1542808821,365,585
1542895210,1100,501
1542981610,777,347
1543068009,250,339
1543154422,349,655
1543240820,262,487
1543327210,296,397
1543413609,339,358
1543500026,441,388
1543586418,369,371
1543672834,441,370
1543759210,288,1041
1543845610,260,805
1543932009,246,262
1544018410,228,313
1544104810,297,211
1544191210,229,303
1544277610,279,329
1544364022,212,449
1544450411,211,419
1544536810,238,455
1544623211,250,301
1544709610,279,268
1544796010,279,252
1544882410,251,228
1544968836,301,310
1545055224,231,235
1545141611,325,284
1545228011,298,227
1545314423,253,204
1545400810,194,251
1545487212,170,262
1545573623,199,288
1545660025,218,304
1545746411,222,259
1545832812,265,281
1545919211,262,235
1546005623,621,306
1546092147,946,317
1546178412,251,304
1546264826,164,198
1546351213,189,158
1546437611,705,204
1546524023,325,231
1546610411,258,224
1546696811,234,250
1546783211,394,220
1546869623,330,508
1546957818,666,851
1547046013,560,234
1547134231,510,160
1547222429,463,198
1547310613,393,715
1547398814,515,249
1547487011,379,211
1547575331,245,213
1547661612,89,302
1547748012,42,427
1547834412,78,620
1547920814,166,763
1548007212,262,544
1548093615,225,483
1548180018,171,538
1548266414,161,612
1548352812,105,396
1548439229,93,392
1548525628,91,91
1548612026,129,34
1548698428,155,48
1548784822,165,149
1548871228,116,230
1548957627,118,206
1549044025,127,137
1549130412,145,185
1549216813,106,104
1549303213,257,87
1549389612,151,90
1549476014,134,127
1549562413,121,126
1549648813,161,176
1549735215,115,113
1549823431,86,135
1549911619,147,137
1549998020,332,145
1550084433,511,105
1550170822,727,245
1550257219,692,123
1550343624,683,125
1550430012,332,125
1550516412,138,158
1550602828,147,122
1550689212,207,83
1550775613,169,144
1550862014,157,291
1550948414,153,479
1551034828,58,728
1551121212,61,695
1551207625,58,737
1551294013,54,390
1551380412,61,144
1551466827,56,152
1551553213,145,223
1551639612,80,199
1551726013,74,144
1551812412,60,153
1551898812,79,72
1551985214,100,76
1552071613,108,81
1552158027,86,81
1552244414,83,65
1552330823,64,54
1552417213,97,123
1552503613,63,80
1552590013,69,76
1552676413,87,65
1552762815,56,75
1552849213,40,115
1552935613,58,133
1553022014,138,93
1553108471,125,119
1553194815,100,67
1553281216,98,118
1553367612,115,70
1553454028,48,63
1553540413,52,77
1553626845,95,42
1553713215,107,45
1553799613,111,62
1553886014,74,130
1553972414,84,125
1554058835,83,97
1554145213,100,90
1554231613,92,124
1554318014,116,56
1554404415,137,56
1554490814,106,106
1554577213,98,126
1554663616,112,116
1554750018,158,73
1554836413,122,86
1554922815,117,90
1555009217,115,104
1555095614,100,101
1555182025,74,114
1555268440,120,135
1555354815,119,105
1555441214,139,95
1555527614,93,106
1555614014,99,160
1555700413,74,124
1555786813,66,113
1555873213,86,112
1555959614,95,110
1556046022,109,86
1556132414,125,122
1556218813,123,120
1556305213,104,139
1556393414,125,96
1556481614,130,101
1556569815,89,66
1556658014,113,64
1556746213,164,85
1556834413,130,102
1556922614,102,118
1557010813,75,103
1557099013,96,127
1557185831,789,92
1557273765,3158,126
1557361814,1398,123
1557450013,95,94
1557538214,83,144
1557626413,79,169
1557714616,79,125
1557802823,70,93
1557891014,58,72
1557979214,66,96
1558067413,88,712
1558155614,101,3623
1558243815,58,1018
1558332014,65,89
1558420214,90,72
1558508414,76,75
1558596614,53,101
1558684828,65,75
1558773013,67,68
1558861214,60,73
1558949482,60,87
1559037615,165,88
1559125816,69,67
1559214015,110,63
1559302228,178,83
1559390414,109,70
1559478614,99,55
1559565030,104,72
1559651415,77,64
1559737815,80,66
1559824214,54,124
1559910622,53,70
1559997014,50,64
1560083415,47,111
1560169814,65,210
1560256215,55,107
1560342614,55,95
1560429016,66,105
1560515414,48,83
1560601814,86,76
1560688215,68,51
1560774615,70,61
1560861015,85,52
1560947415,72,61
1561033816,113,75
1561120214,101,60
1561206614,59,62
1561293015,76,69
1561379414,47,49
1561465815,36,87
1561552214,42,62
1561638614,42,55
1561725014,50,72
1561811415,48,68
1561897814,50,118
1561984214,60,100
1562070615,54,58
1562157015,47,65
1562243414,40,48
1562329815,51,33
1562416215,62,49
1562502616,71,59
1562589016,62,55
1562675415,79,49
1562761814,66,50
