DateTime,AddedIPs,RemovedIPs
1567389616,216,320
1567390551,190,291
1567391417,257,251
1567392316,272,217
1567393217,259,236
1567394116,284,242
1567395017,268,202
1567395918,391,377
1567396822,302,293
1567397720,318,266
1567398616,290,366
1567399518,341,274
1567400417,300,402
1567401318,361,298
1567402219,338,283
1567403119,515,280
1567404918,548,605
1567405820,317,379
1567406723,525,300
1567407621,381,54
1567408518,154,14
1567409421,121,3
1567410318,132,0
1567411216,178,3
1567412117,326,10
1567413017,283,20
1567413918,208,12
1567414819,339,10
1567415719,201,13
1567416615,138,1
1567417517,160,12
1567418418,136,45
1567419315,185,41
1567420219,171,4
1567421116,120,34
1567422014,236,53
1567422915,189,15
1567423814,165,20
1567424715,222,33
1567425614,205,60
1567426513,235,45
1567427414,176,67
1567428317,158,65
1567429212,215,102
1567430112,176,166
1567431015,196,144
1567431913,175,109
1567432813,176,123
1567433713,199,163
1567434613,158,305
1567435514,164,261
1567436411,241,192
1567437311,211,308
1567438210,240,180
1567439111,263,112
1567440010,255,123
1567440909,248,97
1567441807,142,153
1567442708,181,118
1567443605,238,99
1567444506,226,178
1567445405,180,140
1567446305,227,131
1567447205,349,341
1567448104,434,329
1567449003,194,399
1567449903,162,354
1567450802,203,454
1567451701,186,362
1567452602,151,138
1567453501,161,154
1567454401,214,136
1567455302,3263,57
1567456202,1011,94
1567457102,249,87
1567458004,269,63
1567458904,212,98
1567459804,193,98
1567460705,223,80
1567461604,218,4206
1567462504,356,2924
1567463405,353,2115
1567465205,610,796
1567466105,380,387
1567467007,338,334
1567467906,300,414
1567468807,378,387
1567469708,478,460
1567470608,385,373
1567471508,332,324
1567472408,368,438
1567473309,409,341
1567474209,315,305
1567475109,296,364
1567476010,359,488
1567476910,325,345
1567477810,233,353
1567478714,212,352
1567479611,228,427
1567480510,213,319
1567481411,177,263
1567482311,149,315
1567483211,178,464
1567484115,214,273
1567485011,180,236
1567485913,162,265
1567486812,163,243
1567487713,157,241
1567488612,167,207
1567489514,150,541
1567490416,256,0
1567491314,265,162
1567492215,392,174
1567493113,256,104
1567494016,210,127
1567494915,176,152
1567495816,238,134
1567496716,311,246
1567497617,249,283
1567498516,248,168
1567499417,678,186
1567500317,450,136
1567501217,406,131
1567502116,859,116
1567503017,427,70
1567503916,565,101
1567504816,461,127
1567505718,465,197
1567506616,467,105
1567507516,665,168
1567508416,424,187
1567509321,362,489
1567510218,421,403
1567511119,387,329
1567512017,425,376
1567512919,353,520
1567513818,608,608
1567514716,454,388
1567516518,1076,1035
1567517416,385,307
1567518319,368,447
1567519215,444,671
1567520115,369,455
1567521018,311,335
1567521918,568,653
1567522816,377,767
1567523718,233,770
1567524617,400,1016
1567525517,269,1141
1567526416,364,912
1567527315,318,842
1567528216,201,472
1567529115,158,263
1567530017,402,434
1567530915,172,229
1567531816,278,313
1567532714,219,302
1567533618,243,222
1567534515,141,140
1567535417,158,347
1567536315,454,191
1567537215,289,200
1567538116,198,257
1567539017,203,238
1567539915,263,191
1567540814,260,111
1567541715,208,109
1567542615,201,258
1567543516,632,366
1567544417,429,130
1567545316,298,146
1567546216,241,123
1567547117,370,142
1567548015,320,202
1567548915,323,258
1567549816,268,208
1567550715,414,224
1567551616,380,672
1567552515,331,515
1567553414,281,300
1567554315,318,388
1567555216,389,396
1567556119,373,341
1567557019,366,273
1567557919,254,329
1567559719,509,734
1567560619,334,278
1567561518,556,320
1567563318,626,702
1567564217,291,388
1567565118,356,310
1567566020,469,330
1567566921,234,231
1567567819,172,337
1567568718,236,522
1567569619,241,336
1567570520,251,325
1567571416,221,265
1567572317,419,338
1567573219,209,472
1567574115,219,241
1567575016,345,173
1567575919,447,250
1567576816,413,263
1567577717,399,239
1567578617,339,232
1567579515,349,431
1567580417,423,223
1567581317,592,280
1567582218,352,333
1567583114,330,440
1567584015,357,455
1567584915,362,448
1567585816,327,329
1567586715,315,478
1567587615,455,468
1567588518,587,467
1567589417,379,347
1567590318,473,309
1567591216,448,324
1567592116,399,240
1567593016,641,291
1567593915,497,251
1567594817,481,402
1567595716,460,506
1567596615,367,405
1567597517,403,196
1567598417,404,402
1567599314,485,456
1567600214,469,364
1567601116,623,441
1567602017,628,690
1567602914,413,458
1567603814,428,386
1567604715,508,222
1567605614,480,334
1567606515,419,439
1567607413,385,362
1567608314,419,356
1567609215,434,448
1567610114,469,476
1567611013,424,709
1567611914,459,363
1567612814,411,261
1567613714,353,368
1567614615,404,520
1567615515,349,430
1567616414,363,428
1567617314,351,394
1567618213,354,407
1567619115,290,378
1567620013,309,358
1567620912,409,396
1567621811,366,483
1567622714,356,437
1567623615,413,461
1567624513,473,521
1567625416,425,471
1567626318,735,520
1567627213,387,427
1567628112,459,526
1567629015,334,460
1567629913,300,443
1567630816,323,469
1567631715,388,392
1567632613,533,437
1567633514,394,264
1567634414,433,515
1567635314,344,543
1567636213,394,280
1567637114,346,334
1567638011,442,326
1567638912,528,362
1567639812,484,448
1567640712,353,515
1567641614,425,711
1567642514,319,337
1567643414,128,6
1567644312,140,15
1567645213,186,4
1567646113,169,62
1567647012,211,22
1567647912,157,12
1567648811,202,28
1567649737,221,29
1567650611,171,17
1567651512,183,12
1567652412,211,14
1567653311,191,10
1567654212,202,10
1567655111,200,12
1567656010,204,13
1567656911,207,9
1567657811,186,27
1567658710,159,75
1567659610,163,98
1567660509,175,90
1567661410,146,82
1567662309,112,87
1567663209,149,70
1567664109,200,72
1567665008,170,76
1567665910,132,108
1567666808,112,126
1567667708,168,154
1567668609,263,147
1567670408,359,282
1567671308,481,169
1567672207,1008,288
1567673108,446,173
1567674005,168,152
1567674906,205,181
1567675804,270,164
1567676705,280,161
1567677605,231,163
1567678504,203,183
1567679404,269,166
1567680306,301,282
1567681204,223,354
1567682104,219,441
1567683004,369,539
1567683903,308,484
1567684803,329,344
1567685702,275,450
1567686602,373,377
1567687502,332,134
1567688402,198,144
1567689302,280,109
1567690202,316,164
1567691102,211,254
1567692001,179,244
1567692902,197,137
1567693801,285,470
1567695602,618,1395
1567696502,225,163
1567697402,245,204
1567698302,251,253
1567699201,195,276
1567700102,208,231
1567701002,285,191
1567701902,239,276
1567702802,175,287
1567703701,236,242
1567704602,270,240
1567705502,210,408
1567706402,236,327
1567707302,281,339
1567708202,415,291
1567710002,480,633
1567710902,203,169
1567711802,431,264
1567713602,445,498
1567714502,168,185
1567715402,4989,98
1567716302,902,169
1567717203,967,197
1567718103,662,150
1567719004,596,127
1567719904,664,124
1567720803,611,179
1567721704,493,128
1567722604,234,113
1567723505,158,2469
1567724405,340,3243
1567725305,354,2552
1567726205,371,2475
1567727104,445,1343
1567728006,411,1035
1567728906,400,873
1567729808,435,977
1567730707,456,921
1567731608,423,341
1567732507,396,362
1567733408,349,487
1567734309,699,415
1567735208,628,469
1567736126,424,378
1567737008,357,507
1567737908,329,500
1567738809,366,515
1567739710,307,486
1567740610,246,473
1567741508,183,670
1567742410,120,667
1567743309,318,597
1567744210,203,293
1567745112,172,365
1567746012,199,332
1567746914,256,308
1567747813,473,288
1567748714,427,178
1567749615,516,340
1567750513,443,232
1567751412,440,245
1567752312,354,308
1567753214,439,445
1567754113,556,376
1567755013,305,523
1567755915,226,473
1567756813,215,338
1567757713,190,297
1567758615,247,290
1567759515,792,490
1567760414,626,543
1567761316,999,251
1567762216,538,239
1567763118,698,204
1567764015,632,190
1567764916,490,208
1567765814,402,711
1567766717,301,342
1567767615,885,666
1567768516,999,701
1567769416,874,420
1567770319,821,542
1567771217,976,582
1567772116,401,298
1567773017,430,580
1567773915,562,463
1567774815,638,654
1567775716,903,1725
1567776616,713,1439
1567778416,1771,2099
1567779315,1373,831
1567780218,932,878
1567781118,1035,651
