DateTime,Entries,UniqueIPs
1567389616,1518,1518
1567390551,1417,1417
1567391417,1423,1423
1567392316,1478,1478
1567393217,1501,1501
1567394116,1543,1543
1567395017,1609,1609
1567395918,1623,1623
1567396822,1632,1632
1567397720,1684,1684
1567398616,1608,1608
1567399518,1675,1675
1567400417,1573,1573
1567401318,1636,1636
1567402219,1691,1691
1567403119,1926,1926
1567404918,1869,1869
1567405820,1807,1807
1567406723,2032,2032
1567407621,2359,2359
1567408518,2499,2499
1567409421,2617,2617
1567410318,2749,2749
1567411216,2924,2924
1567412117,3240,3240
1567413017,3503,3503
1567413918,3699,3699
1567414819,4028,4028
1567415719,4216,4216
1567416615,4353,4353
1567417517,4501,4501
1567418418,4592,4592
1567419315,4736,4736
1567420219,4903,4903
1567421116,4989,4989
1567422014,5172,5172
1567422915,5346,5346
1567423814,5491,5491
1567424715,5680,5680
1567425614,5825,5825
1567426513,6015,6015
1567427414,6124,6124
1567428317,6217,6217
1567429212,6330,6330
1567430112,6340,6340
1567431015,6392,6392
1567431913,6458,6458
1567432813,6511,6511
1567433713,6547,6547
1567434613,6400,6400
1567435514,6303,6303
1567436411,6352,6352
1567437311,6255,6255
1567438210,6315,6315
1567439111,6466,6466
1567440010,6598,6598
1567440909,6749,6749
1567441807,6738,6738
1567442708,6801,6801
1567443605,6940,6940
1567444506,6988,6988
1567445405,7028,7028
1567446305,7124,7124
1567447205,7132,7132
1567448104,7237,7237
1567449003,7032,7032
1567449903,6840,6840
1567450802,6589,6589
1567451701,6413,6413
1567452602,6426,6426
1567453501,6433,6433
1567454401,6511,6511
1567455302,9717,9717
1567456202,10634,10634
1567457102,10796,10796
1567458004,11002,11002
1567458904,11116,11116
1567459804,11211,11211
1567460705,11354,11354
1567461604,7366,7366
1567462504,4798,4798
1567463405,3036,3036
1567465205,2850,2850
1567466105,2843,2843
1567467007,2847,2847
1567467906,2733,2733
1567468807,2724,2724
1567469708,2742,2742
1567470608,2754,2754
1567471508,2762,2762
1567472408,2692,2692
1567473309,2760,2760
1567474209,2770,2770
1567475109,2702,2702
1567476010,2573,2573
1567476910,2553,2553
1567477810,2433,2433
1567478714,2293,2293
1567479611,2094,2094
1567480510,1988,1988
1567481411,1902,1902
1567482311,1736,1736
1567483211,1450,1450
1567484115,1391,1391
1567485011,1335,1335
1567485913,1232,1232
1567486812,1152,1152
1567487713,1068,1068
1567488612,1028,1028
1567489514,637,637
1567490416,893,893
1567491314,996,996
1567492215,1214,1214
1567493113,1366,1366
1567494016,1449,1449
1567494915,1473,1473
1567495816,1577,1577
1567496716,1642,1642
1567497617,1608,1608
1567498516,1688,1688
1567499417,2180,2180
1567500317,2494,2494
1567501217,2769,2769
1567502116,3512,3512
1567503017,3869,3869
1567503916,4333,4333
1567504816,4667,4667
1567505718,4935,4935
1567506616,5297,5297
1567507516,5794,5794
1567508416,6031,6031
1567509321,5904,5904
1567510218,5922,5922
1567511119,5980,5980
1567512017,6029,6029
1567512919,5862,5862
1567513818,5862,5862
1567514716,5928,5928
1567516518,5969,5969
1567517416,6047,6047
1567518319,5968,5968
1567519215,5741,5741
1567520115,5655,5655
1567521018,5631,5631
1567521918,5546,5546
1567522816,5156,5156
1567523718,4619,4619
1567524617,4003,4003
1567525517,3131,3131
1567526416,2583,2583
1567527315,2059,2059
1567528216,1788,1788
1567529115,1683,1683
1567530017,1651,1651
1567530915,1594,1594
1567531816,1559,1559
1567532714,1476,1476
1567533618,1497,1497
1567534515,1498,1498
1567535417,1309,1309
1567536315,1572,1572
1567537215,1661,1661
1567538116,1602,1602
1567539017,1567,1567
1567539915,1639,1639
1567540814,1788,1788
1567541715,1887,1887
1567542615,1830,1830
1567543516,2096,2096
1567544417,2395,2395
1567545316,2547,2547
1567546216,2665,2665
1567547117,2893,2893
1567548015,3011,3011
1567548915,3076,3076
1567549816,3136,3136
1567550715,3326,3326
1567551616,3034,3034
1567552515,2850,2850
1567553414,2831,2831
1567554315,2761,2761
1567555216,2754,2754
1567556119,2786,2786
1567557019,2879,2879
1567557919,2804,2804
1567559719,2579,2579
1567560619,2635,2635
1567561518,2871,2871
1567563318,2795,2795
1567564217,2698,2698
1567565118,2744,2744
1567566020,2883,2883
1567566921,2886,2886
1567567819,2721,2721
1567568718,2435,2435
1567569619,2340,2340
1567570520,2266,2266
1567571416,2222,2222
1567572317,2303,2303
1567573219,2040,2040
1567574115,2018,2018
1567575016,2190,2190
1567575919,2387,2387
1567576816,2537,2537
1567577717,2697,2697
1567578617,2804,2804
1567579515,2722,2722
1567580417,2922,2922
1567581317,3234,3234
1567582218,3253,3253
1567583114,3143,3143
1567584015,3045,3045
1567584915,2959,2959
1567585816,2957,2957
1567586715,2794,2794
1567587615,2781,2781
1567588518,2901,2901
1567589417,2933,2933
1567590318,3097,3097
1567591216,3221,3221
1567592116,3380,3380
1567593016,3730,3730
1567593915,3976,3976
1567594817,4055,4055
1567595716,4009,4009
1567596615,3971,3971
1567597517,4178,4178
1567598417,4180,4180
1567599314,4209,4209
1567600214,4314,4314
1567601116,4496,4496
1567602017,4434,4434
1567602914,4389,4389
1567603814,4431,4431
1567604715,4717,4717
1567605614,4863,4863
1567606515,4843,4843
1567607413,4866,4866
1567608314,4929,4929
1567609215,4915,4915
1567610114,4908,4908
1567611013,4623,4623
1567611914,4719,4719
1567612814,4869,4869
1567613714,4854,4854
1567614615,4738,4738
1567615515,4657,4657
1567616414,4592,4592
1567617314,4549,4549
1567618213,4496,4496
1567619115,4408,4408
1567620013,4359,4359
1567620912,4372,4372
1567621811,4255,4255
1567622714,4174,4174
1567623615,4126,4126
1567624513,4078,4078
1567625416,4032,4032
1567626318,4247,4247
1567627213,4207,4207
1567628112,4140,4140
1567629015,4014,4014
1567629913,3871,3871
1567630816,3725,3725
1567631715,3721,3721
1567632613,3817,3817
1567633514,3947,3947
1567634414,3865,3865
1567635314,3666,3666
1567636213,3780,3780
1567637114,3792,3792
1567638011,3908,3908
1567638912,4074,4074
1567639812,4110,4110
1567640712,3948,3948
1567641614,3662,3662
1567642514,3644,3644
1567643414,3766,3766
1567644312,3891,3891
1567645213,4073,4073
1567646113,4180,4180
1567647012,4369,4369
1567647912,4514,4514
1567648811,4688,4688
1567649737,4880,4880
1567650611,5034,5034
1567651512,5205,5205
1567652412,5402,5402
1567653311,5583,5583
1567654212,5775,5775
1567655111,5963,5963
1567656010,6154,6154
1567656911,6352,6352
1567657811,6511,6511
1567658710,6595,6595
1567659610,6660,6660
1567660509,6745,6745
1567661410,6809,6809
1567662309,6834,6834
1567663209,6913,6913
1567664109,7041,7041
1567665008,7135,7135
1567665910,7159,7159
1567666808,7145,7145
1567667708,7159,7159
1567668609,7275,7275
1567670408,7352,7352
1567671308,7664,7664
1567672207,8384,8384
1567673108,8657,8657
1567674005,8673,8673
1567674906,8697,8697
1567675804,8803,8803
1567676705,8922,8922
1567677605,8990,8990
1567678504,9010,9010
1567679404,9113,9113
1567680306,9132,9132
1567681204,9001,9001
1567682104,8779,8779
1567683004,8609,8609
1567683903,8433,8433
1567684803,8418,8418
1567685702,8243,8243
1567686602,8239,8239
1567687502,8437,8437
1567688402,8491,8491
1567689302,8662,8662
1567690202,8814,8814
1567691102,8771,8771
1567692001,8706,8706
1567692902,8766,8766
1567693801,8581,8581
1567695602,7804,7804
1567696502,7866,7866
1567697402,7907,7907
1567698302,7905,7905
1567699201,7824,7824
1567700102,7801,7801
1567701002,7895,7895
1567701902,7858,7858
1567702802,7746,7746
1567703701,7740,7740
1567704602,7770,7770
1567705502,7572,7572
1567706402,7481,7481
1567707302,7423,7423
1567708202,7547,7547
1567710002,7394,7394
1567710902,7428,7428
1567711802,7595,7595
1567713602,7542,7542
1567714502,7525,7525
1567715402,12416,12416
1567716302,13149,13149
1567717203,13919,13919
1567718103,14431,14431
1567719004,14900,14900
1567719904,15440,15440
1567720803,15872,15872
1567721704,16237,16237
1567722604,16358,16358
1567723505,14047,14047
1567724405,11144,11144
1567725305,8946,8946
1567726205,6842,6842
1567727104,5944,5944
1567728006,5320,5320
1567728906,4847,4847
1567729808,4305,4305
1567730707,3840,3840
1567731608,3922,3922
1567732507,3956,3956
1567733408,3818,3818
1567734309,4102,4102
1567735208,4261,4261
1567736126,4307,4307
1567737008,4157,4157
1567737908,3986,3986
1567738809,3837,3837
1567739710,3658,3658
1567740610,3431,3431
1567741508,2944,2944
1567742410,2397,2397
1567743309,2118,2118
1567744210,2028,2028
1567745112,1835,1835
1567746012,1702,1702
1567746914,1650,1650
1567747813,1835,1835
1567748714,2084,2084
1567749615,2260,2260
1567750513,2471,2471
