DateTime,AddedIPs,RemovedIPs
1526828886,38,42
1526917456,43,85
1527000493,42,0
1527090253,36,78
1527175931,46,0
1527261374,44,45
1527288498,0,45
1527294040,0,0
1527298592,0,0
1527302675,0,0
1527307713,0,0
1527311794,0,0
1527316112,0,0
1527320440,0,0
1527324754,0,0
1527329319,0,0
1527333874,0,0
1527338673,0,0
1527342990,0,0
1527347070,45,0
1527351395,0,0
1527355967,0,0
1527360511,0,0
1527364842,0,0
1527368675,0,0
1527373244,0,0
1527377792,0,0
1527381872,0,0
1527386192,0,0
1527390271,0,0
1527394591,0,0
1527398435,0,0
1527433226,40,42
1527522732,43,86
1527607454,46,0
1527692424,45,44
1527781210,42,89
1527865932,43,0
1527894506,0,43
1527958113,50,0
1527962913,0,0
1527967712,0,0
1527972272,0,0
1527976592,0,0
1527981396,0,0
1527985962,0,0
1527990753,0,0
1527995553,0,0
1528000357,0,0
1528004196,0,0
1528160169,48,98
1528237451,47,0
1528306574,0,47
1528318794,0,0
1528322770,44,0
1528330082,0,0
1528408570,43,42
1528497854,44,89
1528582820,49,0
1528667767,48,49
1528757765,45,93
1528842250,44,0
1528926971,42,41
1530258009,49,94
1530261849,48,0
1530347292,44,47
1530433450,46,43
1530519379,46,48
1530604570,48,45
1530694089,45,94
1530779048,49,0
1530864493,48,47
1530951132,48,98
1531036334,49,0
1531126332,48,97
1531212491,50,0
1531297213,47,48
1531382170,50,49
1531471211,49,99
1531555934,48,0
1531642575,46,94
1531729212,50,50
1531814894,48,0
1531903930,47,95
1531989137,47,0
1532074570,39,41
1532163854,45,90
1532248573,47,0
1532333295,47,46
1532422833,43,91
1532508013,48,0
1532593934,43,42
1532681773,47,96
1532766490,49,0
1532855054,49,98
1532940490,48,0
1533025458,49,48
1533110656,42,45
1533199452,45,91
1533284410,45,0
1533373456,45,90
1533459129,45,0
1533544098,42,42
1533629532,47,44
1533719297,44,92
1533803768,48,0
1533888978,44,45
1533977289,47,94
1534062013,46,0
1534150573,46,92
1534235769,47,0
1534324333,45,92
1534409050,48,0
1534494492,45,47
1534583050,30,76
1534667775,47,0
1534752970,46,44
1534841293,45,94
1534926505,48,0
1535015295,48,96
1535100489,50,0
1535186652,47,48
1535271848,43,45
1535358256,44,91
1535447055,47,47
1535532008,46,0
1535618411,46,92
1535703615,46,0
1535792655,42,88
1535877373,47,0
1535963048,43,42
1536052333,48,96
1536137288,49,0
1536222259,48,48
1536311056,43,92
1536396011,42,0
1536484815,42,84
1536570032,44,0
1536655216,45,42
1536744254,42,89
1536828976,48,0
1536914421,48,46
1537000336,45,48
1537089137,33,80
1537175060,47,0
1537260256,35,39
1537346409,41,43
1537435210,41,82
1537519692,46,0
1537605374,45,43
1537693692,47,95
1537778409,48,0
1537867212,47,95
1537951938,47,0
1538040974,45,92
1538125932,47,0
1538210890,48,46
1538299454,43,92
1538384434,49,0
1538470335,47,49
1538559613,47,94
1538644811,49,0
1538729768,49,48
1538818809,47,97
1538903533,49,0
1538992097,45,94
1539077533,46,0
1539162977,43,44
1539251288,42,87
1539336489,46,0
1539421456,43,44
1539510257,46,91
1539595454,45,0
1539680649,42,42
1539769450,40,85
1539855136,46,0
1539940813,46,44
1540026736,38,45
1540115059,43,84
1540199778,48,0
1540288816,49,97
1540374490,48,0
1540459936,45,46
1540545375,45,46
1540631296,49,46
1540720568,48,97
1540806010,50,0
1540891941,46,48
1540977853,46,46
1541064016,47,48
1541149689,48,47
1541236095,46,94
1541325616,49,49
1541411047,47,0
1541496252,48,46
1541582171,49,48
1541671217,42,92
1541756889,45,0
1541842335,48,44
1541927777,49,48
1542017529,48,98
1542102253,49,0
