DateTime,Entries,UniqueIPs
1527894506,591,632
1527894506,591,632
1527894506,591,632
1527894506,591,632
1527894506,591,632
1527894506,591,632
1527894506,591,632
1527894506,591,632
1527894506,591,632
1527894506,591,632
1527958114,628,673
1527958114,628,673
1527958114,628,673
1527958114,628,673
1527962914,628,673
1527962914,628,673
1527962914,628,673
1527962914,628,673
1527967713,628,673
1527967713,628,673
1527967713,628,673
1527967713,628,673
1527972272,628,673
1527972272,628,673
1527972272,628,673
1527972272,628,673
1527976593,628,673
1527976593,628,673
1527976593,628,673
1527976593,628,673
1527981396,628,673
1527981396,628,673
1527981396,628,673
1527981396,628,673
1527985963,628,673
1527985963,628,673
1527985963,628,673
1527990753,628,673
1527990753,628,673
1527990753,628,673
1527990753,628,673
1527995553,628,673
1527995553,628,673
1527995553,628,673
1527995553,628,673
1528000358,628,673
1528000358,628,673
1528000358,628,673
1528004197,628,673
1528160170,663,718
1528218016,695,754
1528306575,727,793
1528306575,727,793
1528318795,727,793
1528322770,727,793
1528322770,727,793
1528330083,727,793
1528393211,755,827
1528478171,787,862
1528563370,811,893
1528652412,846,929
1528738197,887,970
1528823054,923,1010
1528911611,966,1053
1530258010,601,645
1530312489,604,652
1530397939,594,645
1530484092,628,683
1530570006,618,671
1530659542,611,659
1530744253,638,689
1530829698,589,639
1530916334,630,680
1531005384,590,640
1531091295,586,635
1531177451,592,638
1531262655,585,628
1531347628,572,617
1531436179,568,611
1531521376,561,604
1531607297,598,641
1531693935,637,684
1531779614,677,725
1531869371,710,758
1531954098,738,788
1532039295,769,822
1532128577,792,848
1532214021,820,876
1532298732,844,907
1532387773,877,942
1532473254,917,984
1532559375,948,1017
1532646745,991,1061
1532731941,1033,1103
1532816654,1064,1137
1532905692,1044,1114
1532990891,1054,1121
1533076093,1050,1114
1533164894,1048,1113
1533249609,1080,1150
1533335052,1084,1153
1533424337,1055,1123
1533509539,1041,1117
1533594254,1078,1158
1533680653,1088,1167
1533769226,1102,1180
1533854175,1112,1193
1533942734,1085,1161
1534027208,1126,1204
1534115769,1078,1165
1534200973,1079,1169
1534285690,1115,1209
1534374736,1087,1178
1534458970,1126,1217
1534544655,1128,1219
1534632968,1109,1196
1534718169,1151,1242
1534806732,1155,1238
1534891451,1178,1253
1534976416,1220,1295
1535065938,1193,1267
1535151652,1212,1282
1535236810,1255,1326
1535323694,1235,1310
1535412249,1193,1272
1535497449,1226,1307
1535583371,1187,1266
1535668810,1176,1256
1535754255,1199,1286
1535842820,1150,1235
1535928011,1143,1227
1536016579,1137,1224
1536102033,1137,1223
1536187209,1136,1222
1536275772,1108,1201
1536360736,1137,1232
1536446170,1114,1209
1536535217,1056,1153
1536620168,1044,1145
1536705856,1072,1177
1536794178,1032,1140
1536879644,1017,1139
1536965296,1039,1167
1537050738,1025,1156
1537140014,973,1108
1537225451,968,1103
1537311628,954,1093
1537396575,990,1131
1537485132,942,1085
1537570335,922,1069
1537655289,953,1102
1537743856,906,1053
1537828810,927,1082
1537917377,885,1031
1538002335,911,1059
1538087053,911,1057
1538175859,894,1042
1538260806,928,1078
1538349612,918,1059
1538435295,905,1061
1538520731,899,1049
1538606169,943,1093
1538694979,936,1077
1538780421,936,1077
1538865131,977,1118
1538953696,978,1112
1539038655,1002,1130
1539124574,1033,1166
1539212887,1027,1154
1539297854,1068,1198
1539386899,1060,1179
1539471617,1104,1224
1539556809,1117,1235
1539642252,1129,1244
1539731056,1138,1248
1539816256,1138,1252
1539901936,1134,1250
1539987854,1144,1260
1540076663,1143,1258
1540161373,1134,1251
1540249935,1117,1223
1540335138,1152,1262
1540421533,1143,1242
1540506737,1174,1276
1540596498,1154,1252
1540681942,1152,1248
1540767134,1189,1285
1540853059,1149,1250
1540939212,1192,1293
1541025138,1201,1297
1541114649,1184,1276
1541197456,1229,1322
1541286487,1230,1320
1541372170,1218,1312
1541457369,1178,1269
1541543293,1213,1307
1541632810,1187,1278
1541718017,1190,1275
1541803209,1227,1312
1541889139,1226,1308
1541975053,1222,1304
1542063928,1187,1266
1542149053,1192,1270
1542235454,1190,1265
1542322094,1235,1310
1542407051,1249,1320
1542495855,1241,1299
