DateTime,AddedIPs,RemovedIPs
1526905933,31,0
1526992337,30,61
1527078731,36,0
1527164425,28,35
1527253464,36,65
1527288497,0,0
1527294038,0,0
1527298591,0,0
1527302673,0,0
1527307712,0,0
1527311793,0,0
1527316111,0,0
1527320439,0,0
1527324752,0,0
1527329317,0,0
1527333872,0,0
1527338672,27,0
1527342989,0,0
1527347069,0,0
1527351394,0,0
1527355966,0,0
1527360510,0,0
1527364841,0,0
1527368674,0,0
1527373243,0,0
1527377791,0,0
1527381871,0,0
1527386190,0,0
1527390270,0,0
1527394589,0,0
1527398434,0,0
1527425531,21,26
1527511208,38,21
1527595934,37,36
1527684730,38,78
1527769687,39,0
1527858256,39,78
1527894505,0,0
1527958112,42,0
1527962912,0,0
1527967711,0,0
1527972271,0,0
1527976591,0,0
1527981395,0,0
1527985960,0,0
1527990751,0,0
1527995551,0,0
1528000355,0,0
1528004195,0,0
1528160168,33,75
1528218014,30,0
1528306573,31,61
1528318792,0,0
1528322768,0,0
1528330081,0,0
1528393209,36,0
1528478169,29,35
1528567221,30,60
1528652411,30,0
1528738195,31,27
1528823052,31,31
1528911609,31,65
1530258007,42,42
1530316333,37,0
1530402258,28,34
1530487933,29,30
1530573846,41,29
1530659538,33,38
1530748091,36,73
1530833783,41,0
1530920177,31,35
1531005382,33,34
1531091292,27,32
1531177449,38,29
1531266489,35,75
1531351451,33,0
1531440019,35,68
1531525213,30,0
1531611138,30,30
1531698009,33,63
1531783450,37,0
1531869368,36,36
1531957932,30,67
1532043381,35,0
1532128574,37,34
1532217850,28,66
1532302575,22,0
1532387771,26,19
1532477052,28,57
1532563225,33,0
1532646742,28,31
1532735776,39,69
1532820493,39,0
1532909530,23,62
1532994731,44,0
1533079938,39,42
1533168730,34,75
1533253693,41,0
1533338891,43,40
1533428175,31,75
1533513369,27,0
1533598332,34,27
1533684733,36,70
1533773050,40,40
1533858009,33,0
1533946569,32,65
1534031053,30,0
1534119609,27,57
1534204814,28,0
1534293608,24,52
1534378415,34,0
1534463775,27,27
1534552326,24,58
1534636813,16,0
1534725850,18,34
1534810572,14,0
1534895535,27,14
1534984334,19,46
1535069772,20,0
1535155457,12,13
1535244491,21,40
1535331369,24,24
1535416333,27,0
1535501289,36,25
1535587226,37,38
1535676494,37,74
1535761933,41,0
1535846657,29,38
1535935689,37,69
1536020653,41,0
1536105852,29,37
1536194893,33,66
1536279852,43,0
1536368652,37,80
1536453855,38,0
1536539051,31,35
1536627853,39,73
1536713548,38,0
1536798016,27,33
1536883450,19,22
1536973230,20,49
1537058409,20,0
1537143848,26,19
1537229532,23,23
1537315452,22,23
1537404255,15,41
1537488976,31,0
1537578251,22,53
1537662972,26,0
1537747694,18,14
1537836491,29,59
1537921212,31,0
1538010014,19,50
1538095216,28,0
1538179690,19,22
1538268486,21,46
1538353454,20,0
1538439129,15,13
1538528421,14,36
1538613859,18,0
1538699050,11,11
1538788091,12,30
1538872821,23,0
1538957530,25,21
1539046332,22,49
1539132254,26,0
1539216725,22,22
1539305532,23,49
1539390731,33,0
1539479294,21,54
1539564492,25,0
1539649937,19,20
1539738734,24,48
1539823932,27,0
1539909848,27,27
1539995536,19,25
1540084330,23,44
1540169052,26,0
1540257608,24,50
1540342828,26,0
1540429209,27,23
1540514408,19,25
1540600327,26,22
1540689615,19,47
1540774821,25,0
1540860972,23,22
1540946888,18,22
1541032808,27,21
1541118733,24,26
1541205133,23,24
1541294166,22,47
1541380097,30,0
1541465049,22,26
1541551345,26,25
1541640489,27,54
1541725690,33,0
1541810888,20,29
1541896809,30,24
1541986807,24,54
1542071529,28,0
1542156730,29,26
1542243129,27,28
1542329769,26,56
1542418575,26,26
1542503527,22,0
1542588491,22,21
1542678009,20,43
1542762976,27,0
1542849851,19,46
1542935767,27,0
1543021215,24,24
1543110249,20,47
1543194731,26,0
1543280651,25,22
1543369930,23,52
1543456580,22,22
1543541765,28,0
1543627450,20,25
1543712176,27,23
1543800968,18,45
1543886649,27,0
1543972813,20,24
1544059933,22,45
1544146089,22,0
1544231050,20,19
1544320818,29,52
1544406729,21,0
1544492651,27,21
1544576883,24,24
1544663532,23,50
1544750407,25,25
1544836571,29,0
1544922978,4,33
1545011764,3,3
1545097931,4,0
1545183135,8,4
1545268810,33,7
1545354255,23,32
1545443766,20,45
1545528968,26,0
1545615133,22,23
1545700809,26,21
1545787214,28,58
1545876257,28,28
1545961689,27,0
1546047132,27,25
1546132570,23,28
1546221856,22,46
1546307055,20,0
1546322416,0,20
1546392249,19,0
1546477696,29,19
1546566487,30,59
1546652891,24,24
1546738326,28,0
1546824251,19,24
1546909930,26,22
1546975935,0,27
1546999214,28,0
1547083932,26,25
1547171048,25,54
1547257930,30,30
1547345049,22,22
1547431691,20,20
1547517371,21,0
1547604059,21,42
1547690172,26,0
1547776572,20,23
1547863217,22,45
1547948651,23,0
1548034564,19,22
1548120490,19,16
1548205933,29,21
1548293049,27,58
1548379206,22,0
1548465614,32,54
1548554419,26,26
1548640333,28,0
1548725528,21,27
1548811691,25,19
1548900967,22,50
1548986648,23,0
1549072823,20,20
1549158728,12,21
1549244409,11,14
1549329853,16,7
1549416251,24,17
1549505766,16,43
1549590731,21,0
1549675693,27,17
1549764258,24,55
1549848731,27,0
1549937526,21,48
1550022489,25,0
1550111288,26,51
1550196252,25,0
1550280969,24,23
1550370489,14,40
1550454965,19,0
1550543289,26,45
1550628247,29,0
1550713926,25,26
1550800328,25,53
1550885298,26,0
1550973851,19,45
1551058806,26,0
1551144728,23,22
1551234264,28,55
1551319452,31,0
1551405366,26,26
1551490564,28,29
1551577452,19,49
1551666733,25,25
1551752650,28,0
1551837370,25,25
1551922566,24,23
1552010888,27,56
1552095850,33,0
1552184419,23,56
1552269129,29,0
1552357688,26,55
1552442165,30,0
1552531230,18,48
1552616164,26,0
1552702093,20,23
1552787289,26,19
1552876086,16,46
1552962488,30,30
1553047215,30,0
1553135765,26,56
1553220970,29,0
1553306425,12,28
1553395210,5,18
1553479688,9,0
1553568247,1,10
1553652974,29,0
1553820004,29,58
1553827693,27,0
1553912405,20,25
1554000729,13,35
1554086406,22,0
1554171610,21,20
1554257293,30,21
1554345622,25,57
1554430803,28,0
1554516495,24,25
1554604806,17,44
1554689289,28,0
1554778087,29,57
1554862804,30,0
1554949208,27,57
1555035368,32,0
1555123447,24,56
1555207928,20,0
1555296487,19,39
1555381688,28,0
1555467851,20,27
1555556648,27,48
1555642094,27,0
1555726570,27,26
1555812736,2,27
1555901285,5,8
1555986485,31,0
1556071699,21,30
1556160730,22,44
1556247132,23,23
1556331612,16,0
1556419930,14,30
1556504406,23,0
1556590567,26,21
1556676253,29,27
1556766248,18,48
1556851691,14,0
1556936164,23,14
1557024490,14,37
1557109451,17,0
1557198019,23,40
1557282488,36,0
1557367454,30,33
1557455764,31,64
1557540255,26,0
1557627136,19,45
1557716425,19,19
1557800890,31,0
1557885846,22,30
1557974166,31,54
1558058660,28,0
1558148134,30,58
1558232883,23,0
1558321693,23,46
1558406651,37,0
1558491611,30,33
1558577048,30,33
1558665604,27,58
1558750571,36,0
1558838897,18,54
1558923606,23,0
1559011447,23,46
1559096409,33,0
1559185460,12,45
1559271632,32,0
1559356329,24,24
1559444894,14,46
1559529607,20,0
1559614812,25,16
1559703615,15,44
1559788806,23,0
1559873286,25,22
1559961853,24,50
1560047050,22,0
1560135850,21,43
1560220324,30,0
1560306023,26,26
1560394574,24,54
1560479777,24,0
1560564969,27,23
1560653533,23,51
1560738246,21,0
1560826814,24,45
1560912253,19,0
1560996970,24,18
1561085525,23,48
1561170495,19,0
1561259292,19,38
1561343768,18,0
1561432092,29,47
1561516811,31,0
1561605129,11,42
1561690090,4,0
1561775290,36,4
1561864088,20,56
1561948569,17,0
1562034251,22,17
1562123046,13,35
1562209468,28,28
1562296089,18,18
1562381288,23,0
1562466250,12,23
1562554832,18,30
1562639528,25,0
1562728577,17,42
1562814029,30,0
