DateTime,AddedIPs,RemovedIPs
1526732424,21,21
1526821205,22,22
1526905933,31,31
1526992337,34,34
1527078731,36,36
1527164425,29,29
1527253464,38,38
1527288497,0,0
1527294038,0,0
1527298591,0,0
1527302673,0,0
1527307712,0,0
1527311793,0,0
1527316111,0,0
1527320439,0,0
1527324752,0,0
1527329317,0,0
1527333872,0,0
1527338672,27,27
1527342989,0,0
1527347069,0,0
1527351394,0,0
1527355966,0,0
1527360510,0,0
1527364841,0,0
1527368674,0,0
1527373243,0,0
1527377791,0,0
1527381871,0,0
1527386190,0,0
1527390270,0,0
1527394589,0,0
1527398434,0,0
1527425531,22,22
1527511208,39,39
1527595934,40,40
1527684730,39,39
1527769687,39,39
1527858256,44,44
1527894505,0,0
1527958112,42,42
1527962912,0,0
1527967711,0,0
1527972271,0,0
1527976591,0,0
1527981395,0,0
1527985960,0,0
1527990751,0,0
1527995551,0,0
1528000355,0,0
1528004195,0,0
1528160168,37,37
1528218014,30,30
1528306573,32,32
1528318792,0,0
1528322768,0,0
1528330081,0,0
1528393209,36,36
1528478169,30,30
1528567221,31,31
1528652411,30,30
1528738195,34,34
1528823052,34,34
1528911609,34,34
1530258007,42,42
1530316333,37,37
1530402258,31,31
1530487933,30,30
1530573846,42,42
1530659538,37,37
1530748091,40,40
1530833783,41,41
1530920177,37,37
1531005382,36,36
1531091292,31,31
1531177449,40,40
1531266489,38,38
1531351451,33,33
1531440019,39,39
1531525213,30,30
1531611138,30,30
1531698009,34,34
1531783450,37,37
1531869368,37,37
1531957932,31,31
1532043381,35,35
1532128574,38,38
1532217850,28,28
1532302575,22,22
1532387771,29,29
1532477052,29,29
1532563225,33,33
1532646742,30,30
1532735776,40,40
1532820493,39,39
1532909530,25,25
1532994731,44,44
1533079938,41,41
1533168730,35,35
1533253693,41,41
1533338891,44,44
1533428175,33,33
1533513369,27,27
1533598332,34,34
1533684733,37,37
1533773050,40,40
1533858009,33,33
1533946569,35,35
1534031053,30,30
1534119609,34,34
1534204814,28,28
1534293608,27,27
1534378415,34,34
1534463775,34,34
1534552326,25,25
1534636813,16,16
1534725850,21,21
1534810572,14,14
1534895535,27,27
1534984334,25,25
1535069772,20,20
1535155457,19,19
1535244491,23,23
1535331369,24,24
1535416333,27,27
1535501289,38,38
1535587226,37,37
1535676494,39,39
1535761933,41,41
1535846657,32,32
1535935689,38,38
1536020653,41,41
1536105852,33,33
1536194893,33,33
1536279852,43,43
1536368652,40,40
1536453855,38,38
1536539051,34,34
1536627853,39,39
1536713548,38,38
1536798016,32,32
1536883450,29,29
1536973230,24,24
1537058409,20,20
1537143848,27,27
1537229532,27,27
1537315452,26,26
1537404255,26,26
1537488976,31,31
1537578251,28,28
1537662972,26,26
1537747694,30,30
1537836491,34,34
1537921212,31,31
1538010014,22,22
1538095216,28,28
1538179690,25,25
1538268486,23,23
1538353454,20,20
1538439129,22,22
1538528421,20,20
1538613859,18,18
1538699050,18,18
1538788091,18,18
1538872821,23,23
1538957530,27,27
1539046332,25,25
1539132254,26,26
1539216725,26,26
1539305532,25,25
1539390731,33,33
1539479294,31,31
1539564492,25,25
1539649937,24,24
1539738734,25,25
