DateTime,AddedIPs,RemovedIPs
1562752243,9,5
1562763042,0,14
1562772042,7,9
1562780446,4,13
1562788847,8,4
1562797846,5,3
1562805646,2,6
1562815246,1,5
1562824849,1,17
1562833849,4,4
1562842848,2,3
1562851848,2,15
1562860850,5,4
1562870450,4,9
1562881251,5,11
1562891471,5,3
1562900491,1,8
1562909514,0,2
1562918492,0,13
1562927497,1,7
1562935851,1,6
1562945493,4,13
1562955048,2,8
1562964112,4,7
1562973691,2,6
1562983318,2,2
1562992869,0,5
1563011470,2,23
1563020470,0,9
1563030711,1,4
1563038469,44,4
1563048651,154,10
1563057696,174,5
1563069122,284,2
1563082879,59,5
1563095522,16,12
1563108699,10,22
1563120101,3,10
1563130280,38,5
1563141701,20,3
1563152506,50,2
1563163901,13,6
1563255059,242,50
1563267059,77,8
1563280255,21,8
1563292254,22,7
1563303655,13,8
1563315054,22,4
1563326456,14,13
1563351651,46,14
1563363052,36,14
1563374453,15,8
1563386457,17,8
1563397255,15,7
1563408655,291,13
1563420056,21,7
1563432054,41,8
1563445862,30,11
1563459651,16,13
1563472250,10,7
1563483674,9,10
1563494455,4,3
1563507052,39,12
1563519050,11,8
1563531047,12,5
1563544868,13,10
1563557464,6,10
1563568265,7,4
1563577885,4,5
1563587484,3,15
1563596466,22,9
1563606708,8,4
1563617466,9,10
1563628867,7,3
1563640886,6,7
1563650492,10,7
1563660090,3,2
1563669711,3,4
1563681677,5,10
1563694269,6,7
1563704447,9,3
1563715890,16,14
1563727268,6,17
1563738670,25,9
1563748890,36,6
1563760313,274,6
1563772871,52,4
1563786692,24,5
1563799847,18,9
1563810671,19,4
1563822074,246,6
1563833451,22,3
1563844851,50,5
1563856851,51,4
1563870050,23,8
1563882051,11,10
1563895250,20,47
1563940251,41,221
1563953449,18,54
1563964848,11,69
1563977453,27,81
1563989452,138,54
1564000252,61,0
1564011652,35,73
1564023051,9,55
1564037451,14,47
1564050659,16,58
1564063849,6,81
1564086653,20,103
1564097454,41,70
1564108256,9,36
1564122052,8,50
1564149069,14,113
1564161649,8,46
1564172472,7,48
1564183316,9,31
1564194695,15,45
1564207251,5,40
1564219250,12,34
1564317645,20,331
1564327245,7,63
1564335645,33,0
1564344646,6,23
1564353646,12,32
1564363246,43,21
1564372248,13,15
1564381248,17,12
1564399849,15,8
1564410646,12,13
1564420848,8,17
1564429848,11,7
