DateTime,AddedIPs,RemovedIPs
1562881230,9,13
1562891448,6,7
1562900448,6,11
1562909470,7,6
1562918448,6,15
1562927453,8,6
1562935828,9,5
1562945469,7,15
1562955027,5,7
1562964069,9,13
1562973648,6,13
1562983274,8,6
1562992848,4,6
1563011449,8,21
1563020427,9,12
1563030669,8,6
1563038427,7,11
1563048627,6,5
1563057648,12,14
1563069069,10,6
1563082848,6,15
1563095470,9,11
1563108649,12,10
1563120048,8,13
1563130249,9,5
1563141649,11,11
1563152454,9,7
1563163849,12,11
1563176427,7,12
1563190249,8,8
1563204049,6,11
1563217229,12,13
1563229829,11,12
1563241828,7,12
1563255028,8,15
1563267029,7,15
1563280228,10,17
1563292228,7,5
1563303628,6,8
1563315028,4,2
1563326428,8,24
1563351627,6,17
1563363027,8,13
1563374428,8,15
1563386430,10,6
1563397228,7,12
1563408627,8,7
1563420028,14,22
1563432027,8,4
1563445829,7,16
1563459627,9,11
1563472228,8,14
1563483648,7,10
1563494428,9,9
1563507027,4,11
1563519027,9,7
1563531026,10,7
1563544827,13,13
1563557447,7,17
1563568227,8,6
1563577847,6,16
1563587446,6,13
1563596426,6,5
1563606668,6,7
1563617447,7,13
1563628847,10,4
1563640847,8,15
1563650452,8,15
1563660048,6,2
1563669669,8,13
1563681626,7,13
1563694248,8,13
1563704426,7,7
1563715848,10,15
1563727247,5,23
1563738648,8,5
1563748848,7,10
1563760268,6,5
1563772847,11,21
1563786648,14,14
1563799827,10,22
1563810648,9,7
1563822026,12,14
1563833428,8,8
1563844827,8,20
1563856827,11,18
1563870026,10,19
1563882028,8,18
1563895227,8,15
1563940228,12,31
1563953427,10,11
1563964827,8,10
1563977432,9,7
1563989428,11,9
1564000227,6,0
1564011627,10,10
1564023027,13,12
1564037427,10,10
1564050628,10,12
1564063827,11,9
1564086627,10,14
1564097428,8,8
1564108228,5,10
1564122027,8,10
1564149047,9,19
1564161626,8,13
1564172427,9,7
1564183268,5,6
1564194647,7,8
1564207227,6,9
1564219226,7,7
1564317628,12,58
1564327227,9,15
1564335628,8,0
1564344627,10,10
1564353628,7,9
1564363227,8,8
1564372228,10,9
1564381227,9,11
1564399828,9,6
1564410626,8,6
1564420829,7,8
1564429827,6,7
1564440027,13,8
1564451426,9,7
1564462229,7,12
1564474227,8,11
1564485027,11,9
1564497627,10,6
1564509628,8,19
1564519842,8,0
1564529427,7,16
1564539026,10,0
1564548027,10,6
1564558226,10,9
1564569029,6,5
1564580427,9,16
1564588827,10,8
1564597227,6,7
1564606828,6,0
1564615226,7,4
1564626028,9,9
1564637427,10,8
1564648228,9,17
1564668627,9,7
1564680028,8,0
1564689627,10,12
1564698028,8,0
1564707648,7,8
1564717248,10,13
1564725648,4,0
1564734069,9,11
1564743629,8,7
1564753269,6,6
1564763449,5,7
1564771269,8,10
1564778448,4,0
1564797069,6,16
1564806628,12,10
1564815670,7,9
1564825247,8,6
1564836028,10,0
1564845628,7,11
1564855248,9,6
1564863027,7,6
1564870228,7,6
1564879827,10,8
1564888830,8,7
1564898428,9,8
1564907427,6,8
1564915228,7,6
1564923028,7,7
1564932628,4,0
1564939828,5,8
1564947027,5,8
1564954827,12,4
1564962026,9,0
1564969827,11,10
1564978226,10,8
1564985427,9,8
1564994427,8,7
1565003428,9,8
1565013627,7,0
1565021427,7,9
1565027427,9,8
1565035228,8,4
1565043028,6,0
1565051427,10,10
1565059228,12,9
1565068827,9,8
1565077828,5,8
1565086228,7,6
1565095228,5,0
1565104828,9,8
1565113828,6,4
1565121628,7,8
1565129428,9,10
1565136028,7,0
1565143827,8,5
1565152828,8,10
1565160027,7,10
1565169028,9,10
1565176228,5,7
1565183427,5,0
1565193028,4,11
1565201428,8,11
1565209828,7,8
1565217628,4,7
1565226628,8,10
1565235627,5,6
1565245227,4,13
1565254828,7,7
1565262628,5,0
1565272827,7,8
1565281228,7,6
1565290228,5,10
1565298628,5,7
1565307028,8,9
1565316028,11,7
1565324427,7,0
1565332827,11,8
1565342428,10,6
1565350827,9,9
1565361028,8,6
1565368827,8,8
1565377228,6,8
1565385028,10,7
1565394028,6,8
1565400628,6,9
1565409029,6,8
1565418628,8,11
1565427028,7,6
1565435428,8,6
1565445028,6,7
1565454028,10,7
1565463028,9,7
1565473227,12,10
1565482228,11,9
1565492427,9,0
1565500828,9,12
1565510428,7,0
1565519430,5,16
1565528428,8,6
1565536828,6,10
1565545228,4,0
1565554828,9,6
1565562627,11,10
1565569828,13,7
1565589027,6,12
1565598628,8,0
1565607629,7,8
1565616628,8,8
1565625028,9,11
1565633428,11,9
1565643028,7,7
1565653227,6,11
1565662227,8,9
1565670628,8,0
1565677227,9,8
1565684428,8,0
1565691027,7,8
1565699428,5,0
1565707228,6,11
1565715028,8,7
1565721628,7,0
1565730028,9,10
1565752228,8,18
1565760627,7,10
1565767227,8,0
1565775028,7,7
1565782227,10,0
1565790028,8,7
1565799628,7,10
1565807427,6,0
1565815828,9,11
1565824227,8,8
1565830828,10,0
1565838028,5,5
1565845827,6,0
1565855427,6,8
1565866227,6,5
1565875227,7,9
1565883028,6,0
1565890227,9,8
1565898027,8,7
1565904628,4,0
1565911827,10,4
1565919627,6,11
1565929227,10,0
1565937628,4,0
1565947228,6,8
1565958028,10,7
1565967628,13,0
1565975428,11,10
1565983827,10,7
1565991628,8,7
1566000628,6,9
1566010228,7,0
1566019828,7,7
1566028828,7,12
1566038428,6,10
1566047428,7,0
1566055227,7,6
1566062427,6,0
1566069629,6,6
1566078029,8,9
1566086428,9,11
1566094227,9,0
1566102027,4,8
1566120029,8,7
1566128428,7,6
1566138627,7,7
1566147628,6,0
1566155429,7,5
1566164428,6,11
1566172828,9,9
1566180627,7,0
1566188427,4,20
1566206427,9,5
1566214827,6,3
1566222028,9,13
1566231028,7,0
1566240027,9,6
1566246627,8,9
1566253227,5,0
1566261028,8,15
1566268227,10,0
1566276027,8,12
1566283226,8,0
1566289828,6,8
1566297627,6,8
1566304827,8,0
1566312028,8,5
1566319827,5,3
1566327027,8,0
1566334228,8,10
1566343227,6,10
1566351028,7,0
1566358227,8,9
1566366027,8,6
1566373827,5,0
1566381628,4,11
1566388827,8,0
1566396028,2,9
1566403228,6,9
1566409828,9,0
1566417028,8,0
1566424828,8,14
1566432045,6,0
1566439228,7,0
1566446427,7,9
1566454228,7,9
1566461427,7,0
1566468028,9,10
1566475827,9,0
1566482427,7,11
1566489027,6,8
1566496828,6,0
1566502829,7,0
1566511228,7,0
1566518428,9,0
1566526228,7,0
1566534627,8,9
1566543029,8,0
1566554428,12,10
1566565227,11,9
1566575429,6,7
1566584428,15,11
1566594629,6,8
1566615028,7,17
1566625228,8,0
1566635429,8,8
1566645628,11,10
1566657029,8,0
1566666027,11,11
1566674429,7,0
1566682830,8,10
1566692428,8,12
1566700830,8,4
1566713429,8,9
1566725428,8,0
1566736229,6,0
1566745827,9,5
1566753628,7,7
1566762028,6,0
1566771029,7,8
1566781241,5,8
1566790228,5,12
1566799228,7,0
1566808229,10,4
1566817229,7,10
1566826829,8,0
1566845428,8,0
1566854428,8,0
1566863429,6,0
1566873627,8,0
1566883828,9,0
1566894028,7,0
1566903629,12,0
1566913229,6,12
1566921628,13,7
1566928228,8,0
1566936628,6,18
1566943228,6,0
1566950428,7,9
1566959429,5,7
1566967227,6,7
1566975028,6,11
1566990028,9,10
1566997229,4,0
1567005628,13,10
1567012828,11,0
1567020629,7,8
1567027829,3,9
1567035028,10,8
1567044028,5,8
1567063228,10,9
1567072231,10,9
1567083028,10,13
1567093828,10,8
1567108228,6,6
1567116629,9,9
1567124428,8,6
1567134029,7,8
1567145428,8,9
1567156227,9,6
1567165828,4,7
1567174828,12,9
1567184428,2,9
1567191028,8,5
1567198228,5,0
1567214428,8,14
1567224029,9,4
1567232428,8,11
1567241429,7,6
1567252828,5,0
1567261828,8,8
1567269628,9,6
1567278030,8,0
1567285828,8,8
1567293628,7,8
1567302028,8,8
1567312829,5,11
1567321828,9,8
1567332033,6,6
1567342228,5,7
1567350628,6,10
1567359028,9,9
1567366829,6,5
1567375827,6,5
1567384828,7,0
1567393827,9,6
1567404629,9,5
1567413628,7,8
1567424428,9,6
1567432828,9,5
1567449629,6,11
1567457428,9,9
1567465829,8,7
1567473628,8,8
1567482629,7,7
1567491629,6,8
1567501828,8,5
1567509629,5,7
1567518628,7,5
1567526429,6,6
1567535429,9,5
1567542628,7,1
1567549229,7,0
1567557633,7,11
1567568428,4,9
1567577428,5,16
1567584632,7,0
1567594228,5,9
1567603228,8,6
1567612828,10,11
1567620035,7,0
1567636228,9,20
1567654228,4,15
1567663228,5,7
1567672229,9,4
1567680628,6,7
1567689629,10,6
1567699228,5,5
1567713028,6,13
1567721428,5,0
1567728029,10,8
1567737627,5,11
1567747228,4,10
1567756227,5,6
1567765829,12,7
1567774228,8,13
1567789229,8,6
1567796428,8,3
1567803027,7,0
1567810228,8,7
1567819828,9,13
1567829429,7,0
1567837228,5,9
1567846228,5,9
