DateTime,AddedIPs,RemovedIPs
1567136647,7,5
1567137125,5,5
1567137618,5,7
1567138088,8,8
1567138566,6,6
1567139050,6,6
1567139525,8,8
1567140006,8,7
1567140489,7,3
1567140966,3,5
1567141686,8,12
1567142167,10,9
1567142646,9,9
1567143132,8,5
1567143605,7,10
1567144084,9,8
1567144569,9,9
1567145048,5,9
1567145526,11,11
1567146006,13,9
1567146731,6,6
1567147205,6,7
1567147929,11,8
1567148410,7,7
1567149127,8,8
1567149610,7,6
1567150086,6,10
1567150566,10,7
1567151051,9,6
1567151525,5,4
1567152016,3,8
1567152729,8,7
1567153209,7,5
1567153689,4,0
1567176967,1,1
1567177928,1,1
1567206018,1,1
1567206966,1,1
1567213686,4,12
1567214169,9,6
1567214644,6,6
1567215128,6,9
1567215604,11,10
1567216086,8,7
1567216564,10,8
1567217292,9,9
1567217768,8,15
1567218245,13,9
1567218727,7,5
1567219205,5,4
1567219688,6,5
1567220165,7,8
1567220646,7,5
1567221127,7,7
1567221607,7,10
1567222326,10,13
1567222810,10,11
1567223288,10,8
1567223766,8,7
1567224250,8,7
1567224726,8,6
1567225206,4,5
1567225930,4,7
1567226406,7,10
1567226885,10,8
1567227365,10,7
1567228087,4,6
1567228569,11,10
1567229047,7,6
1567229525,6,7
1567230006,8,9
1567230486,8,8
1567230970,8,10
1567231446,7,8
1567231927,11,13
1567232405,12,9
1567232890,12,9
1567233606,8,12
1567234329,8,5
1567234815,8,12
1567235286,11,8
1567235769,6,4
1567236245,5,7
1567236730,7,12
1567237205,10,3
1567237690,4,7
1567238166,9,14
1567238648,11,4
1567239125,3,4
1567239846,8,5
1567240326,3,1
1567242028,0,1
1567242487,1,0
1567256412,1,1
1567257131,1,1
1567295288,0,1
1567295765,1,0
1567300086,5,12
1567300569,7,5
1567301047,6,11
1567301525,10,7
1567302007,9,12
1567302485,10,8
1567302967,8,8
1567303451,8,6
1567303927,6,9
1567304405,9,5
1567304892,4,4
1567305366,3,5
1567305846,5,6
1567306325,7,5
1567306824,5,6
1567307529,6,4
1567308010,6,11
1567308485,12,8
1567308967,7,8
1567309444,8,8
1567309930,7,6
1567310414,5,7
1567311128,9,8
1567311610,5,3
1567312086,5,9
1567312805,8,7
1567313526,8,6
1567314026,5,6
1567314486,6,7
1567315212,9,12
1567315686,8,3
1567316164,3,4
1567316648,4,5
1567317127,8,4
1567317617,5,5
1567318326,10,14
1567319048,10,9
1567319524,11,7
1567320004,6,6
1567320487,6,5
1567321230,6,11
1567321687,8,10
1567322168,8,9
1567322645,9,8
1567323127,9,8
1567323605,9,6
1567324089,6,9
1567324812,14,10
1567325288,5,7
1567325771,7,5
1567326246,8,4
1567326728,1,0
1567354569,0,1
1567355046,1,0
1567386246,0,10
1567386727,16,12
1567387209,9,4
1567387688,5,11
1567388165,11,8
1567388645,7,8
1567389125,8,7
1567389628,7,8
1567390088,7,7
1567390565,6,6
1567391045,9,10
1567391529,7,4
1567392004,5,7
