DateTime,AddedIPs,RemovedIPs
1556409902,0,1
1556422501,0,1
1556422802,1,0
1556438102,1,1
1556439301,1,1
1556668801,0,1
1556697601,1,1
1556698202,1,1
1556709902,1,1
1556711101,1,0
1556727002,1,1
1556728201,1,1
1556762402,1,1
1556763002,1,1
1556791802,1,1
1556792702,1,1
1556836201,1,1
1556836802,1,0
1556841602,0,1
1556916901,1,1
1556917801,1,1
1556928302,0,1
1556941202,1,1
1556942402,1,1
1556944802,1,1
1556945702,1,1
1556987401,1,1
1556988301,1,1
1557007802,1,1
1557008701,1,1
1557014402,0,1
1557081602,1,1
1557082502,1,1
1557100802,0,1
1557111901,1,1
1557112202,1,1
1557119102,1,1
1557119401,1,1
1557187502,0,1
1557188701,1,1
1557189602,1,0
1557218702,1,1
1557219602,1,1
1557260702,1,1
1557262201,1,0
1557273602,0,1
1557305102,1,1
1557306302,1,0
1557323102,1,1
1557324002,1,1
1557363601,1,1
1557363901,1,1
1557369001,1,1
1557369902,1,0
1557512102,0,1
1557512702,1,0
1557599102,1,1
1557600001,1,1
1557616202,0,1
1557616802,1,0
1557644402,1,1
1557645001,1,1
1557803702,1,1
1557804602,1,1
1557877202,1,1
1557878101,1,1
1557921602,1,1
1557922502,1,0
1557945601,1,1
1557946502,1,0
1557963002,1,1
1557963902,1,0
1557964802,0,1
1557977402,1,1
1557978301,1,1
1557978902,1,1
1557985502,1,1
1557986402,1,1
1557989101,1,1
1557990302,1,1
1557991502,1,0
1557995401,1,1
1557996302,1,0
1558051501,0,1
1558052701,1,0
1558113902,1,1
1558114802,1,0
1558116302,1,0
1558120202,1,1
1558121101,1,1
1558141202,1,1
1558141501,1,1
1558159202,1,1
1558160102,1,0
1558161902,1,1
1558162802,1,1
1558215601,1,1
1558216801,1,0
1558224002,0,1
1558482301,1,1
1558483202,1,1
1558526102,1,1
1558527002,1,1
1558561202,1,1
1558562402,1,1
1558581902,0,1
1558582802,1,0
1558608301,0,1
1558674902,1,0
1558700402,0,1
1558701002,1,0
1558829101,0,1
1558832702,1,1
1558833002,1,0
1558860001,1,1
1558860902,1,0
1558910402,1,1
1558911602,1,1
1558924201,0,1
1558925702,1,0
1558926002,0,1
1558926902,1,0
1558932602,0,1
1558934402,1,0
1558995902,1,1
1558997102,1,0
1559002201,0,1
1559004902,1,1
1559005802,1,1
1559096702,0,1
1559097602,1,0
1559100302,1,1
1559101201,1,0
1559137502,1,1
1559138102,1,0
1559255101,1,1
1559256001,1,1
1559347202,0,1
1559360401,0,1
1559363402,1,0
1559433602,0,1
1559496301,0,1
1559545502,1,0
1559594402,1,1
1559595302,1,0
1559603402,0,1
1559604301,1,0
1559611802,1,1
1559612402,1,1
1559653502,1,0
1559865602,0,2
1559907002,1,1
1559907902,1,1
1559922602,0,1
1559922902,1,0
1559940602,1,1
1559941502,1,1
1559952001,0,1
1560003902,1,1
1560005102,1,0
1560007502,1,1
1560008402,1,1
1560038402,0,1
1560088202,0,1
1560088502,1,0
1560234602,1,1
1560235801,1,0
1560527102,0,1
1560528002,1,0
1560556802,0,3
1560559501,1,1
1560560101,1,1
1560579902,1,1
1560581102,1,1
1560643502,0,2
1560645902,1,1
1560647101,1,1
1560672602,1,1
1560673502,1,1
1560725701,1,1
1560726902,1,1
1560729302,1,1
1560730202,1,3
1560733501,1,1
1560733801,1,1
1560735902,1,1
1560737402,1,1
1560757202,1,1
1560758402,1,1
1560783302,1,1
1560816002,0,2
1560822602,1,1
1560823201,1,1
1561041902,1,1
1561043102,1,1
1561239001,1,1
1561239602,1,1
1561258802,1,1
1561259402,1,1
1561340702,1,1
1561342201,1,1
1561370102,1,1
1561371002,1,1
1561377602,1,1
1561378202,1,0
1561422302,0,1
1561423501,1,0
1561458602,1,1
1561459802,1,1
1561477502,1,1
1561478102,1,1
1561507501,0,2
1561552202,1,1
1561553102,1,1
1561572002,1,1
1561572301,1,1
1561584301,1,1
1561585201,1,1
1561593901,0,1
1561681802,1,1
1561683002,1,0
1561687801,1,1
1561689002,1,0
1561697102,1,1
1561697701,1,1
1561766401,0,2
1561798802,1,1
1561799401,1,0
1561898401,1,1
1561899602,1,0
1561928402,1,1
1561929002,1,0
1561964102,1,1
1561964401,1,1
1562087402,1,1
1562088302,1,1
1562117402,1,1
1562118302,1,0
1562132402,1,1
1562133302,1,1
1562176802,1,1
1562177402,1,1
1562198702,0,1
1562225401,0,1
1562226002,1,0
1562246702,1,1
1562247901,1,1
1562264702,1,1
1562265901,1,0
1562280302,1,1
1562281501,1,1
1562283902,1,1
1562284802,1,2
1562306401,1,1
1562307301,1,1
1562325902,1,1
1562327102,1,1
1562336702,1,1
1562337601,1,0
1562365802,0,1
1562366402,1,0
1562372701,0,1
1562373302,1,0
1562377202,1,1
1562378401,1,1
1562430301,1,1
1562431202,1,1
1562453101,1,1
1562453701,1,1
1562493902,1,1
1562494201,1,1
1562548501,1,1
1562549102,1,1
1562630701,0,1
1562773201,1,1
1562774102,1,1
1562795702,1,1
1562798401,1,1
1562808601,1,1
1562809502,1,0
1562833502,1,1
1562834701,1,1
1562852702,1,1
1562853602,1,1
1562889902,0,1
1562944202,0,1
1562944501,1,0
1562948702,0,1
1562949001,1,0
1562992502,1,1
1562992802,1,1
1563155701,1,1
1563156602,1,0
1563278702,1,1
1563279902,1,0
1563349502,1,1
1563350702,1,1
1563499501,1,1
1563500702,1,1
1563510602,0,1
1563511502,1,0
1563512102,1,1
1563580202,0,1
1563580802,1,0
1563833102,1,1
1563833401,1,1
1563860401,1,1
1563861302,1,1
1563914402,1,1
1563915902,1,1
1563921002,1,1
1563921902,1,1
1564012802,0,1
1564042202,0,1
1564045502,1,0
1564071301,0,1
1564071601,1,0
1564193102,1,1
1564193402,1,1
1564241401,0,1
1564242002,1,0
1564304101,0,1
1564307102,1,0
1564315502,1,0
1564323002,1,1
1564323902,1,1
1564332001,0,1
1564332602,1,0
1564358401,0,2
1564385402,1,1
1564385701,0,1
1564386601,1,0
1564444802,0,1
1564461602,1,1
1564462803,1,1
1564478104,1,1
1564478704,1,1
1564480505,1,1
1564481705,1,1
1564531810,0,2
1564565402,0,1
1564568101,1,0
1564593302,0,1
1564593602,1,0
1564626602,1,1
1564627202,1,1
1564649702,1,1
1564650601,1,1
1564681502,1,1
1564682702,1,1
1564732501,1,1
1564733402,1,1
1564763101,1,1
1564764302,1,1
1564790702,0,1
1564845902,0,1
1564847102,1,0
1564861801,1,1
1564862101,1,1
1564876802,0,1
1564896302,1,1
1564897201,1,0
1564908902,1,1
1564910102,1,1
1564943102,1,1
1564944302,1,1
1564955702,1,1
1564956601,1,1
1564957502,1,1
1564963502,0,1
1564982701,1,1
1564983302,1,1
1565013601,1,1
1565014202,1,1
1565017202,1,1
1565018102,1,0
1565057102,1,1
1565057402,1,1
1565065502,1,1
1565066402,1,1
1565069102,1,1
1565070002,1,1
1565079301,1,1
1565080502,1,1
1565080801,1,0
1565151001,1,1
1565474701,1,1
1565475002,1,1
1565481902,0,1
1565744701,1,1
1565745302,1,1
1565748002,1,1
1565748902,1,1
1565753402,1,1
1565754002,1,1
1565798101,1,1
1565799001,1,1
1565809202,1,1
1565809802,1,1
1565820002,1,1
1565820302,1,0
1565822701,1,1
1565823601,1,1
1565827201,0,1
1565867102,1,1
1565868002,1,1
1565875502,1,1
1565877002,1,1
1565905202,1,1
1565906101,1,1
1565913601,0,1
1565977502,1,1
1565978401,1,1
1566055802,1,1
1566056702,1,1
1566059402,1,1
1566060302,1,1
1566066301,1,1
1566067202,1,1
1566127502,1,1
1566128701,1,0
1566141001,1,1
1566142202,1,1
1566178801,1,1
1566180302,1,1
1566208502,1,1
1566209401,1,1
1566211202,1,1
1566212102,1,1
1566221102,1,1
1566222302,1,1
1566233101,1,1
1566234002,1,1
1566369902,1,1
1566370501,1,0
1566434401,1,1
1566435301,1,1
1566439802,1,1
1566440702,1,1
1566452402,1,1
1566453301,1,0
1566491402,1,1
1566492302,1,1
1566633302,1,1
1566633901,1,1
1566677102,1,1
1566677402,1,1
1566678601,1,1
1566693001,1,1
1566693602,1,1
1566696602,1,1
1566697201,1,0
1566699001,1,1
1566699902,1,1
1566719102,1,1
1566719701,1,1
1566753901,1,1
1566754801,1,1
1566773702,1,1
1566774302,1,1
1566835801,1,1
1566836701,1,1
1566918002,1,1
1566918601,1,1
1566950402,0,1
1566951302,1,1
1566951901,1,0
1566956701,1,1
1566957902,1,1
1567076702,1,1
1567077002,1,1
1567119601,1,1
1567120202,1,1
1567176902,1,1
1567177801,1,1
1567206001,1,1
1567206602,1,0
1567216802,0,1
1567217402,1,0
1567256402,0,1
1567257002,1,0
1567479902,0,1
1567480201,1,0
1567555502,0,1
1567599902,1,1
1567601402,1,1
1567622702,0,1
1567623902,1,0
1567641602,0,1
1567646702,1,1
1567647602,1,1
1567686601,1,1
1567687201,1,1
1567701902,1,1
1567703102,1,1
1567716901,1,1
1567717802,1,1
1567725902,1,1
1567727102,1,1
1567728002,0,1
