DateTime,AddedIPs,RemovedIPs
1545924063,23,17
1545967264,17,11
1546010450,14,17
1546053657,20,16
1546096856,18,27
1546140045,13,17
1546183247,15,19
1546226453,9,22
1546269645,16,23
1546312842,43,17
1546356039,17,14
1546399254,25,18
1546442443,17,11
1546485657,24,14
1546528848,23,22
1546572048,15,12
1546615249,27,33
1546658454,15,12
1546701650,22,17
1546744848,16,18
1546788037,19,16
1546831242,10,11
1546874448,34,17
1546917639,18,18
1546960843,19,17
1547004044,16,11
1547047244,17,22
1547090444,15,17
1547133653,15,20
1547176840,10,14
1547220051,35,31
1547263252,16,17
1547306450,22,21
1547349645,2,15
1547392836,34,20
1547436032,16,19
1547479270,17,29
1547522438,23,23
1547565639,32,29
1547608848,22,9
1547651142,18,18
1547694345,17,19
1547737521,114,26
1547780726,25,25
1547823936,30,42
1547868029,11,20
1547910348,22,18
1547953531,16,10
1547996744,20,32
1548039934,18,10
1548083135,27,20
1548126333,15,14
1548169548,18,20
1548213632,20,20
1548256832,17,27
1548300040,18,7
1548343237,30,117
1548386439,15,15
1548429628,29,37
1548472835,27,25
1548515140,23,20
1548558339,20,12
1548601535,26,23
1548644727,16,14
1548687939,17,37
1548731134,11,12
1548774340,28,22
1548817542,16,8
1548861623,23,28
1548904827,15,19
1548948941,27,20
1548992136,27,11
1549035332,37,26
1549078522,23,16
1549121710,25,23
1549164914,16,20
1549208115,33,21
1549251313,29,16
1549294512,29,25
1549337705,31,18
1549380919,28,22
1549424116,15,20
1549467315,20,24
1549510511,14,17
1549553730,18,38
1549596913,22,18
1549640120,16,32
1549683309,13,27
1549726524,14,31
1549769714,13,20
1549812926,19,32
1549856118,18,10
1549899325,22,27
1549942507,19,14
1549986625,18,29
1550029832,20,20
1550073022,18,35
1550137823,27,28
1550181014,16,26
1550224213,12,20
1550267413,67,28
1550310612,13,20
1550353825,26,18
1550397030,18,13
1550440230,32,11
1550483430,20,23
1550526638,29,29
1550569823,14,17
1550613030,36,11
1550656228,23,16
1550699426,21,19
1550742626,28,17
1550785820,21,11
1550829017,23,25
1550872255,32,31
1550915430,22,19
1550958624,26,20
1551001827,16,25
1551045022,29,34
1551088242,20,26
1551131434,24,33
1551174635,23,15
1551217828,24,31
1551261032,13,24
1551304222,25,24
1551347448,24,20
1551390630,33,36
1551433824,29,17
1551477050,28,24
1551520237,20,22
1551563433,19,32
1551606626,14,17
1551649836,18,29
1551693034,13,30
1551736239,40,20
1551779438,15,22
1551822634,32,18
1551865843,15,20
1551909037,22,25
1551952245,18,15
1551995440,33,21
1552038638,18,22
1552081844,15,20
1552125036,21,17
1552168238,18,18
1552211436,11,22
1552254641,22,17
1552297843,12,18
1552341031,161,17
1552384230,8,19
1552424744,30,20
1552467932,16,10
1552511143,39,18
1552554334,17,18
1552597534,24,17
1552640724,14,26
1552683925,26,21
1552727121,12,18
