DateTime,Entries,UniqueIPs
1545924063,1452,1452
1545967264,1458,1458
1546010450,1455,1455
1546053657,1459,1459
1546096856,1450,1450
1546140045,1446,1446
1546183247,1442,1442
1546226453,1429,1429
1546269645,1422,1422
1546312842,1448,1448
1546356039,1451,1451
1546399254,1458,1458
1546442443,1464,1464
1546485657,1474,1474
1546528848,1475,1475
1546572048,1478,1478
1546615249,1472,1472
1546658454,1475,1475
1546701650,1480,1480
1546744848,1478,1478
1546788037,1481,1481
1546831242,1480,1480
1546874448,1497,1497
1546917639,1497,1497
1546960843,1499,1499
1547004044,1504,1504
1547047244,1499,1499
1547090444,1497,1497
1547133653,1492,1492
1547176840,1488,1488
1547220051,1492,1492
1547263252,1491,1491
1547306450,1492,1492
1547349645,1479,1479
1547392836,1493,1493
1547436032,1490,1490
1547479270,1478,1478
1547522438,1478,1478
1547565639,1481,1481
1547608848,1494,1494
1547651142,1494,1494
1547694345,1492,1492
1547737521,1580,1580
1547780726,1580,1580
1547823936,1568,1568
1547868029,1559,1559
1547910348,1563,1563
1547953531,1569,1569
1547996744,1557,1557
1548039934,1565,1565
1548083135,1572,1572
1548126333,1573,1573
1548169548,1571,1571
1548213632,1571,1571
1548256832,1561,1561
1548300040,1572,1572
1548343237,1485,1485
1548386439,1485,1485
1548429628,1477,1477
1548472835,1479,1479
1548515140,1482,1482
1548558339,1490,1490
1548601535,1493,1493
1548644727,1495,1495
1548687939,1475,1475
1548731134,1474,1474
1548774340,1480,1480
1548817542,1488,1488
1548861623,1483,1483
1548904827,1479,1479
1548948941,1486,1486
1548992136,1502,1502
1549035332,1513,1513
1549078522,1520,1520
1549121710,1522,1522
1549164914,1518,1518
1549208115,1530,1530
1549251313,1543,1543
1549294512,1547,1547
1549337705,1560,1560
1549380919,1566,1566
1549424116,1561,1561
1549467315,1557,1557
1549510511,1554,1554
1549553730,1534,1534
1549596913,1538,1538
1549640120,1522,1522
1549683309,1508,1508
1549726524,1491,1491
1549769714,1484,1484
1549812926,1471,1471
1549856118,1479,1479
1549899325,1474,1474
1549942507,1479,1479
1549986625,1468,1468
1550029832,1468,1468
1550073022,1451,1451
1550137823,1450,1450
1550181014,1440,1440
1550224213,1432,1432
1550267413,1471,1471
1550310612,1464,1464
1550353825,1472,1472
1550397030,1477,1477
1550440230,1498,1498
1550483430,1495,1495
1550526638,1495,1495
1550569823,1492,1492
1550613030,1517,1517
1550656228,1524,1524
1550699426,1526,1526
1550742626,1537,1537
1550785820,1547,1547
1550829017,1545,1545
1550872255,1546,1546
1550915430,1549,1549
1550958624,1555,1555
1551001827,1546,1546
1551045022,1541,1541
1551088242,1535,1535
1551131434,1526,1526
1551174635,1534,1534
1551217828,1527,1527
1551261032,1516,1516
1551304222,1517,1517
1551347448,1521,1521
1551390630,1518,1518
1551433824,1530,1530
1551477050,1534,1534
1551520237,1532,1532
1551563433,1519,1519
1551606626,1516,1516
1551649836,1505,1505
1551693034,1488,1488
1551736239,1508,1508
1551779438,1501,1501
1551822634,1515,1515
1551865843,1510,1510
1551909037,1507,1507
1551952245,1510,1510
1551995440,1522,1522
1552038638,1518,1518
1552081844,1513,1513
1552125036,1517,1517
1552168238,1517,1517
1552211436,1506,1506
1552254641,1511,1511
1552297843,1505,1505
1552341031,1649,1649
1552384230,1638,1638
1552424744,1648,1648
1552467932,1654,1654
1552511143,1675,1675
1552554334,1674,1674
1552597534,1681,1681
1552640724,1669,1669
1552683925,1674,1674
1552727121,1668,1668
1552770321,1666,1666
1552813529,1667,1667
1552856736,1669,1669
1552899941,1667,1667
1552943127,1545,1545
1552986322,1557,1557
1553029525,1558,1558
1553072730,1559,1559
1553115925,1566,1566
1553159127,1563,1563
1553202325,1559,1559
1553245524,1556,1556
1553288712,1556,1556
1553331915,1543,1543
1553375120,1533,1533
1553418339,1520,1520
1553461527,1505,1505
1553504718,1498,1498
1553547913,1486,1486
1553591121,1483,1483
1553634329,1490,1490
1553677529,1497,1497
1553720729,1496,1496
1553763923,1491,1491
1553807114,1491,1491
1553850322,1489,1489
1553893521,1501,1501
1553936733,1507,1507
1553979914,1502,1502
1554023132,1499,1499
1554066324,1494,1494
1554109533,1498,1498
1554152722,1503,1503
1554195925,1499,1499
1554239117,1502,1502
1554282325,1508,1508
1554325521,1511,1511
1554368722,1512,1512
1554411931,1508,1508
1554455125,1499,1499
1554498328,1506,1506
1554541521,1510,1510
1554584719,1536,1536
1554627933,1554,1554
1554671134,1565,1565
1554714322,1591,1591
1554757530,1585,1585
1554800728,1576,1576
1554843929,1602,1602
1554887129,1582,1582
1554930335,1582,1582
1554973524,1578,1578
1555016731,1563,1563
1555059924,1557,1557
1555103130,1554,1554
1555146320,1559,1559
1555189531,1555,1555
1555232731,1560,1560
1555275929,1549,1549
1555320024,1544,1544
1555363222,1562,1562
1555406428,1579,1579
1555449617,1563,1563
1555492829,1573,1573
1555536023,1600,1600
1555579221,1613,1613
1555622429,1617,1617
1555665620,1619,1619
1555708841,1604,1604
1555752023,1606,1606
1555795234,1610,1610
1555838421,1610,1610
1555881623,1598,1598
1555924827,1594,1594
1555968024,1598,1598
1556011216,1597,1597
1556054433,1605,1605
1556097618,1606,1606
1556140826,1588,1588
1556184021,1586,1586
1556227228,1568,1568
1556270427,1551,1551
1556313625,1531,1531
1556356824,1504,1504
1556400021,1497,1497
1556443222,1497,1497
1556486423,1489,1489
1556529622,1487,1487
1556572834,1490,1490
