DateTime,AddedIPs,RemovedIPs
1567488723,0,11
1567489922,0,5
1567491123,2,0
1567491724,7,1
1567492322,7,39
1567492923,1,1
1567493522,2,1
1567494122,2,0
1567494722,2,1
1567495322,3,2
1567496523,7,0
1567497122,6,2
1567498322,2,3
1567498922,6,1
1567500123,7,6
1567500723,5,4
1567501322,2,0
1567501922,3,1
1567502522,4,24
1567503123,2,7
1567503722,3,1
1567504322,6,0
1567504922,2,0
1567505522,0,4
1567506122,5,0
1567506723,0,2
1567507322,4,0
1567507922,1,4
1567508522,2,0
1567509123,1,25
1567509723,0,4
1567511522,0,3
1567512122,1,0
1567512722,7,4
1567513323,3,0
1567513923,3,0
1567514523,1,12
1567515122,4,17
1567515722,5,5
1567516922,7,2
1567518123,6,1
1567518722,1,0
1567519322,1,1
1567519923,5,0
1567520522,0,2
1567522322,4,3
1567522922,1,0
1567523522,4,2
1567524122,6,0
1567524722,0,4
1567525323,2,4
1567526523,1,0
1567527723,13,0
1567528322,4,1
1567528922,1,4
1567529522,1,0
1567530123,3,3
1567530723,0,1
1567531322,12,0
1567531922,0,2
1567532522,1,0
1567533123,0,2
1567533723,2,1
1567534323,5,3
1567534922,6,2
1567535523,2,1
1567536123,1,0
1567536722,2,1
1567537323,2,2
1567537923,2,1
1567538523,2,2
1567539723,5,2
1567540323,0,2
1567540922,4,0
1567541522,5,0
1567542122,2,4
1567542722,7,0
1567543322,2,0
1567543923,1,1
1567544523,5,6
1567545122,1,2
1567546923,3,4
1567547522,1,0
1567548122,4,0
1567548722,3,5
1567549322,6,0
1567549923,18,2
1567550523,11,7
1567551122,1,0
1567551722,9,0
1567552922,1,1
1567553522,1,5
1567554122,1,4
1567554723,10,4
1567555323,2,0
1567556522,2,3
1567557123,5,4
1567557722,3,0
1567558322,1,5
1567558923,4,5
1567559523,3,3
1567560122,4,1
1567560722,0,2
1567561322,2,1
1567561923,1,0
1567562522,2,3
1567563122,5,4
1567563722,2,0
1567564322,2,1
1567564922,1,13
1567565522,3,0
1567566122,3,0
1567566722,1,2
1567567322,1,5
1567568522,3,0
1567569122,1,1
1567569722,3,14
1567570323,1,4
1567570922,2,5
1567571522,5,0
1567572122,23,3
1567572722,2,14
1567573323,0,1
1567573923,1,3
1567574522,2,1
1567575122,1,0
1567575723,4,0
1567576322,1,5
1567576922,8,1
1567577523,0,3
1567578122,3,0
1567579323,2,6
1567580522,2,21
1567581122,6,5
1567581722,0,5
1567582322,4,3
1567582922,1,0
1567583522,0,3
1567584122,3,2
1567585322,1,11
1567586522,2,0
1567587122,5,6
1567587722,4,2
1567588322,9,1
1567588922,0,3
1567590122,4,7
1567590722,1,0
1567591322,3,13
1567591922,3,1
1567592523,9,4
1567593122,4,0
1567593722,5,0
1567594322,4,9
1567594922,2,1
1567595522,4,0
1567596123,3,4
1567596723,4,7
1567597322,3,0
1567598522,2,5
1567599122,1,1
1567599722,4,0
1567600322,3,2
1567600923,0,3
1567601522,0,4
1567602723,5,7
1567603323,4,4
1567604522,4,0
1567605123,10,2
1567605723,21,0
1567606322,1,0
1567606922,1,0
1567608123,6,4
1567608722,14,0
1567609322,3,5
1567609922,0,2
1567610522,6,1
1567611122,3,15
1567611722,4,1
1567612922,1,7
1567613522,4,2
1567614122,2,0
1567614722,8,0
1567615323,2,4
1567616522,4,1
1567617123,2,2
1567617723,5,0
1567618322,2,2
1567618922,4,0
1567620122,1,10
1567620722,1,2
1567621322,3,1
1567621922,3,0
1567622522,31,0
1567623723,2,17
1567624323,2,10
1567624923,2,2
1567625522,3,4
1567626122,5,0
1567626722,4,10
1567627322,1,3
1567627922,5,0
1567628523,4,4
1567629122,3,20
1567629722,1,17
1567630322,1,17
1567630923,19,0
1567631523,0,6
1567632122,4,0
1567633323,5,3
1567634522,2,2
1567635722,3,16
1567636322,2,3
1567636922,2,0
1567637523,4,28
1567638122,2,2
1567638723,16,1
1567639323,0,4
1567641123,5,17
1567642323,2,2
1567643522,3,2
1567644122,3,5
1567644722,3,0
1567645322,13,0
1567645922,1,1
1567646522,9,4
1567647122,2,0
1567647722,4,3
1567648322,4,0
1567648923,3,0
1567649522,4,7
1567650123,0,4
1567651322,3,0
1567651922,6,1
1567652522,2,2
1567653122,4,3
1567653722,5,0
1567654322,0,7
1567654922,0,3
1567655523,1,0
1567656122,0,14
1567656722,1,0
1567657322,2,7
1567657922,4,0
1567658522,3,1
1567659122,3,3
1567659722,9,0
1567660322,2,9
1567660922,3,1
1567661522,6,0
1567662123,6,5
1567663322,4,1
1567663922,5,1
1567664522,3,32
1567665722,2,0
1567666323,6,1
1567666922,1,0
1567667523,25,0
1567668122,4,6
1567669322,7,19
1567669923,3,0
1567670523,2,3
1567671123,1,0
1567671722,4,2
1567672322,0,1
1567672922,0,3
1567673523,9,0
1567674722,5,4
1567676523,3,12
1567677123,3,0
1567677722,2,8
1567678322,2,0
1567679522,1,8
1567680122,2,2
1567680722,1,0
1567681323,2,5
1567681922,7,0
1567682523,3,0
1567683122,2,7
1567684322,5,2
1567684922,1,2
1567686722,3,30
1567687323,7,1
1567688523,6,4
1567689122,3,9
1567689722,4,0
1567690323,7,2
1567690922,2,0
1567691522,4,12
1567692722,3,5
1567693323,2,1
1567693923,6,0
1567694522,1,2
1567695722,1,0
1567696923,5,8
1567697523,3,0
1567698122,4,2
1567699322,5,7
1567699922,2,0
1567700522,2,3
1567701723,3,0
1567702923,0,6
1567703522,0,3
1567704122,1,2
1567704723,5,1
1567705923,3,5
1567706523,5,2
1567707123,1,0
1567707722,2,10
1567708322,5,0
1567708924,8,0
1567709522,2,24
1567710122,4,0
1567710722,4,2
1567711322,1,7
1567711922,4,0
1567712522,5,0
1567713123,4,5
1567713722,1,2
1567714922,7,2
1567716122,2,0
1567716722,3,0
1567717322,4,16
1567717922,4,0
1567718522,3,2
1567719122,4,1
1567719723,1,6
1567720324,3,0
1567720922,20,1
1567722122,1,2
1567722722,1,2
1567723323,1,29
1567723923,2,1
1567724522,4,0
1567725122,1,6
1567725722,2,0
1567726323,2,1
1567726922,6,3
1567727523,0,2
1567728123,16,8
1567729322,1,0
1567729922,2,0
1567730522,1,0
1567731123,1,1
1567731723,3,0
1567732922,2,13
1567734122,3,1
1567735322,4,0
1567735922,3,36
1567736522,18,0
1567737123,1,1
1567737723,5,0
1567738322,1,4
1567739522,1,3
1567740122,3,3
1567740722,4,0
1567741322,6,2
1567741922,1,0
1567742522,2,2
1567743122,3,0
1567743722,3,1
1567744922,4,4
1567745522,8,0
1567746723,2,1
1567747323,1,0
1567747923,1,1
1567748523,11,0
1567750322,13,6
1567751522,4,1
1567752122,3,0
1567752723,11,4
1567753322,9,2
1567754522,2,1
1567755122,3,2
1567755722,2,0
1567756323,2,9
1567756922,4,1
1567758122,2,4
1567758722,2,2
1567759922,1,1
1567761122,1,5
1567761722,11,5
1567762322,2,13
1567762922,2,2
1567763523,2,0
1567764122,1,6
1567764722,0,2
1567765322,4,1
1567765922,0,2
1567766523,11,1
1567767123,5,0
1567768322,1,2
1567768922,1,0
1567770122,9,3
1567771922,2,12
1567772522,2,19
1567773122,0,3
1567773722,9,0
1567774322,5,7
1567774922,3,0
1567776122,6,2
1567777323,6,3
1567778522,2,2
1567779122,4,3
1567779722,30,1
1567780922,3,5
1567781522,1,4
1567782122,3,3
1567782723,12,0
1567783323,1,0
1567783922,2,5
1567784522,3,0
1567785722,4,6
1567786323,6,2
1567786922,3,1
1567787522,5,3
1567788723,5,5
1567789322,2,0
1567789922,2,1
1567790523,3,0
1567791122,2,7
1567791722,3,0
1567792922,6,2
1567794123,3,2
1567794722,2,3
1567795923,6,4
1567796522,3,0
1567797123,1,3
1567797722,1,0
1567798922,6,2
1567799522,5,6
1567801322,5,1
1567802522,4,6
1567803722,1,5
1567804922,5,4
1567805523,4,15
1567806123,3,0
1567806722,2,2
1567807323,4,0
1567807922,6,2
1567808522,10,0
1567809123,4,4
1567809722,4,0
1567810322,3,1
1567811522,3,4
1567812122,3,0
1567812723,1,0
1567813322,1,3
1567813922,8,2
1567814523,3,0
1567815123,2,3
1567816323,3,1
1567816922,1,0
1567817522,2,2
1567818122,2,11
1567818722,4,0
1567819322,1,0
1567819923,2,2
1567820522,0,4
1567821122,0,1
1567821723,2,1
1567822323,4,0
1567822923,2,0
1567824122,2,0
1567825323,2,0
1567825922,1,0
1567826522,9,0
1567827122,1,0
1567827722,1,0
1567828922,5,2
1567829522,5,29
1567830122,1,37
1567831323,2,0
1567831922,4,4
1567832523,4,2
1567834322,2,6
1567834923,2,1
1567836123,3,0
1567836723,3,5
1567837322,9,6
1567837922,6,0
1567838523,1,0
1567839122,0,2
1567839722,8,9
1567840322,3,3
1567840922,1,4
1567841522,3,0
1567842122,5,0
1567842722,2,0
1567843322,7,1
1567843923,3,4
1567844522,3,0
1567845122,1,0
1567845722,0,7
1567846323,1,0
1567846922,3,0
1567848122,3,2
1567848722,3,5
1567849323,2,0
1567850522,3,4
1567851124,3,0
