DateTime,AddedIPs,RemovedIPs
1567475522,18,6
1567476123,5,11
1567476722,12,17
1567477322,3,2
1567478522,19,0
1567479122,1,0
1567480322,9,9
1567480922,2,0
1567481522,3,2
1567482123,1,1
1567483322,3,1
1567483923,4,7
1567484522,4,0
1567485122,9,3
1567485722,11,2
1567486322,4,0
1567486922,10,2
1567487522,6,3
1567488122,3,5
1567489322,9,1
1567489922,15,15
1567490522,2,5
1567491123,4,0
1567491724,0,3
1567492322,2,0
1567492923,4,0
1567493522,4,3
1567494722,11,22
1567495321,9,0
1567496523,12,2
1567497122,8,11
1567498322,11,0
1567498922,0,3
1567500122,3,1
1567500723,5,3
1567501322,3,1
1567501922,2,4
1567503123,0,9
1567503722,2,0
1567504322,1,2
1567504922,1,0
1567506122,1,2
1567507322,2,0
1567507921,2,0
1567509123,2,0
1567510323,1,0
1567510922,3,1
1567511522,0,1
1567512722,0,1
1567513322,1,0
1567514522,0,1
1567516322,2,0
1567516922,2,0
1567518722,2,1
1567519322,2,7
1567519923,1,0
1567520522,7,0
1567521122,1,3
1567521722,0,1
1567522322,2,0
1567522922,3,0
1567523522,16,1
1567524122,2,0
1567524722,1,1
1567525323,3,4
1567525922,3,9
1567526522,15,0
1567527122,2,0
1567527723,16,8
1567528322,1,12
1567528922,0,4
1567530122,1,10
1567530722,11,0
1567531322,4,1
1567531922,0,4
1567532522,6,4
1567533123,10,0
1567533722,2,3
1567534323,1,5
1567534922,6,1
1567535523,5,2
1567536123,7,2
1567536722,2,2
1567537323,2,0
1567537922,0,1
1567539123,1,0
1567539723,0,1
1567540323,0,2
1567540922,9,0
1567542122,2,0
1567542722,15,0
1567543922,0,2
1567545122,5,0
1567545722,2,13
1567546322,5,5
1567546922,1,1
1567547522,3,1
1567548122,2,0
1567548722,2,9
1567549322,0,2
1567549922,0,15
1567550522,1,0
1567551722,0,13
1567552322,2,5
1567552922,4,1
1567553521,5,0
1567554122,0,3
1567554723,1,0
1567555323,2,14
1567556522,2,2
1567557123,0,6
1567558322,2,1
1567558922,1,0
1567560122,1,2
1567560722,4,2
1567561322,5,1
1567561923,3,0
1567562522,3,0
1567563122,2,3
1567563722,21,1
1567564322,2,0
1567564922,17,1
1567565522,0,1
1567566122,1,0
1567566722,19,9
1567567322,0,5
1567567922,9,0
1567568522,0,4
1567569122,11,0
1567569722,16,10
1567570322,1,0
1567570922,3,4
1567572122,3,2
1567572722,15,0
1567573323,3,6
1567573923,4,2
1567574522,5,1
1567575122,7,0
1567575722,1,0
1567576322,2,0
1567576922,1,5
1567578122,0,1
1567578723,2,2
1567579323,3,0
1567579922,2,1
1567580522,2,4
1567581122,20,0
1567581722,0,2
1567582322,6,0
1567584122,20,8
1567584723,1,0
1567585322,0,5
1567585922,5,0
1567586522,1,4
1567587122,4,3
1567587722,2,7
1567588322,6,17
1567589522,5,5
1567590122,0,2
1567591322,1,2
1567591922,2,3
1567592522,3,3
1567593121,1,0
1567593722,5,0
1567594322,2,1
1567594922,3,1
1567595522,3,0
1567596122,0,6
1567597322,0,3
1567599122,3,3
1567600922,2,0
1567601522,0,1
1567602122,3,0
1567603322,0,1
1567604522,1,2
1567605723,1,1
1567606322,2,1
1567606922,3,1
1567607522,1,1
1567608122,0,2
1567608722,0,3
1567609322,5,0
1567609922,0,1
1567610522,0,6
1567611121,16,0
1567611722,0,2
