DateTime,Entries,UniqueIPs
1567475522,8095,8382
1567476123,8088,8376
1567476722,8083,8371
1567477322,8084,8372
1567478522,8103,8391
1567479122,8104,8392
1567480322,8106,8392
1567480922,8108,8394
1567481522,8109,8395
1567482123,8109,8395
1567483322,8111,8397
1567483923,8109,8394
1567484522,8113,8398
1567485122,8119,8404
1567485722,8128,8413
1567486322,8132,8417
1567486922,8140,8425
1567487522,8143,8428
1567488122,8143,8426
1567489322,8151,8434
1567489922,8151,8434
1567490522,8148,8431
1567491123,8152,8435
1567491724,8149,8432
1567492322,8151,8434
1567492923,8154,8438
1567493522,8155,8439
1567494722,8145,8428
1567495321,8152,8437
1567496523,8162,8447
1567497122,8159,8444
1567498322,8170,8455
1567498922,8167,8452
1567500122,8168,8454
1567500723,8170,8456
1567501322,8172,8458
1567501922,8170,8456
1567503123,8161,8447
1567503722,8162,8449
1567504322,8161,8448
1567504922,8160,8449
1567506122,8159,8448
1567507322,8161,8450
1567507921,8163,8452
1567509123,8165,8454
1567510323,8166,8455
1567510922,8168,8457
1567511522,8167,8456
1567512722,8166,8455
1567513322,8167,8456
1567514522,8166,8455
1567516322,8168,8457
1567516922,8170,8459
1567518722,8171,8460
1567519322,8166,8455
1567519923,8167,8456
1567520522,8174,8463
1567521122,8172,8461
1567521722,8171,8460
1567522322,8173,8462
1567522922,8176,8465
1567523522,8191,8480
1567524122,8193,8482
1567524722,8193,8482
1567525323,8192,8481
1567525922,8186,8475
1567526522,8200,8490
1567527122,8202,8492
1567527723,8210,8500
1567528322,8199,8489
1567528922,8195,8485
1567530122,8186,8476
1567530722,8196,8487
1567531322,8198,8490
1567531922,8194,8486
1567532522,8196,8488
1567533123,8206,8498
1567533722,8205,8497
1567534323,8201,8493
1567534922,8206,8498
1567535523,8209,8501
1567536123,8214,8506
1567536722,8213,8506
1567537323,8215,8508
1567537922,8214,8507
1567539123,8215,8508
1567539723,8214,8507
1567540323,8212,8505
1567540922,8221,8514
1567542122,8223,8516
1567542722,8237,8531
1567543922,8235,8529
1567545122,8240,8534
1567545722,8228,8523
1567546322,8227,8523
1567546922,8227,8523
1567547522,8229,8525
1567548122,8231,8527
1567548722,8224,8520
1567549322,8222,8518
1567549922,8208,8503
1567550522,8209,8504
1567551722,8196,8491
1567552322,8193,8488
1567552922,8196,8491
1567553521,8201,8496
1567554122,8198,8493
1567554723,8199,8494
1567555323,8188,8482
1567556522,8188,8482
1567557123,8182,8476
1567558322,8183,8477
1567558922,8184,8478
1567560122,8183,8477
1567560722,8185,8479
1567561322,8189,8483
1567561923,8192,8486
1567562522,8195,8489
1567563122,8194,8488
1567563722,8214,8508
1567564322,8216,8510
1567564922,8232,8526
1567565522,8231,8525
1567566122,8232,8526
1567566722,8241,8536
1567567322,8236,8531
