DateTime,AddedIPs,RemovedIPs
1567517523,45,45
1567518122,90,90
1567518722,79,79
1567519322,40,40
1567519923,81,81
1567520522,30,30
1567521122,65,65
1567521722,92,92
1567522322,12,12
1567522922,49,49
1567523522,94,94
1567524122,31,31
1567524722,11,11
1567525323,50,50
1567525922,58,58
1567526522,98,98
1567527122,35,35
1567527723,75,75
1567528322,17,17
1567528922,21,21
1567530122,35,35
1567530722,85,85
1567531322,58,58
1567531922,36,36
1567532522,94,94
1567533123,98,98
1567533722,56,56
1567534323,54,54
1567534922,75,75
1567535523,31,31
1567536123,100,100
1567536722,77,77
1567537323,83,83
1567537922,9,9
1567538522,78,78
1567539123,35,35
1567539723,30,30
1567540323,17,17
1567540922,82,82
1567541522,38,38
1567542122,65,65
1567542722,96,96
1567543322,40,40
1567543922,22,22
1567544522,10,10
1567545122,63,63
1567545722,57,57
1567546322,94,94
1567546922,93,93
1567547522,26,26
1567548122,92,92
1567548722,71,71
1567549322,58,58
1567549922,33,33
1567550522,94,94
1567551122,58,58
1567551722,73,73
1567552322,62,62
1567552922,91,91
1567553521,91,91
1567554122,40,40
1567554723,54,54
1567555323,53,53
1567556522,100,100
1567557123,49,49
1567557722,11,11
1567558322,63,63
1567558922,28,28
1567560122,99,99
1567560722,72,72
1567561322,87,87
1567561923,60,60
1567562522,50,50
1567563122,57,57
1567563722,80,80
1567564322,55,55
1567564922,75,75
1567565522,41,41
1567566122,46,46
1567566722,73,73
1567567322,34,34
1567567922,48,48
1567568522,21,21
1567569122,65,65
1567569722,83,83
1567570322,40,40
1567570922,43,43
1567572122,100,100
1567572722,98,98
1567573323,70,70
1567573923,51,51
1567574522,50,50
1567575122,73,73
1567575722,53,53
1567576322,62,62
1567576922,45,45
1567577522,54,54
1567578122,74,74
1567578723,57,57
1567579323,48,48
1567579922,48,48
1567580522,51,51
1567581122,99,99
1567581722,44,44
1567582322,74,74
1567582922,65,65
1567584122,100,100
1567584723,45,45
1567585322,34,34
1567585922,100,100
1567586522,94,94
1567587122,59,59
1567587722,40,40
1567588322,72,72
1567589522,100,100
1567590122,48,48
1567590722,52,52
1567591322,77,77
1567591922,60,60
1567592522,64,64
1567593121,63,63
1567593722,96,96
1567594322,60,60
1567594922,48,48
1567595522,63,63
1567596122,51,51
1567597322,63,63
1567598521,87,87
1567599122,100,100
1567599722,67,67
1567600322,13,13
1567600922,93,93
1567601522,41,41
1567602122,67,67
1567603322,74,74
1567603922,41,41
1567604522,45,45
1567605122,67,67
1567605723,19,19
1567606322,35,35
1567606922,97,97
1567607522,30,30
1567608122,4,4
1567608722,12,12
1567609322,70,70
1567609922,25,25
1567610522,57,57
1567611121,97,97
1567611722,26,26
1567612322,20,20
1567612922,1,1
1567614122,100,100
1567614722,45,45
1567615323,31,31
1567615922,56,56
1567616522,55,55
1567617122,83,83
1567617723,93,93
1567618322,100,100
1567618922,49,49
1567620122,100,100
1567620722,80,80
1567621322,100,100
1567621922,66,66
1567622522,70,70
1567623723,100,100
1567624323,76,76
1567624922,100,100
1567625522,43,43
1567626121,45,45
1567626722,48,48
1567627322,84,84
1567628523,100,100
1567629122,91,91
1567629722,90,90
1567630322,64,64
1567630923,100,100
1567631523,49,49
1567632122,40,40
1567633323,74,74
1567634522,100,100
1567635122,85,85
1567635722,55,55
1567636922,100,100
1567637523,60,60
1567638122,83,83
1567638723,75,75
1567639323,82,82
1567639922,27,27
1567640522,29,29
1567641123,49,49
1567641723,94,94
1567642322,72,72
1567642922,81,81
1567643522,49,49
1567644122,73,73
1567645322,67,67
1567645922,59,59
1567646522,11,11
1567647122,14,14
1567647722,68,68
1567648322,36,36
1567648923,15,15
1567650123,90,90
1567650723,86,86
1567651322,48,48
1567651922,40,40
1567652522,73,73
1567653122,63,63
1567653722,88,88
1567654322,71,71
1567654922,62,62
