DateTime,AddedIPs,RemovedIPs
1565639102,279,0
1565643602,168,0
1565647202,130,0
1565650802,151,0
1565655301,139,2771
1565661602,203,0
1565665202,126,0
1565672402,237,0
1565676002,136,0
1565679602,147,0
1565684102,220,0
1565691302,319,0
1565694902,165,0
1565698502,148,0
1565702102,141,0
1565705702,134,0
1565709302,125,0
1565713802,140,0
1565717402,108,0
1565724601,205,0
1565729102,133,0
1565732702,136,0
1565736302,153,0
1565739902,145,0
1565743502,121,3619
1565747102,107,1
1565750702,124,0
1565754302,125,0
1565761501,245,0
1565763302,69,0
1565767802,172,0
1565771402,117,0
1565775002,121,0
1565778602,128,0
1565782202,142,0
1565785801,131,0
1565793002,225,0
1565797502,148,0
1565801102,102,0
1565804702,96,0
1565808302,98,1
1565815501,259,0
1565823601,215,0
1565827202,110,3090
1565829902,74,0
1565833502,158,0
1565841601,270,0
1565845202,106,0
1565847902,80,0
1565851501,119,0
1565859602,349,0
1565863202,132,0
1565866802,164,0
1565870402,152,0
1565874001,131,0
1565881201,298,0
1565884802,132,0
1565888402,155,0
1565892002,171,0
1565896502,147,0
1565900102,111,0
1565907301,177,0
1565910901,95,0
1565914502,117,2839
1565919002,125,0
1565922602,95,0
1565929802,251,0
1565933401,141,0
1565937001,139,0
1565941502,224,0
1565945102,166,0
1565948702,154,0
1565952301,174,0
1565955902,180,0
1565964002,404,0
1565967602,145,0
1565971202,156,0
1565974802,149,0
1565978402,104,0
1565982001,105,0
1565985602,172,0
1565989202,476,0
1565992802,121,0
1565996402,97,0
1566000002,84,3108
1566003602,115,0
1566008102,145,0
1566011702,118,0
1566018902,224,0
1566023401,176,0
1566027901,180,0
1566031502,108,0
1566038701,297,0
1566042302,169,0
1566046802,188,0
1566050402,139,0
1566054002,387,0
1566057602,120,0
1566061202,120,0
1566064802,130,0
1566072002,239,0
1566075603,113,0
1566080101,128,0
1566087302,257,3702
1566090902,154,0
1566098102,315,0
1566102602,198,0
1566106201,141,0
1566113402,322,0
1566120601,287,0
1566127802,294,0
