DateTime,AddedIPs,RemovedIPs
1524589216,1452,1463
1524675616,1685,1164
1524762015,1527,1264
1524848414,1878,1552
1524934815,1100,1071
1525021215,1070,1424
1525107616,1747,1394
1525194015,1505,1560
1525280415,1767,1703
1525366815,1804,1269
1525453215,1716,1479
1525539615,1418,1340
1525626015,1171,1474
1525712415,1668,1466
1525798816,1796,1407
1525885215,1868,1802
1525971615,1517,1631
1526058015,1718,1155
1526144414,1549,1083
1526230815,1293,2187
1526385615,3108,2803
1526472015,1905,1617
1526558415,1518,1315
1526644814,4473,1568
1526731215,7462,1422
1526817615,3107,1214
1526904015,4612,2198
1526990415,1946,1817
1527076816,1633,1368
1527163215,1462,1507
1527249615,1424,1696
1527336015,1699,1010
1527422415,976,1392
1527508815,1309,1675
1527595216,1295,1455
1527681615,1473,1801
1527768015,1576,1212
1527854416,1229,1549
1527940814,1088,1348
1528027215,961,1492
1528113615,1075,1533
1528200015,1708,1974
1528286415,1238,3705
1528372815,1270,2980
1528459215,1197,2132
1528545615,1421,1601
1528632015,1075,1960
1528718416,1251,2448
1528804815,1748,1834
1528891215,1308,1360
1528977615,1355,1750
1529064015,1287,1546
1529150415,912,2132
1529236816,1259,1711
1529323215,953,1788
1529409615,1318,2149
1529496016,1306,1473
1529582414,1324,2266
1529668814,1069,1444
1529755217,1077,1184
1529841615,1027,1371
1529928015,1161,1779
1530014415,1330,1226
1530100815,1186,1623
1530187215,1195,1502
1530273615,1171,1096
1530360015,959,1180
1530446416,962,1192
1530532815,1194,1315
1530619215,1723,1506
1530705614,1429,1277
1530792016,1485,1158
1530878416,1340,1333
1530964816,1323,856
1531051215,1269,1213
1531137616,1453,1763
1531224016,1536,1558
1531310417,2004,1278
1531396817,1728,3125
1531483215,1471,1531
1531569615,1739,960
1531656017,1062,1066
1531742415,1509,1915
1531828816,1801,1366
1531915216,3498,1272
1532001616,3138,2024
1532088016,2782,1388
1532174417,2304,2009
1532260815,1276,1687
1532347216,1431,1357
1532433615,1831,1502
1532520015,1283,1481
1532606416,1896,1400
1532692815,1760,1032
1532779216,1967,1071
1532865616,1351,1214
1532952016,1678,1751
1533038416,2066,1625
1533124815,2640,1785
1533211216,2235,1513
1533297615,1851,1557
1533384015,1545,1249
1533470415,1656,1421
1533556816,1651,1849
1533643216,1699,1731
1533729615,2022,1531
1533816016,1820,1867
1533902415,2140,1369
1533988814,1628,1261
1534075214,1453,1903
1534161615,2057,1820
1534248015,1646,1899
1534334415,1749,1482
1534420815,1807,4127
1534507215,2070,7680
1534593615,2086,3360
1534680015,1458,5079
1534766416,2383,2114
1534852815,1942,1689
1534939215,1821,1540
1535025615,1654,1540
1535112015,2701,1697
1535198415,1882,1037
1535284815,1148,1168
1535371216,1580,1441
1535457616,1625,1668
1535544016,1685,1810
1535630416,2003,1178
1535716816,2005,1105
1535803215,2114,961
1535889615,1760,1101
1535976016,2189,1202
1536062415,2322,1158
1536148814,2742,1427
1536235215,2234,1215
1536321615,1848,1277
1536408015,1781,984
1536494416,1640,1124
1536580814,1875,2236
1536667215,2145,1299
1536753615,1973,1422
