DateTime,AddedIPs,RemovedIPs
1562683841,0,2
1562689244,1,0
1562690139,1,0
1562691043,1,0
1562697336,0,2
1562698227,1,0
1562704533,4,0
1562705435,1,0
1562723436,0,1
1562727929,0,1
1562732437,0,1
1562733330,0,4
1562740531,0,1
1562750438,1,0
1562754030,0,1
1562756746,0,7
1562758538,0,1
1562762138,38,0
1562766644,0,1
1562793630,0,1
1562805329,1,0
1562826030,0,1
1562832331,1,0
1562835044,0,2
1562844048,0,1
1562848540,12,0
1562854856,0,2
1562857545,0,1
1562862035,0,2
1562868334,1,0
1562879136,0,25
1562885441,1,0
1562919641,0,1
1562935844,6,0
1562945738,0,1
1562948436,0,4
1562952032,2,0
1562956539,8,1
1562957445,1,0
1562971840,0,1
1562998836,0,1
1563012332,2,0
1563017731,0,2
1563021344,15,0
1563024941,1,0
1563026731,1,0
1563038435,1,0
1563042033,0,1
1563096056,2,0
1563104141,1,0
1563107744,16,0
1563123040,0,1
1563126640,0,2
1563127531,0,1
1563128438,0,1
1563130233,0,1
1563139237,0,1
1563141055,0,1
1563141929,0,1
1563142839,0,2
1563172540,0,1
1563183337,0,1
1563207646,0,3
1563210352,1,0
1563212136,0,1
1563213045,8,0
1563263429,0,1
1563264333,0,4
1563270638,1,0
1563276946,0,1
1563280537,5,14
1563281439,0,1
1563292238,4,0
1563300335,0,1
1563303935,1,0
1563306641,0,1
1563308432,0,1
1563313838,0,2
1563316537,2,0
1563328243,0,1
1563333639,1,0
1563345336,1,0
1563346244,1,0
1563348042,1,0
1563349834,1,0
1563366941,11,40
1563370550,1,0
1563372333,1,0
1563397538,1,0
1563402933,0,1
1563405638,1,0
1563411037,0,1
1563414641,2,0
1563438039,0,1
1563453354,8,10
1563458750,1,0
1563465941,0,1
1563466842,1,0
1563472240,1,0
1563474941,1,0
1563488437,0,1
1563494729,0,1
1563510941,0,2
1563511850,0,1
1563518136,0,1
1563528037,1,0
1563534334,0,1
1563539742,4,0
1563540631,0,9
1563544233,1,0
1563547842,1,0
1563551443,0,1
1563554137,0,2
1563555032,0,1
1563561338,0,3
1563564936,1,0
1563566733,1,0
1563588335,0,1
1563594631,1,0
1563598237,1,0
1563601830,1,0
1563617143,1,0
1563622536,0,1
1563626138,3,7
1563639635,1,0
1563640547,0,2
1563645040,0,1
1563647745,0,1
1563650441,1,0
1563654941,0,1
1563659433,0,1
1563662131,0,1
1563668438,1,0
1563684637,1,0
1563702642,1,0
1563707146,0,1
1563709844,0,1
1563712551,7,16
1563713440,1,0
1563716150,0,1
1563745845,0,1
1563751239,0,1
1563754844,0,2
1563787235,0,1
1563796237,0,1
1563799848,11,0
1563805253,0,1
1563812445,0,1
1563817834,0,6
1563879930,0,1
1563885354,0,6
1563897039,0,4
1563909631,0,1
1563915043,1,0
1563921337,0,1
1563932134,0,1
1563938445,0,1
1563941134,1,0
1563950134,1,0
1563952836,0,1
1563953734,0,1
1563954641,0,1
1563961837,1,0
1563962737,0,1
1563967230,0,1
1563968141,0,1
1563969044,22,0
1563971748,0,8
1563974437,3,0
1563975330,0,1
1563978023,0,1
1563985239,0,1
1563990642,0,1
1563991533,1,0
1564007737,0,1
1564010448,0,1
1564019432,0,2
1564033832,1,0
1564038338,0,1
1564040136,0,1
1564043745,0,1
1564044640,0,1
1564050034,0,1
1564057108,0,1
1564058014,0,10
1564060712,18,0
1564061614,4,0
1564067982,0,1
1564073445,2,0
1564082425,0,1
1564127432,1,0
1564132830,0,1
1564140036,0,1
1564143635,0,2
1564144539,0,17
1564148139,5,0
1564156232,0,1
1564159833,0,2
1564161634,0,2
1564176030,0,1
1564183236,1,0
1564199433,0,1
1564202134,0,1
1564206632,0,1
1564219231,0,1
1564221934,0,1
1564230945,0,3
1564235430,14,0
1564237232,0,55
1564244442,0,1
1564255235,0,1
1564266031,0,1
1564272333,0,1
1564273229,0,1
1564278633,0,1
1564283130,0,1
1564289435,0,1
1564307426,0,1
1564309226,0,1
1564312829,4,0
1564313722,0,2
1564314637,2,0
1564315534,1,0
1564317330,0,13
1564318236,0,1
1564320951,32,0
1564321838,0,2
1564322741,0,1
1564323630,1,0
1564330828,0,1
1564346130,0,1
1564347031,2,0
1564354226,0,1
1564362326,1,0
1564381228,0,1
1564391132,1,0
1564393838,0,1
1564404628,0,22
1564407328,11,0
1564409129,1,0
1564434329,1,0
1564462238,0,1
1564467644,1,0
1564473935,0,1
1564485635,0,1
1564493729,9,0
1564503632,0,2
1564506338,1,0
1564522531,1,0
1564548630,1,0
1564568441,0,1
1564570237,1,0
1564572039,1,0
1564573845,0,11
1564580145,12,0
1564587338,0,1
1564591839,0,1
1564595447,1,0
1564599940,1,0
1564602632,468,0
1564604443,27,0
1564665631,0,1
1564666551,19,10
1564667441,0,1
1564671048,0,1
1564677340,0,1
1564678249,0,4
1564704339,0,1
1564707944,0,1
1564708837,0,1
1564711534,0,1
1564715138,0,1
1564716934,0,1
1564734043,0,1
1564734934,1,0
1564752941,21,9
1564767349,0,2
1564768246,0,11
1564769145,0,5
1564775441,0,3
1564777241,0,8
1564788035,0,1
1564792537,0,5
1564812336,0,1
1564824046,0,1
1564839356,11,59
1564840245,0,4
1564841151,0,1
1564852842,1,0
1564914037,1,0
1564917639,0,1
1564919466,0,3
1564925740,11,103
1564932042,0,1
1564939244,1,0
1564941940,0,2
1564957239,1,0
1564958135,1,0
1564964443,1,0
1564982444,1,0
1564986047,1,0
1564986945,1,0
1564987859,0,1
1565012147,23,53
1565014843,1,0
1565019343,1,0
1565025637,1,0
1565045437,0,1
1565046337,2,0
1565061642,1,2
1565095843,1,0
1565096747,6,53
1565099447,22,20
1565116554,1,0
1565153447,0,1
1565184944,63,21
1565204761,0,4
1565236256,1,0
1565256958,0,1
1565271357,8,11
1565272266,0,9
1565288445,0,2
1565296558,0,4
1565342458,0,6
1565343351,0,2
1565345163,0,1
1565348756,0,1
1565357754,34,21
1565369446,1,0
1565377560,0,2
1565411752,0,1
1565419849,0,1
1565426148,0,1
1565442348,1,0
1565444156,13,32
1565459458,0,1
1565498151,1,0
1565506257,0,2
1565518855,0,1
1565530567,16,36
1565544056,0,4
1565548548,0,20
1565569254,0,1
1565587246,0,1
1565604355,0,3
1565616960,17,29
1565627762,1,0
1565649345,0,1
1565653846,1,0
1565656550,1,0
1565672738,1,0
1565679954,0,1
1565688947,0,1
1565703363,23,20
1565704262,0,2
1565722260,0,1
1565724048,1,0
1565753748,0,1
1565760954,0,1
1565789761,16,15
1565800552,0,1
1565802354,0,2
1565838347,0,1
1565846441,0,1
1565856347,1,0
1565876165,66,11
1565962561,19,24
1565974244,0,1
1565976047,0,1
1565979647,0,1
1565989551,0,1
1565990452,1,0
1566020151,0,1
1566021947,0,1
1566030051,1,0
1566036347,0,1
1566037249,0,2
1566038149,0,1
1566048954,17,24
1566049855,0,4
1566066046,1,0
1566066957,1,0
1566070545,0,2
1566072341,0,1
1566073253,0,1
1566082248,0,1
1566113752,1,0
1566128142,0,1
1566130845,0,1
1566134447,0,1
1566135349,18,29
1566145255,1,0
1566150657,1,0
1566165038,1,0
1566176754,1,0
1566221761,80,51
1566308162,73,16
1566325257,2,0
1566326161,1,0
1566369355,1,0
1566394566,25,25
1566429663,0,1
1566440452,1,0
1566480964,22,44
1566542158,0,1
1566543061,0,1
1566553857,1,0
1566567369,39,62
1566570952,0,1
1566571873,1,0
1566591656,0,1
1566598856,0,1
1566634854,0,1
1566641154,1,0
1566653767,25,35
1566667256,0,2
1566669061,1,0
1566671753,0,1
1566674448,1,0
1566681655,1,0
1566687954,0,1
1566712256,1,0
1566719441,0,1
1566740178,0,31
1566746474,12,2
1566792352,0,1
1566800453,1,1
1566826568,15,68
1566837362,0,1
1566840955,0,1
1566844549,1,0
1566877849,0,1
1566898552,0,2
1566907560,0,1
1566912967,93,13
1566919268,0,24
1566928266,1,0
1566943560,0,1
1566970555,0,1
1566996667,20,0
1566999364,0,12
1567001163,0,1
1567003864,1,0
1567025470,4,0
1567031762,1,0
1567047064,0,1
1567085760,15,20
1567098352,0,1
1567099260,0,3
1567114553,0,1
1567164057,0,1
1567169447,0,5
1567172161,29,4
1567176651,0,1
1567187449,0,1
1567198257,0,7
1567258557,21,13
1567276561,0,1
1567277461,0,1
1567320646,0,1
1567325143,0,1
1567334150,0,1
1567344960,14,14
1567351258,0,7
1567392645,0,1
1567411549,0,1
1567431354,72,14
1567445744,1,0
1567506952,0,1
1567516855,19,4
1567517747,0,78
1567531237,0,1
1567547458,0,1
1567550150,0,2
1567551048,0,1
