DateTime,AddedIPs,RemovedIPs
1565607749,2,0
1565611350,1,0
1565618610,0,1
1565622149,2,2
1565625812,0,2
1565633010,0,2
1565636550,1,0
1565640150,0,4
1565643750,1,0
1565647350,2,3
1565651010,0,2
1565654550,1,0
1565661750,2,3
1565665410,1,4
1565669011,1,0
1565672610,1,0
1565676150,3,1
1565679811,0,3
1565683410,2,3
1565687011,2,1
1565690250,2,0
1565704954,1,0
1565708552,2,2
1565712210,2,0
1565715789,1,4
1565719387,7,0
1565722988,1,2
1565726588,0,1
1565730127,4,0
1565733788,2,1
1565737388,1,0
1565740989,2,1
1565748188,2,3
1565751788,1,0
1565755388,2,2
1565758928,2,0
1565762588,1,0
1565769788,1,1
1565772728,1,0
1565776928,1,3
1565780589,2,1
1565784188,0,1
1565787789,1,3
1565794988,1,0
1565798648,4,0
1565805790,1,1
1565809388,0,1
1565812988,1,0
1565816590,2,0
1565820130,1,0
1565823789,0,1
1565827329,2,0
1565830989,2,1
1565834589,2,0
1565838129,3,3
1565841729,2,0
1565845329,1,0
1565848989,1,0
1565852529,1,0
1565856189,2,3
1565859789,0,2
1565866929,0,2
1565870589,0,1
1565877789,0,1
1565878870,3,0
1565884991,2,0
1565888590,2,0
1565892191,1,2
1565895790,1,2
1565902991,0,1
1565906594,1,3
1565910195,2,1
1565917391,0,1
1565924590,2,1
1565928191,2,1
1565931731,1,0
1565935391,2,3
1565938991,2,1
1565942590,2,0
1565946250,0,5
1565949790,0,1
1565956991,6,1
1565960593,1,0
1565964191,2,1
1565966913,3,0
1565967752,1,0
1565971352,3,0
1565974952,1,0
1565978552,1,0
1565982152,2,2
1565985752,1,0
1565992953,1,1
1565996612,0,1
1566003813,1,0
1566005313,2,1
1566007414,0,2
1566010953,1,0
1566014553,1,3
1566018154,3,0
1566025353,0,2
1566029013,1,0
1566032614,0,3
1566036213,1,0
1566039754,2,0
1566043414,1,0
1566047013,2,1
1566050614,0,2
1566054213,2,0
1566057816,0,1
1566061355,3,1
1566065014,1,0
1566068614,1,0
1566072214,2,0
1566075814,0,1
1566082954,1,0
1566086615,0,1
1566093755,3,2
1566100954,2,2
1566104615,2,1
1566111756,0,1
1566115414,2,0
1566122629,4,1
1566129816,0,1
1566133354,0,1
1566140554,1,0
1566147815,3,0
1566151355,0,1
1566155015,2,0
1566158555,0,1
1566162155,0,1
1566165817,1,0
1566176555,0,1
1566180156,1,0
1566183756,1,1
1566187355,4,3
1566198155,3,2
1566201755,1,0
1566205356,3,2
1566209015,1,0
1566216157,1,0
1566219816,1,1
1566224857,4,0
1566227021,0,1
1566230557,4,0
1566234157,2,1
1566237757,3,0
1566241358,1,1
1566244957,1,0
1566248617,1,2
1566252221,3,1
1566255819,1,2
1566259357,1,0
1566262957,0,2
1566266617,3,1
1566270157,2,0
1566273758,1,1
1566277357,2,1
1566280957,1,2
1566284558,2,0
1566288157,0,1
1566291818,1,3
1566295417,2,0
1566298957,1,1
1566302617,2,0
1566306157,1,0
1566309758,0,1
1566313358,0,4
1566316958,2,0
1566320558,1,0
1566324218,2,0
1566327758,1,0
1566331358,1,1
1566334958,1,0
1566338618,1,2
