DateTime,AddedIPs,RemovedIPs
1565755388,2,3
1565758928,2,3
1565762588,1,2
1565766188,0,1
1565769788,1,2
1565772728,1,1
1565776928,1,3
1565780589,3,2
1565787789,1,1
1565791389,1,2
1565794988,2,3
1565798648,4,2
1565802188,1,0
1565805790,1,3
1565812988,1,0
1565816590,2,2
1565820130,2,0
1565827329,2,0
1565830989,3,3
1565834589,2,0
1565838129,3,2
1565841729,3,2
1565845329,1,2
1565848989,1,1
1565852529,1,1
1565856189,3,2
1565859789,0,1
1565863389,0,1
1565870589,0,2
1565874129,0,2
1565877789,0,1
1565878870,3,4
1565881391,0,1
1565884991,3,1
1565888590,5,2
1565892191,2,1
1565895790,4,2
1565902991,1,2
1565906594,1,2
1565910195,2,1
1565914990,1,0
1565917391,0,1
1565920990,1,0
1565924590,2,3
1565928191,2,3
1565931731,1,2
1565935391,2,1
1565938991,2,1
1565942590,3,1
1565946250,0,1
1565949790,0,1
1565953391,0,1
1565956991,6,5
1565960593,2,0
1565964191,2,3
1565966913,3,1
1565967752,1,0
1565971352,4,0
1565974952,2,2
1565978552,1,0
1565982152,2,4
1565985752,1,2
1565989413,1,1
1565992953,1,0
1565996612,0,1
1566000213,2,4
1566003813,2,1
1566005313,3,2
1566010953,2,1
1566014553,1,3
1566018154,3,3
1566025353,2,0
1566029013,1,2
1566036213,1,0
1566039754,2,4
1566043414,1,5
1566047013,2,3
1566050614,0,1
1566054213,2,8
1566057816,0,4
1566061355,6,4
1566065014,1,2
1566068614,1,0
1566072214,4,1
1566075814,5,2
1566082954,1,1
1566086615,0,1
1566093755,3,3
1566097355,0,1
1566100954,2,4
1566104615,2,4
1566108215,0,1
1566111756,0,2
1566115414,3,4
1566118954,4,2
1566122629,6,5
1566129816,1,1
1566136954,1,0
1566140554,2,1
1566144220,0,2
1566147815,3,3
1566151355,0,1
1566155015,2,4
1566158555,3,0
1566162155,0,1
1566165817,1,2
1566169418,1,0
1566176195,0,1
1566180156,1,2
1566183756,1,4
1566187355,4,3
1566191076,0,1
1566198155,3,2
1566201755,2,2
1566205356,4,4
1566209015,3,1
1566212616,1,0
1566216157,2,1
1566219816,2,2
1566224857,7,3
1566227021,1,0
1566230557,5,2
1566234157,2,2
1566237757,3,3
1566241358,1,2
1566244957,3,1
1566248617,2,0
1566252221,3,2
1566255819,1,0
1566259357,1,2
1566266617,4,9
1566270157,2,2
1566273758,1,6
1566277357,2,0
1566280957,1,1
1566284558,2,2
1566288157,0,1
1566291818,1,3
1566295417,2,0
1566298957,1,2
1566302617,8,6
1566306157,1,1
1566309758,0,1
1566313358,3,0
1566316958,4,4
1566320558,1,0
1566324218,2,2
1566327758,5,1
1566331358,2,0
1566334958,1,1
1566338618,1,1
1566345758,0,1
1566349418,3,2
1566356558,2,4
1566360158,3,2
1566363758,2,4
1566367358,2,4
1566370958,1,1
1566374558,4,1
1566381818,2,3
1566385358,1,3
1566388958,1,0
1566396340,1,0
1566399760,0,1
1566403419,0,1
1566406959,2,2
1566410619,2,2
1566414219,3,3
1566417760,3,2
1566421419,2,2
1566425019,1,0
1566428559,1,2
1566432160,1,1
1566439419,1,1
1566442959,2,1
1566446559,1,4
1566453760,4,3
1566457420,0,3
1566460959,3,2
1566475841,2,3
1566482621,1,0
1566486160,1,2
1566491201,1,0
1566497022,2,0
1566500621,1,0
1566504220,2,2
1566507761,1,1
1566511421,3,3
1566514960,0,1
1566543761,9,9
1566547361,1,2
1566551021,1,1
1566554561,1,0
1566561822,0,2
1566565362,1,0
1566568961,1,2
1566572562,2,3
1566576161,4,1
1566583361,0,2
1566587022,1,4
1566594162,0,2
1566601422,1,1
1566604961,0,2
1566608561,2,0
1566612161,2,1
1566615761,1,2
1566619361,1,1
1566626561,4,4
1566630162,1,2
1566633822,0,2
1566641022,2,1
1566644562,0,1
1566648222,0,14
1566651822,3,3
1566655362,0,1
1566659022,1,0
1566662562,0,1
1566666162,3,0
1566669762,1,1
1566676962,3,2
1566680562,1,2
1566684162,1,0
1566691362,0,1
1566694963,2,0
1566702223,1,3
1566705823,3,1
1566709364,1,2
1566713023,0,1
1566716624,2,4
1566720164,1,1
1566723823,0,4
1566727364,0,1
1566730964,2,2
1566734624,2,0
1566741764,2,0
1566745363,0,1
1566748966,0,2
1566752563,2,1
1566756164,1,1
1566759763,3,2
1566766963,1,1
1566774167,0,2
1566784964,2,2
1566788565,1,1
1566795825,1,2
1566799425,3,3
1566802965,1,0
1566806564,1,1
1566810224,1,1
1566813825,0,2
1566820964,1,1
1566824564,0,1
1566828165,1,0
1566831764,3,3
1566835365,1,2
1566838964,4,2
1566842565,0,2
1566846227,1,0
1566849826,1,5
1566856965,2,2
1566864165,0,3
1566867765,0,1
1566871425,2,0
1566874966,3,2
1566878566,2,4
1566885766,2,3
1566889366,5,4
1566892965,1,2
1566896566,1,1
1566900226,1,3
1566903826,2,5
1566907365,3,1
1566918167,3,0
1566925367,3,2
1566929026,2,1
1566932626,5,2
1566936166,4,2
1566939767,1,1
1566943426,0,1
1566946967,2,1
1566954167,0,1
1566957767,1,2
1566961366,2,6
1566965027,1,1
1566968567,0,2
1566975767,1,0
1566979367,2,2
1566982967,1,2
1566986626,1,1
1566990166,5,2
1566993766,2,2
1567001028,3,2
1567004627,2,2
1567008167,1,3
1567011768,0,2
1567015368,1,1
1567019028,4,5
1567026169,2,2
1567029768,2,1
1567033428,0,1
1567036968,0,1
1567040568,3,1
1567044168,1,0
1567047767,3,2
1567051368,1,1
1567054967,2,1
1567058567,1,1
1567062167,0,1
1567065767,3,1
1567073028,2,2
1567076568,2,4
1567077819,2,0
1567080219,9,0
1567083819,9,0
1567087359,2,1
1567090959,0,3
1567094619,1,1
1567098159,4,2
1567101759,2,0
1567103019,1,3
1567109019,2,1
1567112619,3,2
1567116219,1,1
1567119820,14,0
1567123359,0,3
1567127019,0,2
1567130560,2,1
1567134160,4,3
1567137819,2,2
1567141359,3,1
1567144960,0,1
1567148562,2,3
1567152162,2,1
1567155763,1,2
1567159363,3,4
1567163022,2,2
1567166563,1,2
1567170162,0,6
1567173823,0,1
1567177423,1,0
1567184564,2,0
1567188164,2,2
1567191762,2,1
1567195364,2,1
1567198962,0,2
1567202564,2,0
1567209823,1,3
1567216965,2,2
1567220623,2,4
1567224164,2,2
1567227763,0,2
1567234963,2,1
1567238564,1,4
1567242223,0,1
1567245763,4,3
1567252963,1,0
1567256624,2,1
1567260163,1,1
1567263764,1,0
1567267363,1,0
1567270964,1,1
1567278163,1,1
1567281764,3,0
1567285364,0,1
1567292564,2,1
1567296164,1,1
1567299825,1,2
1567303364,5,2
1567306964,0,1
